StrainIndex  Lineage  Cluster  Name
1            4        10       ERR069738
2            1        2        ERR065974
3            4        7        ERR129065
4            4        10       ERR129037
5            3        6        ERR069700
6            5        5        ERR124247
7            4        10       ERR124222
8            5        9        ERR065305
9            5        5        ERR069786
10           3        6        ERR129179
11           5        5        ERR129176
12           5        5        ERR069709
13           4        10       ERR067985
14           4        10       ERR129212
15           4        10       ERR068037
16           4        10       ERR069814
17           3        6        ERR124241
18           5        9        ERR069795
19           3        6        ERR124293
20           3        6        ERR069735
21           5        8        ERR069773
22           3        6        ERR067966
23           4        7        ERR129029
24           5        8        ERR129105
25           4        10       ERR124226
26           5        8        ERR129196
27           4        10       ERR069823
28           5        5        ERR124319
29           5        5        ERR068001
30           5        5        ERR129117
31           4        3        ERR069764
32           4        10       ERR068007
33           5        9        ERR068008
34           3        6        ERR067969
35           3        6        ERR069703
36           5        8        ERR129195
37           4        7        ERR065325
38           5        8        ERR124256
39           3        6        ERR129087
40           3        6        ERR069819
41           5        9        ERR129129
42           4        7        ERR065960
43           5        9        ERR069796
44           4        10       ERR065326
45           5        9        ERR069712
46           2        4        ERR124244
47           4        10       ERR129075
48           4        10       ERR069713
49           4        7        ERR069826
50           1        2        ERR065341
51           5        9        ERR069771
52           4        10       ERR069706
53           5        9        ERR065970
54           1        2        ERR129130
55           4        10       ERR129096
56           4        7        ERR129107
57           5        8        ERR069809
58           5        8        ERR065302
59           4        3        ERR129187
60           3        6        ERR124314
61           4        10       ERR069686
62           5        8        ERR069824
63           5        8        ERR068048
64           5        9        ERR065972
65           5        8        ERR129164
66           4        10       ERR069688
67           5        5        ERR069685
68           4        10       ERR124307
69           3        6        ERR067962
70           4        7        ERR124257
71           4        10       ERR129127
72           5        8        ERR065301
73           4        3        ERR124287
74           5        8        ERR068025
75           4        10       ERR067964
76           5        8        ERR069811
77           4        10       ERR069727
78           5        9        ERR129063
79           2        4        ERR065332
80           3        1        ERR129028
81           5        9        ERR065287
82           5        5        ERR129213
83           4        7        ERR129155
84           5        5        ERR129042
85           3        6        ERR129148
86           5        8        ERR129040
87           4        10       ERR069835
88           5        8        ERR129146
89           4        10       ERR129102
90           5        8        ERR069729
91           5        8        ERR129152
92           4        10       ERR069748
93           4        10       ERR069843
94           5        9        ERR124229
95           5        8        ERR129088
96           4        10       ERR069752
97           5        8        ERR065350
98           5        9        ERR129149
99           4        10       ERR129214
100          5        9        ERR069833
101          5        8        ERR124310
102          4        10       ERR068046
103          4        10       ERR129215
104          5        9        ERR129140
105          5        9        ERR069831
106          4        3        ERR068014
107          5        9        ERR124315
108          4        10       ERR124255
109          5        8        ERR065342
110          5        5        ERR124235
111          4        10       ERR129159
112          4        10       ERR129204
113          4        3        ERR129094
114          4        10       ERR069689
115          5        9        ERR069751
116          5        8        ERR068005
117          3        6        ERR069749
118          5        8        ERR067981
119          4        10       ERR067996
120          4        7        ERR129052
121          5        9        ERR069785
122          4        3        ERR069792
123          5        5        ERR124271
124          5        9        ERR069687
125          3        6        ERR124277
126          4        7        ERR124228
127          4        3        ERR129044
128          5        5        ERR065353
129          3        6        ERR129074
130          5        9        ERR069817
131          5        5        ERR065953
132          5        8        ERR129076
133          4        10       ERR129154
134          2        4        ERR069725
135          4        10       ERR068040
136          5        9        ERR129051
137          5        5        ERR129157
138          5        8        ERR124311
139          4        10       ERR069746
140          4        3        ERR068031
141          4        10       ERR067986
142          4        10       ERR124291
143          5        8        ERR129055
144          4        7        ERR069780
145          5        8        ERR065327
146          4        10       ERR069822
147          5        9        ERR129207
148          5        5        ERR124288
149          2        4        ERR129026
150          5        8        ERR124218
151          4        7        ERR068027
152          5        5        ERR069710
153          4        10       ERR065310
154          5        9        ERR129160
155          3        6        ERR065300
156          4        7        ERR069789
157          4        10       ERR065343
158          4        7        ERR069802
159          5        8        ERR129027
160          5        9        ERR129170
161          5        8        ERR129048
162          5        9        ERR065968
163          1        2        ERR065965
164          5        9        ERR068044
165          4        10       ERR129180
166          4        10       ERR068016
167          3        6        ERR065324
168          5        9        ERR129112
169          5        8        ERR129158
170          2        4        ERR069698
171          4        10       ERR069812
172          4        10       ERR124302
