StrainIndex  Lineage  Cluster  Name
1            4        7        ERR069738
2            4        7        ERR065974
3            6        6        ERR129065
4            5        9        ERR129037
5            6        10       ERR069700
6            6        8        ERR124247
7            4        7        ERR124222
8            6        8        ERR065305
9            3        5        ERR069786
10           6        10       ERR129179
11           3        5        ERR129176
12           6        10       ERR069709
13           5        9        ERR067985
14           2        4        ERR129212
15           4        7        ERR068037
16           6        6        ERR069814
17           6        10       ERR124241
18           6        8        ERR069795
19           6        10       ERR124293
20           6        10       ERR069735
21           6        10       ERR069773
22           6        10       ERR067966
23           6        6        ERR129029
24           2        4        ERR129105
25           6        10       ERR124226
26           2        4        ERR129196
27           5        9        ERR069823
28           6        10       ERR068001
29           3        5        ERR129117
30           6        10       ERR069764
31           6        6        ERR068007
32           6        8        ERR068008
33           6        10       ERR067969
34           6        10       ERR069703
35           2        4        ERR129195
36           6        10       ERR065325
37           5        9        ERR124256
38           6        10       ERR129087
39           6        10       ERR069819
40           6        10       ERR065960
41           6        8        ERR069796
42           5        9        ERR065326
43           4        7        ERR069712
44           3        5        ERR124244
45           4        7        ERR129075
46           5        9        ERR069713
47           6        6        ERR069826
48           4        7        ERR065341
49           6        8        ERR069771
50           6        6        ERR069706
51           6        8        ERR065970
52           4        7        ERR129130
53           4        7        ERR129096
54           4        7        ERR129107
55           5        9        ERR069809
56           6        10       ERR065302
57           2        4        ERR129187
58           6        10       ERR124314
59           4        7        ERR069686
60           6        10       ERR069824
61           5        9        ERR068048
62           6        8        ERR065972
63           5        9        ERR129164
64           4        7        ERR069688
65           3        5        ERR069685
66           4        7        ERR124307
67           6        10       ERR067962
68           6        6        ERR124257
69           2        4        ERR065301
70           6        6        ERR124287
71           6        10       ERR068025
72           5        9        ERR067964
73           6        10       ERR069811
74           5        9        ERR069727
75           6        8        ERR129063
76           5        9        ERR065332
77           5        3        ERR129028
78           6        8        ERR065287
79           3        5        ERR129213
80           4        7        ERR129155
81           3        5        ERR129042
82           6        10       ERR129148
83           6        10       ERR129040
84           5        9        ERR069835
85           6        6        ERR129146
86           4        7        ERR129102
87           6        10       ERR069729
88           6        10       ERR129152
89           2        4        ERR069748
90           4        7        ERR069843
91           6        8        ERR124229
92           5        9        ERR129088
93           5        9        ERR069752
94           6        10       ERR065350
95           6        8        ERR129149
96           5        9        ERR129214
97           6        8        ERR069833
98           6        10       ERR124310
99           5        9        ERR068046
100          5        9        ERR129215
101          6        8        ERR129140
102          6        8        ERR069831
103          6        6        ERR068014
104          6        8        ERR124315
105          3        5        ERR124255
106          2        4        ERR065342
107          3        5        ERR124235
108          5        9        ERR129159
109          4        7        ERR129204
110          6        6        ERR129094
111          2        4        ERR069689
112          6        8        ERR069751
113          5        3        ERR068005
114          6        10       ERR069749
115          5        9        ERR067981
116          4        7        ERR067996
117          6        6        ERR129052
118          4        7        ERR069785
119          6        2        ERR069792
120          6        10       ERR124271
121          6        8        ERR069687
122          6        10       ERR124277
123          3        5        ERR124228
124          4        7        ERR129044
125          6        10       ERR065353
126          6        10       ERR129074
127          6        8        ERR069817
128          6        10       ERR065953
129          6        6        ERR129076
130          5        9        ERR129154
131          5        9        ERR069725
132          5        9        ERR068040
133          4        7        ERR129051
134          3        5        ERR129157
135          5        9        ERR069746
136          6        2        ERR068031
137          5        9        ERR067986
138          5        9        ERR124291
139          6        6        ERR129055
140          6        6        ERR069780
141          6        10       ERR065327
142          6        8        ERR129207
143          3        5        ERR124288
144          5        9        ERR129026
145          4        7        ERR124218
146          6        6        ERR068027
147          6        10       ERR069710
148          5        9        ERR065310
149          6        8        ERR129160
150          6        10       ERR065300
151          6        6        ERR069789
152          4        7        ERR065343
153          4        7        ERR069802
154          6        10       ERR129027
155          6        8        ERR129170
156          6        10       ERR129048
157          4        7        ERR065965
158          6        8        ERR068044
159          3        5        ERR068016
160          6        10       ERR065324
161          6        8        ERR129112
162          5        9        ERR129158
163          5        9        ERR069698
164          5        9        ERR069812
165          5        9        ERR124302
166          5        3        ERR129083
167          6        2        ERR065354
168          6        10       ERR069787
169          6        8        ERR068017
170          3        5        ERR129066
171          6        10       ERR129039
172          6        10       ERR065329
173          6        8        ERR124269
174          6        10       ERR129200
175          4        7        ERR067995
176          5        9        ERR068012
177          5        9        ERR124274
178          6        10       ERR067993
179          3        5        ERR069708
180          6        6        ERR129106
