StrainIndex  Lineage  Cluster  Name
1            3        7        ERR069738
2            2        1        ERR129065
3            3        8        ERR129037
4            3        7        ERR124247
5            3        7        ERR124222
6            3        9        ERR065305
7            3        7        ERR069786
8            3        10       ERR129179
9            3        8        ERR129176
10           2        5        ERR069709
11           3        8        ERR067985
12           3        10       ERR129212
13           3        7        ERR068037
14           3        8        ERR069814
15           3        10       ERR124241
16           3        9        ERR069795
17           3        10       ERR124293
18           3        10       ERR069735
19           3        7        ERR069773
20           1        3        ERR067966
21           3        10       ERR129029
22           3        9        ERR129105
23           3        7        ERR124226
24           3        10       ERR129196
25           3        9        ERR069823
26           3        2        ERR124319
27           2        5        ERR068001
28           3        8        ERR129117
29           2        1        ERR069764
30           3        8        ERR068007
31           3        9        ERR068008
32           1        3        ERR067969
33           3        10       ERR069703
34           3        9        ERR129195
35           2        1        ERR065325
36           3        7        ERR124256
37           3        10       ERR129087
38           3        10       ERR069819
39           3        9        ERR129129
40           2        1        ERR065960
41           3        9        ERR069796
42           3        8        ERR065326
43           3        8        ERR069712
44           3        9        ERR124244
45           3        7        ERR129075
46           3        8        ERR069713
47           2        1        ERR069826
48           3        9        ERR069771
49           3        7        ERR069706
50           3        9        ERR065970
51           3        7        ERR129096
52           3        6        ERR129107
53           3        7        ERR069809
54           3        7        ERR065302
55           3        6        ERR129187
56           1        3        ERR124314
57           3        7        ERR069686
58           3        7        ERR069824
59           3        7        ERR068048
60           1        3        ERR065972
61           3        7        ERR129164
62           3        7        ERR069688
63           3        10       ERR069685
64           3        7        ERR124307
65           3        10       ERR067962
66           3        8        ERR124257
67           3        8        ERR129127
68           3        10       ERR065301
69           3        8        ERR124287
70           3        6        ERR068025
71           1        3        ERR067964
72           3        6        ERR069811
73           3        8        ERR069727
74           3        9        ERR129063
75           2        4        ERR065332
76           3        10       ERR129028
77           3        9        ERR065287
78           3        8        ERR129213
79           3        7        ERR129155
80           3        8        ERR129042
81           3        10       ERR129148
82           3        7        ERR129040
83           3        9        ERR069835
84           3        10       ERR129146
85           2        5        ERR129102
86           3        7        ERR069729
87           3        6        ERR129152
88           3        10       ERR069748
89           3        7        ERR069843
90           3        9        ERR124229
91           3        7        ERR129088
92           3        8        ERR069752
93           3        7        ERR065350
94           3        9        ERR129149
95           3        8        ERR129214
96           3        9        ERR069833
97           3        2        ERR124310
98           3        8        ERR068046
99           3        8        ERR129215
100          3        9        ERR129140
101          3        9        ERR069831
102          3        10       ERR068014
103          3        9        ERR124315
104          3        7        ERR124255
105          3        10       ERR065342
106          3        8        ERR124235
107          3        8        ERR129159
108          3        7        ERR129204
109          3        10       ERR129094
110          3        10       ERR069689
111          3        9        ERR069751
112          3        6        ERR068005
113          3        10       ERR069749
114          3        7        ERR067981
115          3        10       ERR067996
116          3        10       ERR129052
117          3        2        ERR069785
118          3        8        ERR069792
119          3        10       ERR124271
120          3        9        ERR069687
121          3        10       ERR124277
122          2        5        ERR124228
123          2        5        ERR129044
124          2        5        ERR065353
125          3        10       ERR129074
126          3        9        ERR069817
127          2        5        ERR065953
128          3        10       ERR129076
129          3        8        ERR129154
130          2        4        ERR069725
131          3        8        ERR068040
132          3        8        ERR129051
133          3        8        ERR129157
134          3        7        ERR124311
135          3        9        ERR069746
136          3        8        ERR068031
137          3        8        ERR067986
138          3        8        ERR124291
139          3        10       ERR129055
140          2        1        ERR069780
141          3        6        ERR065327
142          3        8        ERR069822
