2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
173       226       3               36               2.6        ERR124287
325       400       3               36               3.0        ERR124287
173       226       3               45               2.6        ERR129146
325       400       3               45               3.0        ERR129146
173       226       3               70               2.6        ERR129076
325       400       3               70               3.0        ERR129076
173       226       3               181              2.6        ERR067976
325       400       3               181              3.0        ERR067976
173       226       3               182              2.6        ERR065307
325       400       3               182              3.0        ERR065307
173       226       3               217              2.6        ERR065313
325       400       3               217              3.0        ERR065313
173       226       3               261              2.6        ERR129205
325       400       3               261              3.0        ERR129205
173       226       3               277              2.6        ERR129098
325       400       3               277              3.0        ERR129098
173       226       3               308              2.6        ERR129133
325       400       3               308              3.0        ERR129133
