StrainIndex  Lineage  Cluster  Name
1            3        3        ERR129065
2            3        3        ERR067966
3            3        3        ERR067969
4            2        2        ERR069706
5            3        3        ERR124314
6            2        2        ERR129042
7            2        2        ERR069843
8            2        2        ERR124255
9            1        1        ERR129027
10           3        3        ERR069787
11           3        3        ERR069744
12           2        2        ERR065973
13           3        3        ERR069830
14           3        3        ERR065295
15           2        2        ERR068035
16           2        2        ERR129043
17           3        3        ERR069800
18           3        3        ERR067967
19           2        2        ERR124227
20           3        3        ERR065966
21           3        3        ERR069790
22           2        2        ERR129062
23           2        2        ERR124233
24           3        3        ERR068015
25           3        3        ERR129128
26           3        3        ERR129163
27           2        2        ERR068036
28           3        3        ERR129046
29           3        3        ERR069743
30           3        3        ERR065291
31           3        3        ERR069763
32           2        2        ERR129036
33           3        3        ERR069747
34           2        2        ERR129031
35           2        2        ERR129049
36           2        2        ERR067990
37           3        3        ERR124303
38           3        3        ERR124280
39           3        3        ERR129033
40           2        2        ERR069840
41           3        3        ERR069736
42           3        3        ERR069776
43           1        1        ERR129115
44           3        3        ERR069794
45           3        3        ERR065963
46           2        2        ERR129193
