22 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1424      1848      4               1                20.8       ERR069738
1         504       4               2                3.4        ERR065974
787       964       4               2                3.0        ERR065974
965       1083      2               2                18.2       ERR065974
1184      1405      4               2                18.6       ERR065974
1657      1803      4               2                18.8       ERR065974
938       1010      2               7                3.5        ERR069786
1634      1743      2               7                6.8        ERR069786
938       1010      2               8                3.2        ERR129179
1424      1848      4               11               20.8       ERR068037
1         309       4               12               4.3        ERR069814
938       1292      2               12               37.1       ERR069814
938       1010      2               13               3.2        ERR124241
938       1010      2               14               3.2        ERR124293
938       1010      2               19               3.5        ERR129105
1645      1743      2               19               7.7        ERR129105
1         504       4               20               3.4        ERR124226
787       964       4               20               3.0        ERR124226
965       1083      2               20               20.1       ERR124226
1184      1405      4               20               18.6       ERR124226
1657      1803      4               20               18.8       ERR124226
938       1010      2               21               3.5        ERR129196
1645      1743      2               21               7.7        ERR129196
955       1010      2               22               4.4        ERR069823
1657      1803      4               23               21.6       ERR124319
1645      1743      2               24               6.4        ERR069764
1         309       4               25               4.3        ERR068007
938       1292      2               25               37.1       ERR068007
940       1010      2               27               3.3        ERR069703
940       1010      2               28               3.7        ERR129195
1645      1743      2               28               7.7        ERR129195
1424      1848      4               29               20.8       ERR065325
787       1239      4               30               8.0        ERR124256
1240      1435      2               30               1.8        ERR124256
1627      1848      4               30               6.3        ERR124256
940       1010      2               31               3.3        ERR129087
1424      1848      4               33               20.8       ERR065960
955       1010      2               35               4.2        ERR069712
1         535       4               36               4.2        ERR124244
707       889       4               36               6.7        ERR124244
934       1024      1               36               26.8       ERR124244
1657      1803      4               36               19.2       ERR124244
1         504       4               39               3.4        ERR065341
787       964       4               39               3.0        ERR065341
965       1083      2               39               18.2       ERR065341
1184      1405      4               39               18.6       ERR065341
1657      1803      4               39               18.8       ERR065341
1         309       4               40               4.9        ERR069706
1657      1803      4               40               20.7       ERR069706
1         504       4               41               3.4        ERR129130
787       964       4               41               3.0        ERR129130
965       1083      2               41               18.2       ERR129130
1184      1405      4               41               18.6       ERR129130
1657      1803      4               41               18.8       ERR129130
1424      1848      4               42               20.8       ERR129096
787       1239      4               44               8.0        ERR069809
1240      1435      2               44               1.8        ERR069809
1627      1848      4               44               6.3        ERR069809
1         535       4               46               5.2        ERR129187
787       901       4               46               3.7        ERR129187
1011      1292      2               46               32.3       ERR129187
1424      1848      4               48               20.8       ERR069686
787       1239      4               49               8.0        ERR068048
1240      1435      2               49               1.8        ERR068048
1627      1848      4               49               7.4        ERR068048
955       1010      2               50               4.4        ERR129164
1424      1848      4               51               20.8       ERR069688
1         309       4               52               4.0        ERR069685
1657      1848      4               52               17.0       ERR069685
1424      1848      4               53               20.8       ERR124307
940       1010      2               54               3.3        ERR067962
938       1010      2               56               3.5        ERR065301
1645      1743      2               56               7.7        ERR065301
1         309       4               58               4.3        ERR068025
938       1292      2               58               37.1       ERR068025
955       1010      2               59               4.4        ERR067964
1         309       4               60               5.5        ERR069811
938       1292      2               60               37.1       ERR069811
333       453       2               62               29.3       ERR065332
938       1010      2               64               3.2        ERR129148
955       1010      2               66               4.4        ERR069835
328       511       2               68               5.7        ERR129102
934       961       5               68               1.9        ERR129102
962       1090      2               68               3.1        ERR129102
1091      1194      5               68               1.1        ERR129102
1195      1258      4               68               2.4        ERR129102
1259      1381      5               68               0.4        ERR129102
1         309       4               69               4.3        ERR129152
938       1292      2               69               37.1       ERR129152
955       1010      2               71               4.4        ERR129088
787       1239      4               73               8.0        ERR065350
1240      1435      2               73               1.8        ERR065350
1627      1848      4               73               6.3        ERR065350
1         533       4               75               1.6        ERR124310
787       1399      4               75               20.3       ERR124310
955       1010      2               78               4.4        ERR068014
362       411       4               79               0.2        ERR065342
412       868       5               79               5.0        ERR065342
1118      1183      2               79               6.8        ERR065342
1184      1345      3               79               4.5        ERR065342
1346      1417      5               79               3.1        ERR065342
1418      1576      4               79               2.8        ERR065342
1717      1779      5               79               14.4       ERR065342
1780      1793      4               79               4.4        ERR065342
1424      1848      4               81               20.8       ERR129204
955       1010      2               82               4.4        ERR129094
940       1010      2               85               3.3        ERR069749
955       1010      2               86               4.4        ERR067981
1424      1848      4               87               20.8       ERR067996
955       1010      2               89               4.4        ERR069792
940       1010      2               91               3.3        ERR124277
1         533       4               93               1.7        ERR129044
787       1292      4               93               23.5       ERR129044
940       1010      2               94               3.3        ERR129074
333       453       2               97               29.3       ERR069725
955       1010      2               99               4.2        ERR129051
1         309       4               100              1.4        ERR124311
787       1848      4               100              14.6       ERR124311
955       1010      2               101              4.4        ERR069746
955       1010      2               102              4.4        ERR068031
1         309       4               107              4.3        ERR065327
938       1292      2               107              37.1       ERR065327
1657      1803      4               109              21.6       ERR124288
333       453       2               110              29.3       ERR129026
940       1010      2               114              3.3        ERR065300
1         309       4               115              3.6        ERR069789
934       1292      2               115              36.5       ERR069789
1424      1848      4               116              20.8       ERR065343
1         533       4               118              1.6        ERR129048
787       1399      4               118              20.3       ERR129048
955       1010      2               119              4.2        ERR065968
1         504       4               120              3.4        ERR065965
787       964       4               120              3.0        ERR065965
965       1083      2               120              18.2       ERR065965
1184      1405      4               120              18.6       ERR065965
1657      1803      4               120              18.8       ERR065965
940       1010      2               123              3.3        ERR065324
955       1010      2               124              4.4        ERR129158
333       453       2               125              29.3       ERR069698
955       1010      2               126              4.4        ERR069812
955       1010      2               128              4.4        ERR065354
1         309       4               131              4.3        ERR129039
938       1292      2               131              37.1       ERR129039
940       1010      2               132              3.3        ERR065329
940       1010      2               133              3.3        ERR129200
1424      1848      4               134              20.8       ERR067995
955       1010      2               135              4.4        ERR068012
333       453       2               136              29.3       ERR124274
955       1010      2               141              4.2        ERR129132
940       1010      2               142              3.3        ERR068019
940       1010      2               143              3.3        ERR129099
955       1010      2               144              4.4        ERR065292
1         533       4               146              1.6        ERR069820
787       1399      4               146              20.3       ERR069820
940       1010      2               148              3.3        ERR124250
955       1010      2               149              4.2        ERR069690
1         533       4               150              1.6        ERR065309
787       1399      4               150              20.3       ERR065309
333       453       2               151              29.3       ERR124283
333       453       2               152              29.3       ERR065293
1424      1848      4               154              20.8       ERR069737
940       1010      2               155              3.3        ERR124316
940       1010      2               157              3.6        ERR129144
1634      1743      2               157              6.8        ERR129144
1         309       4               158              4.3        ERR124232
938       1292      2               158              37.1       ERR124232
955       1010      2               159              4.2        ERR068018
1424      1848      4               162              20.8       ERR124248
940       1010      2               164              3.3        ERR129086
940       1010      2               165              3.3        ERR069834
1424      1848      4               166              20.8       ERR129050
1         343       4               167              24.1       ERR129064
1465      1848      3               167              4.4        ERR129064
955       1010      2               169              4.4        ERR129206
333       453       2               171              29.3       ERR124221
333       453       2               173              29.3       ERR068026
1         309       4               175              4.3        ERR067994
938       1292      2               175              37.1       ERR067994
940       1010      2               176              3.3        ERR069726
1424      1848      4               177              20.8       ERR065338
333       453       2               179              29.3       ERR065297
333       453       2               180              29.3       ERR129061
1         533       4               183              1.6        ERR124305
787       1399      4               183              20.3       ERR124305
1         504       4               184              3.4        ERR069769
787       964       4               184              3.0        ERR069769
965       1083      2               184              20.1       ERR069769
1184      1405      4               184              18.6       ERR069769
1657      1803      4               184              18.8       ERR069769
955       1010      2               186              4.2        ERR069768
955       1010      2               187              4.4        ERR065967
940       1010      2               188              3.3        ERR129143
940       1010      2               189              3.3        ERR124299
955       1010      2               190              4.2        ERR129090
940       1010      2               191              3.3        ERR068002
1         309       4               192              4.9        ERR068003
1657      1803      4               192              20.7       ERR068003
955       1010      2               194              4.4        ERR129181
955       1010      2               195              4.4        ERR065344
1         533       4               196              1.6        ERR129111
787       1399      4               196              20.3       ERR129111
1         309       4               198              4.0        ERR069798
1657      1848      4               198              17.0       ERR069798
1         504       4               199              3.4        ERR124278
787       964       4               199              3.0        ERR124278
965       1083      2               199              18.2       ERR124278
1184      1405      4               199              18.6       ERR124278
1657      1803      4               199              18.8       ERR124278
955       1010      2               201              4.4        ERR067984
940       1010      2               203              3.3        ERR124236
1424      1848      4               205              20.8       ERR129045
333       453       2               207              29.3       ERR065320
1         309       4               209              4.3        ERR129043
1657      1803      4               209              19.7       ERR129043
1         309       4               211              3.0        ERR068021
934       1292      2               211              35.1       ERR068021
940       1010      2               212              3.6        ERR067998
1634      1743      2               212              6.8        ERR067998
1         309       4               214              4.0        ERR065971
1657      1848      4               214              17.0       ERR065971
955       1010      2               216              4.2        ERR068020
1424      1848      4               217              20.8       ERR069767
1         309       4               222              1.4        ERR129057
787       1848      4               222              14.6       ERR129057
955       1010      2               223              4.2        ERR067977
955       1010      2               226              4.2        ERR069715
1         309       4               227              4.3        ERR124227
1657      1803      4               227              19.7       ERR124227
955       1010      2               228              4.4        ERR069683
1         533       4               230              1.6        ERR124253
787       1399      4               230              20.3       ERR124253
333       453       2               231              29.3       ERR069724
1         309       4               234              4.3        ERR124254
938       1292      2               234              37.1       ERR124254
1         309       4               235              4.0        ERR129168
