StrainIndex  Lineage  Cluster  Name
1            5        9        ERR069738
2            1        2        ERR065974
3            5        9        ERR129065
4            6        8        ERR129037
5            4        7        ERR069700
6            5        9        ERR124247
7            5        6        ERR124222
8            6        10       ERR065305
9            3        5        ERR069786
10           4        7        ERR129179
11           5        6        ERR129176
12           3        5        ERR069709
13           6        8        ERR067985
14           2        4        ERR129212
15           5        9        ERR068037
16           4        1        ERR069814
17           4        7        ERR124241
18           6        10       ERR069795
19           4        7        ERR124293
20           3        5        ERR069735
21           3        5        ERR069773
22           4        7        ERR067966
23           5        9        ERR129029
24           6        10       ERR129105
25           2        4        ERR124226
26           3        5        ERR129196
27           6        8        ERR069823
28           2        4        ERR124319
29           3        5        ERR068001
30           5        6        ERR129117
31           5        9        ERR069764
32           4        1        ERR068007
33           6        10       ERR068008
34           4        7        ERR067969
35           4        7        ERR069703
36           6        10       ERR129195
37           6        10       ERR065325
38           6        8        ERR124256
39           4        7        ERR129087
40           3        5        ERR069819
41           6        10       ERR129129
42           6        10       ERR065960
43           6        10       ERR069796
44           6        8        ERR065326
45           6        8        ERR069712
46           4        7        ERR124244
47           5        6        ERR129075
48           6        8        ERR069713
49           5        9        ERR069826
50           1        2        ERR065341
51           6        10       ERR069771
52           5        6        ERR069706
53           6        10       ERR065970
54           1        2        ERR129130
55           5        9        ERR129096
56           5        9        ERR129107
57           6        8        ERR069809
58           3        5        ERR065302
59           4        7        ERR129187
60           4        7        ERR124314
61           5        9        ERR069686
62           1        2        ERR069824
63           6        8        ERR068048
64           6        10       ERR065972
65           6        8        ERR129164
66           5        9        ERR069688
67           2        4        ERR069685
68           5        9        ERR124307
69           4        7        ERR067962
70           4        1        ERR124257
71           6        8        ERR129127
72           6        10       ERR065301
73           5        9        ERR124287
74           4        3        ERR068025
75           6        8        ERR067964
76           4        3        ERR069811
77           6        8        ERR069727
78           6        10       ERR129063
79           5        9        ERR065332
80           5        9        ERR129028
81           6        10       ERR065287
82           5        6        ERR129213
83           5        9        ERR129155
84           5        6        ERR129042
85           4        7        ERR129148
86           3        5        ERR129040
87           6        8        ERR069835
88           5        9        ERR129146
89           4        3        ERR129102
90           1        2        ERR069729
91           4        3        ERR129152
92           2        4        ERR069748
93           5        6        ERR069843
94           6        10       ERR124229
95           6        8        ERR129088
96           6        8        ERR069752
97           6        8        ERR065350
98           6        10       ERR129149
99           6        8        ERR129214
100          6        10       ERR069833
101          6        10       ERR124310
102          6        8        ERR068046
103          6        8        ERR129215
104          6        10       ERR129140
105          6        10       ERR069831
106          3        5        ERR068014
107          6        10       ERR124315
108          5        6        ERR124255
109          6        10       ERR065342
110          5        6        ERR124235
111          6        8        ERR129159
112          5        9        ERR129204
113          3        5        ERR129094
114          2        4        ERR069689
115          6        10       ERR069751
116          3        5        ERR068005
117          4        7        ERR069749
118          6        8        ERR067981
119          5        9        ERR067996
120          5        9        ERR129052
121          6        10       ERR069785
122          6        10       ERR069792
123          5        6        ERR124271
124          6        10       ERR069687
125          4        7        ERR124277
126          5        9        ERR124228
127          2        4        ERR129044
128          3        5        ERR065353
129          4        7        ERR129074
130          6        10       ERR069817
131          3        5        ERR065953
132          5        9        ERR129076
133          6        8        ERR129154
134          5        9        ERR069725
135          6        8        ERR068040
136          6        8        ERR129051
137          5        6        ERR129157
138          5        9        ERR124311
139          6        8        ERR069746
140          6        10       ERR068031
141          6        8        ERR067986
142          6        8        ERR124291
143          5        9        ERR129055
144          5        9        ERR069780
145          4        3        ERR065327
146          6        8        ERR069822
147          6        10       ERR129207
148          2        4        ERR124288
149          5        9        ERR129026
150          6        8        ERR124218
151          5        9        ERR068027
152          3        5        ERR069710
153          6        8        ERR065310
154          6        10       ERR129160
155          4        7        ERR065300
156          4        1        ERR069789
157          5        9        ERR065343
158          5        9        ERR069802
159          3        5        ERR129027
160          6        10       ERR129170
161          6        10       ERR129048
162          6        8        ERR065968
163          1        2        ERR065965
164          6        10       ERR068044
165          2        4        ERR129180
166          5        6        ERR068016
167          4        7        ERR065324
168          6        10       ERR129112
169          6        8        ERR129158
170          5        9        ERR069698
171          6        8        ERR069812
172          6        8        ERR124302
173          5        9        ERR129083
174          6        10       ERR065354
175          4        7        ERR069787
176          6        10       ERR068017
177          5        6        ERR129066
178          4        3        ERR129039
179          4        7        ERR065329
180          6        10       ERR124269
181          4        7        ERR129200
182          5        9        ERR067995
183          6        8        ERR068012
184          5        9        ERR124274
185          6        10       ERR067993
186          5        6        ERR069708
187          5        9        ERR129106
188          6        10       ERR069717
189          6        10       ERR067974
190          4        7        ERR069744
191          6        8        ERR129210
192          6        10       ERR129108
