3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1108      1113      1               2                0.4        ERR065974
1102      1113      1               50               1.6        ERR065341
1102      1113      1               54               1.6        ERR129130
499       530       3               138              1.0        ERR124311
1102      1113      1               163              1.5        ERR065965
1102      1113      1               185              1.6        ERR067993
1108      1113      1               273              0.4        ERR124278
499       530       3               306              1.0        ERR129057
1108      1113      1               319              0.4        ERR069803
133       154       1               390              0.2        ERR069807
1108      1113      1               418              0.4        ERR065289
1102      1113      1               455              1.6        ERR069841
499       530       3               480              1.0        ERR065290
1102      1113      1               492              1.6        ERR065296
499       530       3               505              1.0        ERR129135
1108      1113      1               525              0.4        ERR068009
