4 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1         42        1               1                7.8        ERR069738
1         54        1               2                7.7        ERR065974
874       918       3               2                1.9        ERR065974
1         42        1               7                8.0        ERR124222
874       918       3               7                1.9        ERR124222
1         42        1               8                8.7        ERR065305
1         42        1               9                9.1        ERR069786
1         42        1               10               9.5        ERR129179
1         36        1               12               9.1        ERR069709
874       918       3               12               0.2        ERR069709
874       918       3               14               2.1        ERR129212
1         42        1               15               7.8        ERR068037
874       903       3               16               2.1        ERR069814
1         42        1               17               9.5        ERR124241
1         42        1               18               8.4        ERR069795
1         42        1               19               9.5        ERR124293
874       918       3               20               2.1        ERR069735
1         42        1               21               8.4        ERR069773
1         42        1               24               8.7        ERR129105
1         42        1               25               8.2        ERR124226
874       903       3               25               2.1        ERR124226
1         42        1               26               8.7        ERR129196
1         42        1               27               7.7        ERR069823
874       918       3               27               3.4        ERR069823
1         36        1               29               9.1        ERR068001
874       918       3               29               0.2        ERR068001
1         42        1               31               7.8        ERR069764
874       903       3               31               2.0        ERR069764
874       903       3               32               2.1        ERR068007
1         42        1               33               8.7        ERR068008
1         42        1               35               9.5        ERR069703
1         42        1               36               8.7        ERR129195
1         42        1               37               9.5        ERR065325
1         42        1               38               7.7        ERR124256
874       918       3               38               3.4        ERR124256
1         42        1               39               9.5        ERR129087
874       918       3               40               2.1        ERR069819
1         42        1               41               8.7        ERR129129
1         42        1               42               9.5        ERR065960
1         42        1               43               8.7        ERR069796
874       903       3               44               2.1        ERR065326
1         42        1               45               7.7        ERR069712
874       918       3               45               3.4        ERR069712
1         42        1               47               8.0        ERR129075
874       918       3               47               1.9        ERR129075
1         54        1               50               7.7        ERR065341
874       918       3               50               1.9        ERR065341
1         42        1               51               8.7        ERR069771
1         42        1               52               8.0        ERR069706
874       918       3               52               1.9        ERR069706
1         42        1               53               8.4        ERR065970
1         54        1               54               7.7        ERR129130
874       918       3               54               1.9        ERR129130
1         42        1               55               7.8        ERR129096
1         42        1               57               7.7        ERR069809
874       918       3               57               3.4        ERR069809
1         42        1               58               8.4        ERR065302
874       918       3               59               1.9        ERR129187
1         42        1               61               7.8        ERR069686
1         42        1               62               9.5        ERR069824
1         42        1               64               8.7        ERR065972
1         42        1               65               7.7        ERR129164
874       918       3               65               3.4        ERR129164
1         42        1               66               7.8        ERR069688
1         42        1               67               9.1        ERR069685
1         42        1               68               7.8        ERR124307
1         42        1               69               9.5        ERR067962
874       903       3               70               2.1        ERR124257
1         42        1               72               8.7        ERR065301
1         42        1               73               7.4        ERR124287
874       918       3               73               1.5        ERR124287
1         42        1               75               7.7        ERR067964
874       918       3               75               3.4        ERR067964
1         42        1               78               8.7        ERR129063
894       918       3               79               1.5        ERR065332
1         42        1               81               8.7        ERR065287
1         42        1               85               9.5        ERR129148
1         42        1               86               8.4        ERR129040
1         42        1               87               7.7        ERR069835
874       918       3               87               3.4        ERR069835
1         42        1               88               7.4        ERR129146
874       918       3               88               1.5        ERR129146
1         42        1               89               7.3        ERR129102
1         42        1               90               9.5        ERR069729
874       918       3               92               2.1        ERR069748
1         42        1               93               8.0        ERR069843
874       918       3               93               1.9        ERR069843
1         42        1               94               8.7        ERR124229
1         42        1               95               7.7        ERR129088
874       918       3               95               3.4        ERR129088
874       903       3               96               2.1        ERR069752
1         42        1               98               8.7        ERR129149
874       903       3               99               2.1        ERR129214
1         42        1               100              8.7        ERR069833
874       903       3               102              2.1        ERR068046
1         42        1               104              8.7        ERR129140
1         42        1               105              8.7        ERR069831
874       918       3               106              1.9        ERR068014
1         42        1               107              8.7        ERR124315
1         42        1               108              8.0        ERR124255
874       918       3               108              1.9        ERR124255
1         42        1               109              8.7        ERR065342
1         42        1               111              8.7        ERR129159
1         42        1               112              7.8        ERR129204
874       918       3               113              1.9        ERR129094
874       918       3               114              2.1        ERR069689
1         42        1               115              8.4        ERR069751
1         36        1               116              9.1        ERR068005
874       918       3               116              0.2        ERR068005
1         42        1               117              9.5        ERR069749
1         42        1               118              7.7        ERR067981
874       918       3               118              3.4        ERR067981
1         42        1               119              7.8        ERR067996
1         42        1               121              7.7        ERR069785
874       918       3               121              1.7        ERR069785
