14 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
136       216       5               1                4.6        ERR069738
529       607       2               2                3.6        ERR065974
771       965       2               2                32.0       ERR065974
529       607       2               3                2.7        ERR129065
1042      1088      3               3                1.0        ERR129065
839       1075      2               4                33.2       ERR129037
740       894       2               7                27.3       ERR124222
529       607       2               9                3.6        ERR069786
771       965       2               9                32.0       ERR069786
623       655       1               11               13.2       ERR129176
839       1075      2               13               33.2       ERR067985
136       216       5               15               4.6        ERR068037
839       1075      2               16               33.2       ERR069814
1067      1075      2               21               4.5        ERR069773
529       607       2               22               3.2        ERR067966
1045      1088      3               22               1.6        ERR067966
529       607       2               23               3.2        ERR129029
1045      1088      3               23               1.6        ERR129029
895       1088      3               25               9.1        ERR124226
529       607       2               28               3.3        ERR124319
529       607       2               30               3.2        ERR129117
1045      1088      3               30               1.6        ERR129117
529       607       2               31               3.6        ERR069764
771       965       2               31               32.0       ERR069764
839       1075      2               32               33.2       ERR068007
529       607       2               34               3.2        ERR067969
1045      1088      3               34               1.6        ERR067969
382       395       1               38               7.7        ERR124256
839       1075      2               44               33.2       ERR065326
895       1088      3               46               8.4        ERR124244
740       894       2               47               27.3       ERR129075
839       1075      2               48               33.2       ERR069713
529       607       2               49               2.7        ERR069826
1042      1088      3               49               1.0        ERR069826
529       607       2               50               3.6        ERR065341
771       965       2               50               32.0       ERR065341
740       894       2               52               27.3       ERR069706
529       607       2               54               3.6        ERR129130
771       965       2               54               32.0       ERR129130
136       216       5               55               4.6        ERR129096
529       607       2               56               3.2        ERR129107
1045      1088      3               56               1.6        ERR129107
382       395       1               57               7.7        ERR069809
1067      1075      2               58               4.5        ERR065302
895       1088      3               59               11.3       ERR129187
529       607       2               60               3.2        ERR124314
1045      1088      3               60               1.6        ERR124314
136       216       5               61               4.6        ERR069686
529       607       2               62               3.0        ERR069824
771       1075      2               62               25.3       ERR069824
382       395       1               63               7.7        ERR068048
529       607       2               64               3.0        ERR065972
771       1088      2               64               25.1       ERR065972
136       216       5               66               4.6        ERR069688
136       216       5               68               4.6        ERR124307
839       1075      2               70               33.2       ERR124257
839       1075      2               71               33.2       ERR129127
895       1088      3               73               8.4        ERR124287
839       1075      2               77               33.2       ERR069727
271       442       2               80               8.1        ERR129028
623       655       1               82               13.2       ERR129213
529       607       2               83               3.2        ERR129155
1045      1088      3               83               1.6        ERR129155
623       655       1               84               13.2       ERR129042
1067      1075      2               86               4.5        ERR129040
895       1088      3               88               8.4        ERR129146
895       1088      3               89               8.4        ERR129102
529       607       2               90               3.0        ERR069729
771       1075      2               90               25.3       ERR069729
740       894       2               93               27.3       ERR069843
839       1075      2               96               33.2       ERR069752
382       395       1               97               7.7        ERR065350
839       1075      2               99               33.2       ERR129214
529       607       2               101              3.0        ERR124310
771       1075      2               101              22.9       ERR124310
839       1075      2               102              33.2       ERR068046
839       1075      2               103              33.2       ERR129215
1067      1075      2               107              4.5        ERR124315
839       1075      2               108              33.2       ERR124255
623       655       1               110              13.2       ERR124235
839       1075      2               111              33.2       ERR129159
136       216       5               112              4.6        ERR129204
136       216       5               119              4.6        ERR067996
529       607       2               120              3.2        ERR129052
1045      1088      3               120              1.6        ERR129052
355       395       1               121              4.3        ERR069785
461       510       4               121              8.2        ERR069785
839       990       2               126              36.2       ERR124228
1053      1088      2               126              3.5        ERR124228
529       607       2               127              3.0        ERR129044
771       1075      2               127              25.3       ERR129044
895       1088      3               132              8.4        ERR129076
839       1075      2               133              33.2       ERR129154
839       1075      2               135              33.2       ERR068040
529       607       2               137              3.2        ERR129157
1045      1088      3               137              1.6        ERR129157
839       1075      2               141              33.2       ERR067986
839       1075      2               142              33.2       ERR124291
895       1088      3               143              7.7        ERR129055
529       607       2               144              2.7        ERR069780
1042      1088      3               144              1.0        ERR069780
839       1075      2               146              33.2       ERR069822
529       607       2               148              3.3        ERR124288
529       607       2               151              3.2        ERR068027
1045      1088      3               151              1.6        ERR068027
839       1075      2               153              33.2       ERR065310
839       1075      2               156              33.2       ERR069789
136       216       5               157              4.6        ERR065343
529       607       2               158              3.2        ERR069802
1045      1088      3               158              1.6        ERR069802
623       655       1               159              13.8       ERR129027
529       607       2               161              3.0        ERR129048
771       1075      2               161              22.9       ERR129048
529       607       2               163              3.6        ERR065965
771       965       2               163              32.0       ERR065965
839       1075      2               172              33.2       ERR124302
271       442       2               173              8.1        ERR129083
136       216       5               182              4.6        ERR067995
529       607       2               185              3.0        ERR067993
771       965       2               185              30.3       ERR067993
623       655       1               186              13.2       ERR069708
529       607       2               187              3.2        ERR129106
1045      1088      3               187              1.6        ERR129106
529       607       2               190              3.2        ERR069744
1045      1088      3               190              1.6        ERR069744
839       1075      2               191              33.2       ERR129210
839       990       2               199              36.2       ERR067961
1053      1088      2               199              3.5        ERR067961
950       1116      3               200              16.2       ERR069820
271       442       2               201              8.1        ERR129216
529       607       2               202              3.2        ERR129116
1045      1088      3               202              1.6        ERR129116
740       894       2               205              27.3       ERR065973
271       607       2               206              12.0       ERR065309
608       1116      5               206              21.6       ERR065309
839       1075      2               216              33.2       ERR124296
1067      1075      2               219              4.5        ERR068039
136       216       5               222              4.6        ERR124248
529       692       2               223              7.4        ERR068041
782       1020      2               223              24.0       ERR068041
740       894       2               227              27.3       ERR069720
895       1088      3               229              9.1        ERR129064
529       607       2               230              3.2        ERR069830
1045      1088      3               230              1.6        ERR069830
839       1075      2               233              33.2       ERR069801
839       1075      2               235              33.2       ERR129080
529       607       2               237              3.2        ERR129147
1045      1088      3               237              1.6        ERR129147
136       216       5               242              4.6        ERR065338
529       607       2               247              3.2        ERR124219
1045      1088      3               247              1.6        ERR124219
529       607       2               248              3.1        ERR065345
1042      1088      3               248              1.3        ERR065345
529       607       2               249              3.0        ERR124305
771       1075      2               249              22.9       ERR124305
895       1088      3               250              9.1        ERR069769
623       655       1               257              13.2       ERR129167
740       894       2               263              27.3       ERR068003
839       1075      2               264              33.2       ERR124268
895       1088      3               265              9.1        ERR129181
529       607       2               269              3.0        ERR129111
771       1075      2               269              22.9       ERR129111
740       894       2               271              27.3       ERR068035
529       607       2               272              3.6        ERR069798
771       965       2               272              32.0       ERR069798
529       607       2               273              3.6        ERR124278
771       965       2               273              32.0       ERR124278
839       1075      2               274              33.2       ERR069760
839       990       2               284              36.2       ERR124292
1053      1088      2               284              3.5        ERR124292
