StrainIndex  Lineage  Cluster  Name
1            3        7        ERR069738
2            3        10       ERR065974
3            3        8        ERR129065
4            3        10       ERR129037
5            3        4        ERR069700
6            3        4        ERR124247
7            3        7        ERR124222
8            2        9        ERR065305
9            3        7        ERR069786
10           3        10       ERR129179
11           3        7        ERR129176
12           3        10       ERR069709
13           3        10       ERR067985
14           3        5        ERR129212
15           3        7        ERR068037
16           3        10       ERR069814
17           3        10       ERR124241
18           2        9        ERR069795
19           3        10       ERR124293
20           3        10       ERR069735
21           3        6        ERR069773
22           3        4        ERR067966
23           3        8        ERR129029
24           3        8        ERR129105
25           3        7        ERR124226
26           3        4        ERR129196
27           3        6        ERR069823
28           3        7        ERR124319
29           3        10       ERR068001
30           3        7        ERR129117
31           3        5        ERR069764
32           3        10       ERR068007
33           2        9        ERR068008
34           3        4        ERR067969
35           3        10       ERR069703
36           3        8        ERR129195
37           3        3        ERR065325
38           3        10       ERR124256
39           3        10       ERR129087
40           3        4        ERR069819
41           2        9        ERR129129
42           3        3        ERR065960
43           2        9        ERR069796
44           3        10       ERR065326
45           3        6        ERR069712
46           3        5        ERR124244
47           3        7        ERR129075
48           3        10       ERR069713
49           3        8        ERR069826
50           3        10       ERR065341
51           2        9        ERR069771
52           3        7        ERR069706
53           2        9        ERR065970
54           3        10       ERR129130
55           3        7        ERR129096
56           3        8        ERR129107
57           3        10       ERR069809
58           3        6        ERR065302
59           3        5        ERR129187
60           3        4        ERR124314
61           3        7        ERR069686
62           3        7        ERR069824
63           3        10       ERR068048
64           2        9        ERR065972
65           3        6        ERR129164
66           3        7        ERR069688
67           1        2        ERR069685
68           3        7        ERR124307
69           3        10       ERR067962
70           3        10       ERR124257
71           3        10       ERR129127
72           3        8        ERR065301
73           3        8        ERR124287
74           3        5        ERR068025
75           3        6        ERR067964
76           3        5        ERR069811
77           3        10       ERR069727
78           2        9        ERR129063
79           3        3        ERR065332
80           3        10       ERR129028
81           2        9        ERR065287
82           3        7        ERR129213
83           3        8        ERR129155
84           3        7        ERR129042
85           3        10       ERR129148
86           3        6        ERR129040
87           3        6        ERR069835
88           3        8        ERR129146
89           2        9        ERR129102
90           3        7        ERR069729
91           3        5        ERR129152
92           3        5        ERR069748
93           3        7        ERR069843
94           2        9        ERR124229
95           3        6        ERR129088
96           3        10       ERR069752
97           3        10       ERR065350
98           2        9        ERR129149
99           3        10       ERR129214
100          2        9        ERR069833
101          3        10       ERR124310
102          3        10       ERR068046
103          3        10       ERR129215
104          2        9        ERR129140
105          2        9        ERR069831
106          2        1        ERR068014
107          2        9        ERR124315
108          3        7        ERR124255
109          3        8        ERR065342
110          3        7        ERR124235
111          3        10       ERR129159
112          3        7        ERR129204
