1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1         61        1               1                8.1        ERR069738
1         67        1               2                10.0       ERR065974
1         67        1               3                10.0       ERR129065
1         67        1               7                10.0       ERR124222
1         61        1               9                8.1        ERR129179
1         61        1               13               8.1        ERR068037
1         61        1               15               8.1        ERR124241
1         61        1               17               8.1        ERR124293
1         67        1               18               10.0       ERR069735
1         67        1               21               10.0       ERR129029
1         61        1               22               10.7       ERR129105
1         61        1               23               8.1        ERR124226
1         61        1               24               10.7       ERR129196
1         67        1               27               10.0       ERR069764
1         61        1               31               8.1        ERR069703
1         61        1               32               10.7       ERR129195
1         61        1               35               8.1        ERR129087
1         67        1               36               10.0       ERR069819
1         67        1               41               10.0       ERR069712
1         61        1               42               8.1        ERR124244
1         67        1               43               10.0       ERR129075
1         67        1               45               10.0       ERR069826
1         67        1               46               10.0       ERR065341
1         67        1               48               10.0       ERR069706
1         67        1               50               10.0       ERR129130
1         61        1               51               8.1        ERR129096
1         67        1               52               10.0       ERR129107
1         61        1               57               8.1        ERR069686
1         61        1               61               6.9        ERR129164
1         61        1               62               8.1        ERR069688
1         61        1               63               8.1        ERR124307
1         61        1               64               8.1        ERR067962
1         61        1               67               10.7       ERR065301
1         67        1               68               10.0       ERR124287
1         61        1               69               8.1        ERR068025
1         61        1               71               8.1        ERR069811
1         67        1               75               10.0       ERR129028
1         67        1               77               10.0       ERR129155
1         61        1               78               8.1        ERR129148
1         67        1               81               10.0       ERR129146
1         61        1               84               8.1        ERR129152
1         67        1               86               10.0       ERR069843
1         61        1               88               6.9        ERR129088
1         61        1               93               8.1        ERR124310
1         67        1               100              10.0       ERR124255
1         61        1               101              10.7       ERR065342
1         61        1               103              8.1        ERR129204
1         61        1               107              8.1        ERR069749
1         61        1               108              6.9        ERR067981
1         61        1               109              8.1        ERR067996
1         67        1               110              10.0       ERR129052
1         61        1               111              8.1        ERR069785
1         73        1               112              8.1        ERR069792
1         61        1               113              6.9        ERR124271
1         61        1               115              8.1        ERR124277
1         61        1               117              8.1        ERR129044
1         61        1               119              8.1        ERR129074
1         67        1               122              10.0       ERR129076
1         67        1               126              10.0       ERR129051
1         73        1               129              8.1        ERR068031
1         67        1               132              10.0       ERR129055
1         67        1               133              10.0       ERR069780
1         61        1               134              8.1        ERR065327
1         67        1               138              10.0       ERR124218
1         67        1               139              10.0       ERR068027
1         61        1               143              8.1        ERR065300
1         61        1               145              8.1        ERR065343
1         67        1               146              10.0       ERR069802
1         61        1               149              8.1        ERR129048
1         67        1               150              10.0       ERR065968
1         67        1               151              10.0       ERR065965
1         67        1               152              10.0       ERR068044
1         61        1               154              8.1        ERR068016
1         61        1               155              8.1        ERR065324
1         61        1               157              6.9        ERR129158
1         67        1               161              10.0       ERR129083
1         73        1               162              8.1        ERR065354
1         61        1               165              8.1        ERR129066
1         61        1               166              8.1        ERR129039
1         61        1               167              8.1        ERR065329
1         61        1               169              8.1        ERR129200
1         61        1               170              8.1        ERR067995
1         61        1               171              6.9        ERR068012
1         67        1               173              10.0       ERR067993
1         67        1               174              10.0       ERR129106
1         67        1               180              10.0       ERR129132
1         61        1               182              8.1        ERR068019
1         61        1               183              8.1        ERR129099
1         96        1               187              9.7        ERR069820
1         67        1               188              10.0       ERR129216
1         67        1               189              10.0       ERR129116
1         61        1               190              8.1        ERR124250
1         67        1               191              10.0       ERR069690
1         67        1               192              10.0       ERR065973
1         61        1               193              8.1        ERR065309
1         73        1               197              8.1        ERR069737
1         61        1               198              8.1        ERR124316
1         61        1               199              8.1        ERR065304
1         61        1               200              10.7       ERR129144
1         61        1               201              8.1        ERR124232
1         67        1               202              10.0       ERR068018
1         61        1               208              8.1        ERR124248
1         61        1               209              8.1        ERR129086
1         61        1               211              8.1        ERR069834
1         67        1               212              10.0       ERR069720
1         61        1               214              8.1        ERR129064
1         67        1               220              10.0       ERR129147
1         61        1               222              10.7       ERR129077
1         61        1               223              8.1        ERR067994
1         61        1               224              8.1        ERR069726
1         61        1               225              8.1        ERR065338
1         61        1               226              6.9        ERR129041
1         67        1               230              10.0       ERR124219
1         67        1               231              10.0       ERR065345
1         61        1               232              8.1        ERR124305
1         61        1               233              8.1        ERR069769
1         67        1               234              10.0       ERR065295
1         67        1               235              10.0       ERR069768
1         61        1               240              8.1        ERR129143
1         61        1               241              8.1        ERR124299
1         67        1               243              10.0       ERR129090
1         61        1               244              8.1        ERR068002
1         67        1               245              10.0       ERR068003
1         61        1               251              8.1        ERR129111
1         67        1               253              10.0       ERR068035
1         67        1               254              10.0       ERR124278
1         61        1               258              8.1        ERR124236
1         61        1               260              8.1        ERR065959
1         73        1               261              8.1        ERR129045
1         67        1               268              10.0       ERR069800
1         61        1               270              10.7       ERR067998
1         67        1               274              10.0       ERR065311
1         67        1               275              10.0       ERR068020
1         61        1               276              8.1        ERR069767
1         67        1               277              10.0       ERR067967
1         67        1               279              10.0       ERR129161
1         61        1               281              6.9        ERR124289
1         67        1               284              10.0       ERR067977
1         67        1               289              10.0       ERR069715
1         61        1               290              6.9        ERR069683
1         61        1               291              8.1        ERR124253
1         67        1               293              10.0       ERR065966
1         67        1               294              10.0       ERR069803
1         61        1               296              8.1        ERR124254
1         61        1               297              10.7       ERR124320
1         61        1               298              8.1        ERR065298
1         73        1               302              8.1        ERR069692
1         73        1               305              8.1        ERR069723
1         67        1               306              10.0       ERR067976
1         67        1               307              10.0       ERR065307
1         67        1               312              10.0       ERR069742
1         67        1               315              10.0       ERR069790
1         61        1               318              6.9        ERR124309
1         67        1               323              10.0       ERR129062
1         61        1               324              8.1        ERR129203
1         61        1               326              8.1        ERR065316
1         61        1               327              8.1        ERR124217
1         61        1               328              8.1        ERR067991
1         61        1               332              8.1        ERR124260
1         61        1               334              8.1        ERR129162
1         61        1               338              6.9        ERR129184
1         67        1               339              10.0       ERR124233
1         61        1               340              8.1        ERR124266
1         61        1               341              10.7       ERR069818
1         61        1               342              8.1        ERR068029
1         61        1               344              8.1        ERR124279
1         67        1               346              10.0       ERR065294
1         61        1               348              8.1        ERR069778
1         67        1               349              10.0       ERR068015
1         61        1               351              8.1        ERR129163
1         67        1               353              10.0       ERR065355
1         67        1               354              10.0       ERR069777
1         67        1               355              10.0       ERR069791
1         61        1               358              8.1        ERR129134
1         61        1               360              8.1        ERR065351
1         67        1               361              10.0       ERR069807
1         67        1               366              10.0       ERR065315
1         67        1               367              10.0       ERR065346
1         61        1               370              8.1        ERR129156
1         61        1               371              8.1        ERR067988
1         61        1               372              10.7       ERR069714
1         67        1               373              10.0       ERR068036
1         61        1               375              8.1        ERR129035
1         67        1               376              10.0       ERR065306
1         67        1               377              10.0       ERR069838
1         67        1               378              10.0       ERR065313
1         61        1               379              8.1        ERR129038
1         61        1               382              10.7       ERR129053
1         67        1               384              10.0       ERR065289
1         67        1               385              10.0       ERR124285
1         61        1               386              6.9        ERR129126
1         67        1               387              10.0       ERR129151
1         61        1               391              8.1        ERR124264
1         67        1               394              10.0       ERR129082
1         67        1               396              10.0       ERR067980
1         67        1               399              10.0       ERR124258
1         67        1               400              10.0       ERR065314
1         61        1               401              8.1        ERR124301
1         61        1               406              6.9        ERR065318
1         61        1               407              10.7       ERR068010
1         61        1               410              8.1        ERR069728
1         61        1               411              8.1        ERR067997
1         67        1               416              10.0       ERR129202
1         61        1               417              8.1        ERR124290
1         67        1               419              10.0       ERR069841
1         67        1               420              10.0       ERR065955
1         67        1               421              10.0       ERR124265
