2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
848       1123      5               7                19.3       ERR124222
867       1123      5               46               19.5       ERR124244
848       1123      5               47               19.3       ERR129075
848       1123      5               52               19.3       ERR069706
848       1123      5               89               19.3       ERR129102
848       1123      5               93               19.3       ERR069843
848       1123      5               108              19.3       ERR124255
848       1123      5               205              19.3       ERR065973
848       1123      5               227              19.3       ERR069720
981       1123      5               251              7.9        ERR065295
848       1123      5               263              19.3       ERR068003
848       1123      5               271              19.3       ERR068035
981       1123      5               327              7.9        ERR065957
1110      1129      4               339              4.5        ERR069742
848       1123      5               351              19.3       ERR129062
848       1123      5               367              19.3       ERR124233
1110      1129      4               374              4.5        ERR065294
848       1123      5               384              19.3       ERR069791
848       1123      5               404              19.3       ERR068036
848       1123      5               405              19.3       ERR129071
848       1123      5               435              19.3       ERR065314
848       1123      5               466              19.3       ERR069842
1110      1129      4               472              4.5        ERR065352
848       1123      5               490              19.3       ERR129036
848       1123      5               497              19.3       ERR129078
848       1123      5               506              19.3       ERR069699
848       1123      5               508              19.3       ERR069793
848       1123      5               518              19.3       ERR129031
848       1123      5               519              19.3       ERR129049
848       1123      5               522              19.3       ERR067990
848       1123      5               573              19.3       ERR069762
848       1123      5               589              19.3       ERR067999
848       1123      5               596              19.3       ERR129193
848       1123      5               598              19.3       ERR069808
