StrainIndex  Lineage  Cluster  Name
1            6        9        ERR069738
2            6        9        ERR065974
3            6        10       ERR129065
4            6        7        ERR129037
5            6        10       ERR069700
6            6        9        ERR124247
7            4        2        ERR124222
8            6        9        ERR065305
9            6        9        ERR069786
10           6        9        ERR129179
11           1        3        ERR129176
12           6        10       ERR069709
13           6        7        ERR067985
14           6        10       ERR129212
15           6        9        ERR068037
16           6        9        ERR069814
17           6        9        ERR124241
18           6        9        ERR069795
19           6        9        ERR124293
20           6        10       ERR069735
21           6        10       ERR069773
22           6        10       ERR067966
23           6        10       ERR129029
24           5        8        ERR129105
25           6        10       ERR124226
26           6        9        ERR129196
27           5        8        ERR069823
28           3        1        ERR124319
29           6        10       ERR068001
30           1        3        ERR129117
31           6        10       ERR069764
32           6        9        ERR068007
33           5        8        ERR068008
34           6        10       ERR067969
35           6        9        ERR069703
36           5        8        ERR129195
37           6        9        ERR065325
38           6        9        ERR124256
39           6        9        ERR129087
40           6        10       ERR069819
41           6        9        ERR129129
42           6        9        ERR065960
43           5        8        ERR069796
44           6        7        ERR065326
45           6        10       ERR069712
46           3        4        ERR124244
47           4        2        ERR129075
48           6        7        ERR069713
49           6        10       ERR069826
50           6        9        ERR065341
51           5        8        ERR069771
52           2        5        ERR069706
53           6        9        ERR065970
54           6        9        ERR129130
55           6        9        ERR129096
56           6        10       ERR129107
57           6        9        ERR069809
58           6        10       ERR065302
59           6        10       ERR129187
60           6        10       ERR124314
61           6        9        ERR069686
62           6        9        ERR069824
63           6        9        ERR068048
64           6        9        ERR065972
65           6        10       ERR129164
66           6        9        ERR069688
67           6        9        ERR069685
68           6        9        ERR124307
69           6        9        ERR067962
70           6        10       ERR124257
71           6        7        ERR129127
72           6        9        ERR065301
73           6        9        ERR124287
74           6        10       ERR068025
75           6        10       ERR067964
76           6        10       ERR069811
77           6        7        ERR069727
78           5        8        ERR129063
79           6        10       ERR065332
80           6        10       ERR129028
81           6        9        ERR065287
82           1        3        ERR129213
83           6        10       ERR129155
84           6        10       ERR129042
85           6        9        ERR129148
86           6        10       ERR129040
87           5        8        ERR069835
88           6        10       ERR129146
89           4        6        ERR129102
90           6        9        ERR069729
91           6        10       ERR129152
92           6        10       ERR069748
93           6        9        ERR069843
94           6        9        ERR124229
95           6        10       ERR129088
96           6        7        ERR069752
97           6        10       ERR065350
98           6        9        ERR129149
99           6        7        ERR129214
100          6        9        ERR069833
101          4        6        ERR124310
102          6        7        ERR068046
103          6        7        ERR129215
104          5        8        ERR129140
105          5        8        ERR069831
106          6        10       ERR068014
107          5        8        ERR124315
108          6        9        ERR124255
109          6        9        ERR065342
110          1        3        ERR124235
111          6        7        ERR129159
112          6        9        ERR129204
113          6        10       ERR129094
114          6        10       ERR069689
115          6        9        ERR069751
116          6        9        ERR068005
117          6        9        ERR069749
118          6        10       ERR067981
119          6        9        ERR067996
120          6        10       ERR129052
121          6        9        ERR069785
122          6        10       ERR069792
123          6        9        ERR124271
124          6        9        ERR069687
125          6        9        ERR124277
126          6        10       ERR124228
127          6        10       ERR129044
128          6        10       ERR065353
129          6        9        ERR129074
130          5        8        ERR069817
131          6        10       ERR065953
132          6        10       ERR129076
133          6        7        ERR129154
134          6        10       ERR069725
135          6        7        ERR068040
