2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
538       757       2               3                5.6        ERR129065
538       757       2               21               5.6        ERR069773
538       757       2               23               5.6        ERR129029
538       757       2               48               5.6        ERR069826
538       757       2               55               5.6        ERR129107
538       757       2               57               5.6        ERR065302
538       757       2               72               5.6        ERR124287
538       757       2               82               5.6        ERR129155
538       757       2               85               5.6        ERR129040
538       757       2               87               5.6        ERR129146
538       757       2               119              5.6        ERR129052
538       757       2               131              5.6        ERR129076
538       757       2               142              5.6        ERR129055
538       757       2               143              5.6        ERR069780
538       757       2               150              5.6        ERR068027
538       757       2               157              5.6        ERR069802
538       757       2               177              5.6        ERR129039
359       490       6               184              3.3        ERR067993
538       757       2               186              5.6        ERR129106
538       757       2               199              5.6        ERR069820
538       757       2               201              5.6        ERR129116
538       757       2               218              5.6        ERR068039
538       757       2               229              5.6        ERR069830
538       757       2               236              5.6        ERR129147
538       757       2               246              5.6        ERR124219
538       757       2               247              5.6        ERR065345
731       757       2               264              9.3        ERR129181
538       757       2               289              5.6        ERR069800
538       757       2               296              5.6        ERR065311
538       757       2               299              5.6        ERR067967
538       757       2               301              5.6        ERR129161
538       757       2               316              5.6        ERR065966
538       757       2               317              4.9        ERR069803
538       757       2               331              5.6        ERR067976
538       757       2               332              5.6        ERR065307
538       757       2               340              5.6        ERR069790
538       757       2               361              5.6        ERR129124
538       757       2               375              5.6        ERR068015
538       757       2               379              5.6        ERR065355
538       757       2               381              5.6        ERR069777
538       757       2               388              5.6        ERR069807
538       757       2               395              5.6        ERR065346
538       757       2               406              5.6        ERR065306
538       757       2               408              5.6        ERR065313
538       757       2               420              5.6        ERR065321
538       757       2               425              5.6        ERR129082
538       757       2               426              5.6        ERR069743
538       757       2               427              5.6        ERR067980
538       757       2               452              4.9        ERR069841
296       396       6               453              0.5        ERR065955
538       757       2               477              5.6        ERR065322
538       757       2               497              5.6        ERR129208
538       757       2               516              5.6        ERR129205
538       757       2               519              5.6        ERR069694
538       757       2               530              5.6        ERR129188
538       757       2               533              5.6        ERR129056
538       757       2               534              5.6        ERR124245
538       757       2               537              5.6        ERR069775
538       757       2               546              5.6        ERR129192
538       757       2               548              5.6        ERR069736
538       757       2               549              5.6        ERR129098
538       757       2               554              5.6        ERR065339
538       757       2               556              5.6        ERR124238
538       757       2               572              5.6        ERR067973
538       757       2               580              5.6        ERR065331
538       757       2               588              5.6        ERR129141
538       757       2               596              5.6        ERR129133
538       757       2               598              5.6        ERR065348
538       757       2               608              5.6        ERR129171
538       757       2               609              5.6        ERR129122
538       757       2               610              5.6        ERR129100
