2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1         162       3               1                3.9        ERR069738
1         103       3               8                2.0        ERR065305
1         103       3               14               4.1        ERR129212
1         103       3               15               4.1        ERR068037
1         103       3               18               2.0        ERR069795
1         103       3               33               2.0        ERR068008
1         103       3               37               2.0        ERR065325
1         103       3               41               2.0        ERR129129
1         103       3               42               2.0        ERR065960
1         103       3               43               2.0        ERR069796
1         103       3               51               2.0        ERR069771
1         103       3               53               2.0        ERR065970
1         162       3               55               3.9        ERR129096
1         103       3               64               2.0        ERR065972
1         162       3               66               3.9        ERR069688
1         162       3               68               3.9        ERR124307
1         103       3               78               2.0        ERR129063
1         103       3               81               2.0        ERR065287
1         103       3               92               4.1        ERR069748
1         103       3               94               2.0        ERR124229
1         103       3               98               2.0        ERR129149
1         103       3               100              2.0        ERR069833
1         103       3               104              2.0        ERR129140
1         103       3               105              2.0        ERR069831
1         103       3               107              2.0        ERR124315
1         162       3               112              3.9        ERR129204
1         103       3               114              4.1        ERR069689
1         103       3               115              2.0        ERR069751
1         162       3               119              3.9        ERR067996
1         103       3               124              2.0        ERR069687
104       162       3               127              2.8        ERR129044
1         103       3               130              2.0        ERR069817
1         103       3               147              2.0        ERR129207
1         103       3               154              2.0        ERR129160
1         103       3               157              4.1        ERR065343
1         103       3               160              2.0        ERR129170
1         103       3               164              2.0        ERR068044
1         103       3               165              4.1        ERR129180
1         103       3               168              2.0        ERR129112
1         103       3               176              2.0        ERR068017
1         103       3               180              2.0        ERR124269
1         103       3               188              2.0        ERR069717
1         103       3               189              2.0        ERR067974
1         103       3               192              2.0        ERR129108
1         103       3               194              2.0        ERR069711
1         103       3               197              2.0        ERR129059
1         103       3               217              2.0        ERR067960
1         103       3               218              2.0        ERR068050
1         103       3               221              2.0        ERR129032
1         162       3               222              3.9        ERR124248
1         103       3               225              2.0        ERR065317
1         103       3               228              2.0        ERR129050
1         103       3               231              2.0        ERR069774
1         103       3               238              2.0        ERR069829
1         103       3               245              2.0        ERR129120
1         103       3               253              2.0        ERR129197
1         103       3               266              2.0        ERR069696
1         103       3               267              2.0        ERR129072
1         103       3               270              4.1        ERR068006
1         103       3               275              2.0        ERR067984
1         103       3               278              2.0        ERR068045
1         103       3               281              2.0        ERR069781
1         103       3               282              4.1        ERR069832
1         103       3               285              2.0        ERR129186
104       162       3               287              2.8        ERR129043
1         103       3               288              2.0        ERR069805
1         103       3               289              2.0        ERR124220
1         103       3               295              2.0        ERR129183
1         103       3               296              2.0        ERR068034
1         162       3               299              3.9        ERR069767
1         103       3               301              2.0        ERR069691
1         103       3               302              2.0        ERR129161
1         103       3               303              4.1        ERR069716
1         103       3               305              2.0        ERR129153
1         103       3               310              2.0        ERR124281
1         103       3               311              4.1        ERR069750
104       162       3               313              2.8        ERR124227
1         103       3               320              2.0        ERR124267
1         103       3               336              2.0        ERR069745
1         103       3               337              2.0        ERR129081
1         103       3               344              2.0        ERR129142
1         103       3               357              2.0        ERR124284
1         162       3               360              3.9        ERR124260
1         103       3               361              4.1        ERR069701
1         103       3               362              3.3        ERR129162
1         103       3               365              2.0        ERR065299
1         103       3               373              2.0        ERR129175
1         162       3               376              3.9        ERR069778
1         103       3               385              2.0        ERR124263
1         103       3               386              2.0        ERR069704
1         103       3               388              2.0        ERR129025
1         103       3               391              2.0        ERR129209
1         103       3               392              2.0        ERR069761
1         103       3               393              2.0        ERR129034
1         103       3               399              2.0        ERR069828
1         162       3               401              3.9        ERR129156
1         103       3               415              2.0        ERR129046
1         132       3               421              7.1        ERR129151
1         103       3               422              2.0        ERR124225
1         103       3               424              2.0        ERR068011
1         162       3               431              3.9        ERR069836
1         103       3               433              2.0        ERR065288
1         162       3               434              4.6        ERR124258
1         103       3               437              2.0        ERR129091
1         103       3               440              2.0        ERR129118
1         103       3               448              2.0        ERR065291
1         103       3               457              2.0        ERR129121
1         103       3               459              2.0        ERR069739
1         103       3               462              2.0        ERR129123
1         162       3               463              3.9        ERR067965
1         103       3               468              2.0        ERR129174
1         162       3               469              3.9        ERR124318
1         103       3               476              4.1        ERR067983
1         103       3               486              2.0        ERR065337
1         103       3               493              3.3        ERR065958
1         103       3               495              4.1        ERR067989
1         103       3               500              2.0        ERR129208
1         103       3               501              2.0        ERR124251
1         103       3               503              2.0        ERR065975
1         103       3               509              2.0        ERR124234
1         103       3               511              2.0        ERR068038
1         103       3               514              2.0        ERR129125
1         103       3               515              2.0        ERR069705
1         103       3               516              2.0        ERR065328
1         103       3               529              2.0        ERR124313
1         103       3               530              2.0        ERR069758
1         103       3               534              2.0        ERR124280
1         103       3               537              2.0        ERR124245
1         103       3               539              2.0        ERR129033
1         103       3               543              2.0        ERR069684
1         132       3               547              7.1        ERR069815
1         103       3               554              2.0        ERR129190
1         103       3               560              2.0        ERR069753
1         103       3               563              2.0        ERR069776
1         162       3               565              3.9        ERR069783
1         103       3               567              2.0        ERR069695
1         103       3               574              2.0        ERR069794
1         103       3               575              2.0        ERR124295
1         103       3               579              2.0        ERR065340
1         103       3               587              2.0        ERR068024
1         103       3               589              2.0        ERR065323
1         103       3               593              2.0        ERR065319
1         103       3               602              2.0        ERR065348
1         103       3               609              2.0        ERR124270
104       162       3               611              2.8        ERR129194
1         103       3               614              2.0        ERR129100
