StrainIndex  Lineage  Cluster  Name
1            3        6        ERR069738
2            3        6        ERR129065
3            3        6        ERR129037
4            3        6        ERR069700
5            3        6        ERR124247
6            3        5        ERR124222
7            3        6        ERR129179
8            3        5        ERR069709
9            3        6        ERR067985
10           3        6        ERR068037
11           3        6        ERR069814
12           3        6        ERR124241
13           3        6        ERR124293
14           3        6        ERR069735
15           3        6        ERR067966
16           3        6        ERR129029
17           3        5        ERR129105
18           3        6        ERR124226
19           3        5        ERR129196
20           3        6        ERR069823
21           1        1        ERR124319
22           3        5        ERR068001
23           3        6        ERR068007
24           3        6        ERR067969
25           3        6        ERR069703
26           3        5        ERR129195
27           2        2        ERR065325
28           3        6        ERR124256
29           3        6        ERR129087
30           3        6        ERR069819
31           2        2        ERR065960
32           3        6        ERR065326
33           3        3        ERR069712
34           3        5        ERR129075
35           3        6        ERR069713
36           3        6        ERR069826
37           3        5        ERR069706
38           3        6        ERR129096
39           3        6        ERR129107
40           3        6        ERR069809
41           3        4        ERR129187
42           3        6        ERR124314
43           3        6        ERR069686
44           3        6        ERR068048
45           3        6        ERR129164
46           3        6        ERR069688
47           3        6        ERR124307
48           3        6        ERR067962
49           3        6        ERR124257
50           3        6        ERR129127
51           3        5        ERR065301
52           3        6        ERR067964
53           3        6        ERR069727
54           3        4        ERR065332
55           3        6        ERR129028
56           3        6        ERR129155
57           3        6        ERR129148
58           3        6        ERR069835
59           3        5        ERR069843
60           3        6        ERR129088
61           3        6        ERR069752
62           3        6        ERR065350
63           3        6        ERR129214
64           3        6        ERR124310
65           3        6        ERR068046
66           3        6        ERR129215
67           3        5        ERR124255
68           3        5        ERR065342
69           3        6        ERR129159
70           3        6        ERR129204
71           3        5        ERR068005
72           3        6        ERR069749
73           3        6        ERR067981
74           3        6        ERR067996
75           3        6        ERR129052
76           3        6        ERR124277
77           3        6        ERR129044
78           3        5        ERR065353
79           3        6        ERR129074
80           3        5        ERR065953
81           3        6        ERR129154
82           3        4        ERR069725
83           3        6        ERR068040
84           3        3        ERR129051
85           3        6        ERR124311
86           3        6        ERR069746
87           3        6        ERR067986
88           3        6        ERR124291
89           3        6        ERR069780
90           3        6        ERR069822
91           1        1        ERR124288
92           3        4        ERR129026
93           3        6        ERR124218
94           3        6        ERR068027
95           3        5        ERR069710
96           3        6        ERR065310
97           3        6        ERR065300
98           3        6        ERR069789
99           3        6        ERR065343
100          3        6        ERR069802
101          3        5        ERR129027
102          3        6        ERR129048
103          3        3        ERR065968
104          3        6        ERR065324
105          3        6        ERR129158
106          3        4        ERR069698
107          3        6        ERR069812
108          3        6        ERR124302
109          3        6        ERR129083
110          3        6        ERR069787
111          3        6        ERR065329
112          3        6        ERR129200
113          3        6        ERR067995
114          3        6        ERR068012
115          3        4        ERR124274
116          3        6        ERR129106
117          3        6        ERR069744
118          3        6        ERR129210
119          3        3        ERR129132
120          3        6        ERR068019
121          3        6        ERR129099
122          3        6        ERR065292
123          3        6        ERR129216
124          3        6        ERR129116
125          3        6        ERR124250
126          3        3        ERR069690
127          3        5        ERR065973
128          3        6        ERR065309
129          3        4        ERR124283
130          3        4        ERR065293
131          3        6        ERR069825
132          2        2        ERR069737
133          3        6        ERR124316
134          3        5        ERR129144
135          3        3        ERR068018
136          3        6        ERR124296
137          3        5        ERR068004
138          3        6        ERR124248
139          3        6        ERR068041
140          3        6        ERR129086
141          3        6        ERR069834
142          3        5        ERR069720
143          2        2        ERR129050
144          3        6        ERR069830
145          3        6        ERR069801
146          3        4        ERR124221
147          3        6        ERR129080
148          3        4        ERR068026
149          3        6        ERR129147
150          3        5        ERR129077
151          3        6        ERR069726
152          3        6        ERR065338
153          3        4        ERR065297
154          3        4        ERR129061
155          3        6        ERR124219
156          3        6        ERR065345
157          3        6        ERR124305
158          3        6        ERR069769
159          3        6        ERR065295
160          3        3        ERR069768
161          3        6        ERR065967
162          3        5        ERR124223
163          3        5        ERR069734
