StrainIndex  Lineage  Cluster  Name
1            5        6        ERR069738
2            5        5        ERR065974
3            5        6        ERR129065
4            5        5        ERR129037
5            5        6        ERR069700
6            5        5        ERR124247
7            5        6        ERR124222
8            5        5        ERR065305
9            5        6        ERR069786
10           5        6        ERR129179
11           5        5        ERR069709
12           5        5        ERR067985
13           5        6        ERR068037
14           5        5        ERR069814
15           5        6        ERR124241
16           5        5        ERR069795
17           5        6        ERR124293
18           5        5        ERR069773
19           5        6        ERR067966
20           5        5        ERR129029
21           5        6        ERR129105
22           5        5        ERR124226
23           5        6        ERR129196
24           5        6        ERR069823
25           5        5        ERR124319
26           5        5        ERR068001
27           5        5        ERR069764
28           5        5        ERR068007
29           5        6        ERR068008
30           5        6        ERR067969
31           5        6        ERR069703
32           5        6        ERR129195
33           5        6        ERR124256
34           5        6        ERR129087
35           5        6        ERR069819
36           5        5        ERR129129
37           5        6        ERR069796
38           5        5        ERR065326
39           5        6        ERR069712
40           5        5        ERR124244
41           5        6        ERR129075
42           5        5        ERR069713
43           5        6        ERR069826
44           5        5        ERR065341
45           5        6        ERR069771
46           5        6        ERR069706
47           5        5        ERR065970
48           5        5        ERR129130
49           5        6        ERR129096
50           5        5        ERR129107
51           5        6        ERR069809
52           5        5        ERR065302
53           5        5        ERR129187
54           5        6        ERR069686
55           5        6        ERR069824
56           5        6        ERR068048
57           5        5        ERR065972
58           5        6        ERR129164
59           5        6        ERR069688
60           5        6        ERR069685
61           5        6        ERR124307
62           5        6        ERR067962
63           5        5        ERR124257
64           5        5        ERR129127
65           5        6        ERR065301
66           5        5        ERR124287
67           5        5        ERR068025
68           5        6        ERR067964
69           5        5        ERR069811
70           5        5        ERR069727
71           5        6        ERR129063
72           5        5        ERR065332
73           5        6        ERR129028
74           5        5        ERR065287
75           5        5        ERR129155
76           5        6        ERR129148
77           5        5        ERR129040
78           5        6        ERR069835
79           5        5        ERR129146
80           5        6        ERR129102
81           5        6        ERR069729
82           5        5        ERR129152
83           5        6        ERR069843
84           5        5        ERR124229
85           5        6        ERR129088
86           5        5        ERR069752
87           5        6        ERR065350
88           5        5        ERR129149
89           5        5        ERR129214
90           5        5        ERR069833
91           3        3        ERR124310
92           5        5        ERR068046
93           5        5        ERR129215
94           5        6        ERR129140
95           5        6        ERR069831
96           5        5        ERR068014
97           5        6        ERR124315
98           5        6        ERR124255
99           5        6        ERR065342
100          5        5        ERR129159
101          5        6        ERR129204
102          5        5        ERR129094
103          5        5        ERR069751
104          5        5        ERR068005
105          5        6        ERR069749
106          5        6        ERR067981
107          5        6        ERR067996
108          5        5        ERR129052
109          5        5        ERR069785
110          5        5        ERR069792
111          5        6        ERR124271
112          5        5        ERR069687
113          5        6        ERR124277
114          5        5        ERR124228
115          5        6        ERR129044
116          5        5        ERR065353
117          5        6        ERR129074
118          5        6        ERR069817
119          5        5        ERR065953
120          5        5        ERR129076
121          5        5        ERR129154
122          5        5        ERR069725
123          5        5        ERR068040
124          5        6        ERR129051
125          5        6        ERR124311
126          5        6        ERR069746
127          5        5        ERR068031
128          5        5        ERR067986
129          5        5        ERR124291
130          5        5        ERR129055
131          5        6        ERR069780
132          5        5        ERR065327
133          5        5        ERR069822
134          5        5        ERR129207
135          5        5        ERR124288
136          5        5        ERR129026
137          5        6        ERR124218
138          5        5        ERR068027
139          5        5        ERR069710
140          5        5        ERR065310
141          5        6        ERR129160
142          5        6        ERR065300
143          5        5        ERR069789
144          5        6        ERR065343
145          5        5        ERR069802
146          5        5        ERR129027
147          5        6        ERR129170
148          5        6        ERR129048
149          5        6        ERR065968
150          5        5        ERR065965
151          5        5        ERR068044
152          5        6        ERR068016
153          5        6        ERR065324
154          5        6        ERR129112
155          5        6        ERR129158
156          5        6        ERR069698
157          5        6        ERR069812
158          5        5        ERR124302
159          5        6        ERR129083
160          5        5        ERR065354
161          5        6        ERR069787
162          5        6        ERR068017
163          5        6        ERR129066
164          5        5        ERR129039
165          5        6        ERR065329
166          5        6        ERR124269
167          5        6        ERR129200
168          5        6        ERR067995
169          5        6        ERR068012
170          5        5        ERR124274
171          5        6        ERR067993
172          5        5        ERR129106
173          5        6        ERR069717
174          5        5        ERR067974
175          5        6        ERR069744
176          5        5        ERR129210
177          5        6        ERR129108
178          5        6        ERR129132
179          5        5        ERR069711
180          5        6        ERR068019
181          5        6        ERR129099
182          5        6        ERR129059
183          5        6        ERR065292
184          5        5        ERR067961
185          5        6        ERR069820
186          5        6        ERR129216
187          5        5        ERR129116
188          5        6        ERR124250
189          5        6        ERR069690
190          5        6        ERR065973
191          5        6        ERR065309
192          5        5        ERR124283
193          5        5        ERR065293
194          5        6        ERR069825
195          5        6        ERR069737
196          5        6        ERR124316
197          5        6        ERR065304
198          5        6        ERR129144
199          5        5        ERR124232
200          5        5        ERR068018
201          5        5        ERR124296
202          5        5        ERR067960
203          5        5        ERR068050
204          5        5        ERR068039
205          5        5        ERR068004
206          5        5        ERR129032
207          5        6        ERR124248
208          5        5        ERR068041
209          5        6        ERR129086
210          5        5        ERR065317
211          5        6        ERR069834
212          5        6        ERR069720
213          5        5        ERR129064
214          5        5        ERR069830
215          5        5        ERR069774
216          5        5        ERR129206
217          5        5        ERR069801
218          5        6        ERR124221
219          5        5        ERR129080
220          5        5        ERR068026
221          5        5        ERR129147
222          5        5        ERR069829
223          5        6        ERR129077
224          5        5        ERR067994
225          5        6        ERR069726
226          5        6        ERR065338
227          5        6        ERR129041
228          5        5        ERR065297
229          5        6        ERR129120
230          4        4        ERR129061
231          5        5        ERR124219
232          5        5        ERR065345
233          3        3        ERR124305
234          5        5        ERR069769
235          5        6        ERR065295
236          5        6        ERR069768
237          5        6        ERR129197
238          5        6        ERR065967
239          5        5        ERR124223
240          5        5        ERR069734
241          5        6        ERR129143
242          5        6        ERR124299
243          5        5        ERR129092
244          5        6        ERR129090
245          5        6        ERR068002
246          5        5        ERR068003
247          5        5        ERR124268
248          5        6        ERR129181
249          5        6        ERR069696
250          5        6        ERR129072
251          5        6        ERR065344
252          5        6        ERR129111
253          5        6        ERR068035
254          5        6        ERR069798
255          5        5        ERR124278
256          5        5        ERR069760
257          5        6        ERR067984
258          1        1        ERR069782
259          5        6        ERR124236
260          5        5        ERR068045
261          5        6        ERR065959
262          5        6        ERR129045
263          5        6        ERR069781
264          4        4        ERR065320
265          5        5        ERR124292
266          5        5        ERR129186
267          5        6        ERR069805
268          5        5        ERR124220
269          5        5        ERR069800
270          5        5        ERR068021
271          5        6        ERR067998
272          5        5        ERR124312
273          5        6        ERR065971
274          5        5        ERR129183
275          5        5        ERR068034
276          5        5        ERR065311
277          5        6        ERR068020
278          5        5        ERR067967
279          5        5        ERR069691
280          5        5        ERR129161
281          5        6        ERR124289
282          5        6        ERR129153
283          5        6        ERR129057
284          5        6        ERR067977
285          5        5        ERR129131
286          5        6        ERR069772
287          5        5        ERR124281
288          5        6        ERR069715
289          5        6        ERR069683
290          5        6        ERR069813
291          5        6        ERR124253
292          5        5        ERR069724
293          5        5        ERR065966
294          5        6        ERR069803
295          5        5        ERR124267
296          5        5        ERR124254
297          5        6        ERR129168
298          5        6        ERR124320
299          5        5        ERR065298
300          5        5        ERR069804
301          5        5        ERR065957
302          5        5        ERR068042
303          5        5        ERR124249
304          5        5        ERR069759
305          5        5        ERR069723
