1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1         229       3               21               2.6        ERR069773
1         229       3               23               2.6        ERR129029
1         229       3               38               2.6        ERR124256
1         229       3               56               2.6        ERR129107
1         229       3               57               2.6        ERR069809
1         229       3               58               2.6        ERR065302
1         229       3               63               2.6        ERR068048
1         229       3               83               2.6        ERR129155
1         229       3               86               2.6        ERR129040
1         229       3               97               2.6        ERR065350
1         229       3               120              2.6        ERR129052
1         229       3               151              2.6        ERR068027
1         229       3               158              2.6        ERR069802
1         229       3               187              2.6        ERR129106
1         229       3               202              2.6        ERR129116
1         229       3               210              2.6        ERR069737
1         229       3               219              2.6        ERR068039
1         229       3               230              2.6        ERR069830
1         229       3               237              2.6        ERR129147
1         229       3               247              2.6        ERR124219
1         229       3               248              2.6        ERR065345
1         229       3               290              2.6        ERR069800
1         229       3               297              2.6        ERR065311
1         229       3               300              2.6        ERR067967
1         229       3               302              2.6        ERR129161
1         229       3               318              2.6        ERR065966
1         229       3               342              2.6        ERR069790
1         229       3               363              2.6        ERR129124
1         229       3               377              2.6        ERR068015
1         229       3               381              2.6        ERR065355
1         229       3               383              2.6        ERR069777
1         229       3               390              2.6        ERR069807
1         229       3               397              2.6        ERR065346
1         229       3               398              2.6        ERR069731
1         229       3               408              2.6        ERR065306
1         229       3               423              2.6        ERR065321
1         229       3               430              2.6        ERR067980
1         229       3               456              2.6        ERR065955
1         229       3               479              2.6        ERR065347
1         229       3               481              2.6        ERR065322
1         229       3               501              2.6        ERR129208
1         229       3               523              2.6        ERR069694
1         229       3               534              2.6        ERR129188
1         229       3               537              2.6        ERR129056
1         229       3               538              2.6        ERR124245
1         229       3               541              2.6        ERR069775
1         229       3               550              2.6        ERR129192
1         229       3               552              2.6        ERR069736
1         229       3               558              2.6        ERR065339
1         229       3               560              2.6        ERR124238
1         229       3               577              2.6        ERR067973
1         229       3               585              2.6        ERR065331
1         229       3               593              2.6        ERR129141
1         229       3               603              2.6        ERR065348
1         229       3               608              2.6        ERR129201
1         229       3               613              2.6        ERR129171
1         229       3               614              2.6        ERR129122
1         229       3               615              2.6        ERR129100
