StrainIndex  Lineage  Cluster  Name
1            4        3        ERR069738
2            3        7        ERR065974
3            4        9        ERR129065
4            2        4        ERR129037
5            4        9        ERR069700
6            4        9        ERR124247
7            4        10       ERR124222
8            2        8        ERR065305
9            3        7        ERR069786
10           4        6        ERR129179
11           4        10       ERR129176
12           3        5        ERR069709
13           2        4        ERR067985
14           4        3        ERR129212
15           4        3        ERR068037
16           4        9        ERR069814
17           4        6        ERR124241
18           2        8        ERR069795
19           4        6        ERR124293
20           4        9        ERR069735
21           4        10       ERR069773
22           4        9        ERR067966
23           4        10       ERR129029
24           4        10       ERR129105
25           4        6        ERR124226
26           4        10       ERR129196
27           3        7        ERR069823
28           3        7        ERR124319
29           3        5        ERR068001
30           4        10       ERR129117
31           2        4        ERR069764
32           4        9        ERR068007
33           2        8        ERR068008
34           4        9        ERR067969
35           4        6        ERR069703
36           4        10       ERR129195
37           4        9        ERR065325
38           4        9        ERR124256
39           4        6        ERR129087
40           4        9        ERR069819
41           3        5        ERR129129
42           4        9        ERR065960
43           2        8        ERR069796
44           3        7        ERR065326
45           3        1        ERR069712
46           4        10       ERR124244
47           4        10       ERR129075
48           2        4        ERR069713
49           4        9        ERR069826
50           3        7        ERR065341
51           2        8        ERR069771
52           4        9        ERR069706
53           2        8        ERR065970
54           3        7        ERR129130
55           4        3        ERR129096
56           4        9        ERR129107
57           4        9        ERR069809
58           4        10       ERR065302
59           4        9        ERR129187
60           4        9        ERR124314
61           4        3        ERR069686
62           3        7        ERR069824
63           4        9        ERR068048
64           2        8        ERR065972
65           3        7        ERR129164
66           4        3        ERR069688
67           3        7        ERR069685
68           4        3        ERR124307
69           4        6        ERR067962
70           4        9        ERR124257
71           2        4        ERR129127
72           4        10       ERR065301
73           4        9        ERR124287
74           3        7        ERR068025
75           3        7        ERR067964
76           3        7        ERR069811
77           2        4        ERR069727
78           2        8        ERR129063
79           4        10       ERR065332
80           2        8        ERR129028
81           3        5        ERR065287
82           4        10       ERR129213
83           4        9        ERR129155
84           4        10       ERR129042
85           4        6        ERR129148
86           4        10       ERR129040
87           3        7        ERR069835
88           4        9        ERR129146
89           2        8        ERR129102
90           3        7        ERR069729
91           3        7        ERR129152
92           4        3        ERR069748
93           4        10       ERR069843
94           2        8        ERR124229
95           2        8        ERR129088
96           3        7        ERR069752
97           4        9        ERR065350
98           2        8        ERR129149
99           3        7        ERR129214
100          3        5        ERR069833
101          4        10       ERR124310
102          3        7        ERR068046
103          2        4        ERR129215
104          2        8        ERR129140
105          2        8        ERR069831
106          3        5        ERR068014
107          2        8        ERR124315
108          4        10       ERR124255
109          4        10       ERR065342
110          4        10       ERR124235
111          2        4        ERR129159
112          4        3        ERR129204
113          3        5        ERR129094
114          4        3        ERR069689
115          2        8        ERR069751
116          3        5        ERR068005
117          4        6        ERR069749
118          3        7        ERR067981
119          4        3        ERR067996
120          4        10       ERR129052
121          4        10       ERR069785
122          1        2        ERR069792
123          4        10       ERR124271
124          2        8        ERR069687
125          4        6        ERR124277
126          1        2        ERR124228
127          1        2        ERR129044
128          3        5        ERR065353
129          4        6        ERR129074
130          2        8        ERR069817
131          3        5        ERR065953
132          4        9        ERR129076
133          2        4        ERR129154
134          4        10       ERR069725
135          3        7        ERR068040
136          3        1        ERR129051
137          4        10       ERR129157
138          4        10       ERR124311
139          3        7        ERR069746
140          1        2        ERR068031
141          3        7        ERR067986
142          2        4        ERR124291
143          4        9        ERR129055
144          4        9        ERR069780
145          3        7        ERR065327
146          2        4        ERR069822
147          2        8        ERR129207
148          3        7        ERR124288
149          4        10       ERR129026
150          4        3        ERR124218
151          4        9        ERR068027
152          3        5        ERR069710
153          2        4        ERR065310
154          2        8        ERR129160
155          4        6        ERR065300
156          4        9        ERR069789
157          4        3        ERR065343
158          4        9        ERR069802
159          4        9        ERR129027
160          2        8        ERR129170
161          4        10       ERR129048
162          3        1        ERR065968
163          3        7        ERR065965
164          3        5        ERR068044
165          4        3        ERR129180
166          4        10       ERR068016
