1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1002      1032      3               31               1.4        ERR069764
1002      1032      3               59               1.4        ERR129187
1002      1032      3               106              1.4        ERR068014
1002      1032      3               113              1.4        ERR129094
1002      1032      3               127              1.6        ERR129044
1002      1032      3               210              1.6        ERR069737
1002      1032      3               232              1.4        ERR129206
1002      1032      3               280              1.6        ERR129045
1002      1032      3               390              1.2        ERR069807
1002      1032      3               600              1.4        ERR129047
1002      1032      3               605              1.4        ERR129095
1002      1032      3               612              1.6        ERR129194
