StrainIndex  Lineage  Cluster  Name
1            5        6        ERR129037
2            5        6        ERR069786
3            4        5        ERR129179
4            5        6        ERR129176
5            5        6        ERR067985
6            3        4        ERR069814
7            4        5        ERR124241
8            4        5        ERR124293
9            4        3        ERR069735
10           5        6        ERR124226
11           5        6        ERR124319
12           5        6        ERR129117
13           3        4        ERR068007
14           4        5        ERR069703
15           4        5        ERR129087
16           4        5        ERR069819
17           5        6        ERR065326
18           5        6        ERR069713
19           5        6        ERR069685
20           4        5        ERR067962
21           3        4        ERR124257
22           5        6        ERR129127
23           5        6        ERR069727
24           4        5        ERR065332
25           5        6        ERR129213
26           5        6        ERR129042
27           4        5        ERR129148
28           5        6        ERR129102
29           5        6        ERR069752
30           5        6        ERR129214
31           5        6        ERR068046
32           5        6        ERR129215
33           5        6        ERR124235
34           5        6        ERR129159
35           4        5        ERR069749
36           4        5        ERR124277
37           4        5        ERR129074
38           5        6        ERR129154
39           4        5        ERR069725
40           5        6        ERR068040
41           5        6        ERR129157
42           5        6        ERR067986
43           5        6        ERR124291
44           5        6        ERR069822
45           5        6        ERR124288
46           4        5        ERR129026
47           4        3        ERR124218
48           5        6        ERR065310
49           4        5        ERR065300
50           3        4        ERR069789
51           4        5        ERR065324
52           4        5        ERR069698
53           5        6        ERR124302
54           4        5        ERR065329
55           4        5        ERR129200
56           4        5        ERR124274
57           5        6        ERR067993
58           5        6        ERR069708
59           5        6        ERR129210
60           4        5        ERR068019
61           4        5        ERR129099
62           4        5        ERR069820
63           4        5        ERR124250
64           4        5        ERR124283
65           4        3        ERR065293
66           4        5        ERR124316
67           5        6        ERR124296
68           5        6        ERR068041
69           4        5        ERR129086
70           4        5        ERR069834
71           5        6        ERR129064
72           5        6        ERR069801
73           4        5        ERR124221
74           5        6        ERR129080
75           4        5        ERR068026
76           4        5        ERR069726
77           4        5        ERR065297
78           4        5        ERR129061
79           4        5        ERR124305
80           5        6        ERR069769
81           4        5        ERR065295
82           5        6        ERR129167
83           4        5        ERR129143
84           4        5        ERR124299
85           4        5        ERR068002
86           5        6        ERR124268
87           5        6        ERR069798
88           5        6        ERR069760
89           5        6        ERR069782
90           4        5        ERR124236
91           4        5        ERR065320
92           5        6        ERR124308
93           5        6        ERR129043
94           3        4        ERR068021
95           5        6        ERR065971
96           5        6        ERR129131
97           5        6        ERR124227
98           4        5        ERR069813
99           4        5        ERR069724
100          2        2        ERR069803
101          5        6        ERR129168
102          5        6        ERR069804
103          5        6        ERR065303
104          5        6        ERR065957
105          4        3        ERR068042
106          4        5        ERR124249
107          4        5        ERR129198
108          5        6        ERR129068
109          4        5        ERR067978
110          4        5        ERR068032
111          5        6        ERR129079
112          5        6        ERR069722
113          5        6        ERR124246
114          4        5        ERR068029
115          4        5        ERR124239
116          4        5        ERR124279
117          5        6        ERR129139
118          4        5        ERR129163
119          4        5        ERR068028
120          5        6        ERR068023
121          4        5        ERR129134
122          4        5        ERR065351
123          5        6        ERR129172
124          5        6        ERR124240
125          4        5        ERR067988
126          5        6        ERR129071
127          4        5        ERR129035
128          4        5        ERR069838
129          5        6        ERR124294
130          4        5        ERR124272
131          5        6        ERR069707
132          5        6        ERR068047
133          4        5        ERR124258
134          4        5        ERR124301
135          5        6        ERR065349
136          4        5        ERR069728
137          4        5        ERR124300
138          4        5        ERR124290
139          5        6        ERR129178
140          2        2        ERR069841
141          5        6        ERR067968
142          5        6        ERR065969
143          3        4        ERR129185
144          5        6        ERR129177
145          5        6        ERR069839
146          5        6        ERR069693
147          5        6        ERR124242
148          5        6        ERR129137
149          5        6        ERR065308
150          1        1        ERR124282
151          4        3        ERR129054
152          5        6        ERR129110
153          5        6        ERR069702
154          4        5        ERR129119
155          4        5        ERR124273
156          5        6        ERR065964
157          4        5        ERR129060
158          4        5        ERR129173
159          5        6        ERR069837
160          5        6        ERR069779
161          5        6        ERR068000
162          4        5        ERR124306
163          4        5        ERR129084
164          4        5        ERR069733
165          4        5        ERR068049
166          4        5        ERR129104
167          5        6        ERR129103
168          4        5        ERR067963
169          5        6        ERR068022
170          4        5        ERR067970
171          4        5        ERR067992
172          4        5        ERR124275
173          3        4        ERR067972
174          5        6        ERR124297
175          5        6        ERR129093
176          4        5        ERR129089
177          4        5        ERR065312
178          5        6        ERR124286
179          5        6        ERR129211
180          4        5        ERR068033
181          5        6        ERR124298
