StrainIndex  Lineage  Cluster  Name
1            4        5        ERR069709
2            4        3        ERR129196
3            3        4        ERR069823
4            4        5        ERR068001
5            4        5        ERR124314
6            1        1        ERR065972
7            4        5        ERR129164
8            4        3        ERR065301
9            3        4        ERR067964
10           3        4        ERR069835
11           4        5        ERR129088
12           4        3        ERR065342
13           4        5        ERR067981
14           4        3        ERR067996
15           4        5        ERR065353
16           4        5        ERR065953
17           3        4        ERR069746
18           4        3        ERR124218
19           4        5        ERR069710
20           4        5        ERR129027
21           1        1        ERR068044
22           4        5        ERR129158
23           3        4        ERR069812
24           4        5        ERR068012
25           3        4        ERR065292
26           4        5        ERR069825
27           2        2        ERR065304
28           4        3        ERR129144
29           4        5        ERR068004
30           4        3        ERR129077
31           3        4        ERR065967
32           2        2        ERR124223
33           4        5        ERR069734
34           4        5        ERR129092
35           3        4        ERR065344
36           4        3        ERR129045
37           4        5        ERR069683
38           4        3        ERR124320
39           3        4        ERR065962
40           2        2        ERR069742
41           4        5        ERR069827
42           2        2        ERR067991
43           1        1        ERR069722
44           4        3        ERR069818
45           2        2        ERR065294
46           4        5        ERR065315
47           3        4        ERR069755
48           4        5        ERR129126
49           2        2        ERR069743
50           2        2        ERR067980
51           4        5        ERR067982
52           4        3        ERR068010
53           1        1        ERR065349
54           4        5        ERR124265
55           3        4        ERR069765
56           4        3        ERR124318
57           2        2        ERR065352
58           4        3        ERR129182
59           4        5        ERR069788
60           4        5        ERR069784
61           3        4        ERR124231
62           3        4        ERR069732
63           4        5        ERR068043
64           4        3        ERR069799
65           3        4        ERR065330
66           3        4        ERR069719
67           3        4        ERR069770
68           3        4        ERR069721
69           4        5        ERR129199
70           4        5        ERR069695
71           4        5        ERR129115
72           1        1        ERR068022
73           2        2        ERR124230
74           3        4        ERR069740
75           4        5        ERR065963
76           4        3        ERR065312
