StrainIndex  Lineage  Cluster  Name
1            2        7        ERR069738
2            1        6        ERR065974
3            2        7        ERR129065
4            2        7        ERR129037
5            1        6        ERR069700
6            1        6        ERR124247
7            2        7        ERR124222
8            2        7        ERR065305
9            2        7        ERR069786
10           2        5        ERR129176
11           2        4        ERR069709
12           2        7        ERR067985
13           2        7        ERR129212
14           2        7        ERR068037
15           2        7        ERR069814
16           2        7        ERR069795
17           1        6        ERR124293
18           2        7        ERR069735
19           1        6        ERR069773
20           1        6        ERR067966
21           2        7        ERR129029
22           2        7        ERR129105
23           2        1        ERR124226
24           2        7        ERR129196
25           1        6        ERR069823
26           2        7        ERR124319
27           2        4        ERR068001
28           2        5        ERR129117
29           2        5        ERR069764
30           2        7        ERR068007
31           2        7        ERR068008
32           1        6        ERR067969
33           2        7        ERR129195
34           2        5        ERR065325
35           1        6        ERR124256
36           2        2        ERR069819
37           2        7        ERR129129
38           2        5        ERR065960
39           2        7        ERR069796
40           2        7        ERR065326
41           1        6        ERR069712
42           1        6        ERR124244
43           2        7        ERR129075
44           2        7        ERR069713
45           2        7        ERR069826
46           1        6        ERR065341
47           2        7        ERR069771
48           2        7        ERR069706
49           2        7        ERR065970
50           1        6        ERR129130
51           2        7        ERR129096
52           2        5        ERR129107
53           1        6        ERR069809
54           1        6        ERR065302
55           2        7        ERR129187
56           1        6        ERR124314
57           2        7        ERR069686
58           1        6        ERR068048
59           2        7        ERR065972
60           1        6        ERR129164
61           2        7        ERR069688
62           2        7        ERR069685
63           2        7        ERR124307
64           2        5        ERR124257
65           2        7        ERR129127
66           2        7        ERR065301
67           2        7        ERR124287
68           2        7        ERR068025
69           1        6        ERR067964
70           2        7        ERR069811
71           2        7        ERR069727
72           2        7        ERR129063
73           2        7        ERR065332
74           1        6        ERR129028
75           2        7        ERR065287
76           2        5        ERR129213
77           2        7        ERR129155
78           2        5        ERR129042
79           1        6        ERR129040
80           1        6        ERR069835
81           2        5        ERR129146
82           1        6        ERR129102
83           2        7        ERR129152
84           2        7        ERR069748
85           2        7        ERR069843
86           2        7        ERR124229
87           1        6        ERR129088
88           2        7        ERR069752
89           1        6        ERR065350
90           2        7        ERR129149
91           2        7        ERR129214
92           2        7        ERR069833
93           1        3        ERR124310
94           2        7        ERR068046
95           2        7        ERR129215
96           2        7        ERR129140
97           2        7        ERR069831
98           2        5        ERR068014
99           2        7        ERR124315
100          2        7        ERR124255
101          2        7        ERR065342
102          2        7        ERR124235
103          2        7        ERR129159
104          2        7        ERR129204
105          2        5        ERR129094
106          2        7        ERR069689
107          2        7        ERR069751
108          2        4        ERR068005
109          1        6        ERR067981
110          2        7        ERR067996
111          2        7        ERR129052
112          2        7        ERR069785
113          2        5        ERR069792
114          1        3        ERR124271
115          2        7        ERR069687
116          2        5        ERR124228
117          2        4        ERR129044
118          2        4        ERR065353
119          2        7        ERR069817
120          2        4        ERR065953
121          2        7        ERR129076
122          2        7        ERR129154
123          2        7        ERR069725
124          2        7        ERR068040
125          1        6        ERR129051
126          2        5        ERR129157
127          2        2        ERR124311
128          1        6        ERR069746
129          2        5        ERR068031
130          2        7        ERR067986
131          2        7        ERR124291
132          2        7        ERR129055
133          2        7        ERR069780
134          2        7        ERR065327
135          2        7        ERR069822
136          2        7        ERR129207
137          2        7        ERR124288
138          2        7        ERR129026
139          1        6        ERR124218
140          2        7        ERR068027
141          2        4        ERR069710
142          2        7        ERR065310
143          2        7        ERR129160
144          2        7        ERR069789
145          2        7        ERR065343
146          2        7        ERR069802
147          2        4        ERR129027
148          2        7        ERR129170
149          1        3        ERR129048
150          1        6        ERR065968
151          1        6        ERR065965
152          2        7        ERR068044
153          2        7        ERR129180
154          2        7        ERR129112
155          1        6        ERR129158
156          2        7        ERR069698
157          1        6        ERR069812
158          2        7        ERR124302
159          1        6        ERR129083
160          2        5        ERR065354
161          1        6        ERR069787
162          2        7        ERR068017
163          2        7        ERR129039
164          2        7        ERR124269
165          2        7        ERR067995
166          1        6        ERR068012
167          2        7        ERR124274
168          1        6        ERR067993
169          2        5        ERR069708
170          2        7        ERR129106
171          2        7        ERR069717
172          2        7        ERR067974
173          1        6        ERR069744
174          2        7        ERR129210
175          2        7        ERR129108
176          1        6        ERR129132
177          2        7        ERR069711
178          2        7        ERR129059
179          1        6        ERR065292
180          2        5        ERR067961
181          2        7        ERR069820
182          1        6        ERR129216
183          2        7        ERR129116
184          1        6        ERR069690
185          2        7        ERR065973
186          1        3        ERR065309
187          2        7        ERR124283
188          2        7        ERR065293
189          1        6        ERR069825
190          2        5        ERR069737
191          2        7        ERR129144
192          2        7        ERR124232
193          1        6        ERR068018
194          2        7        ERR124296
195          2        7        ERR067960
196          2        7        ERR068050
197          1        6        ERR068039
198          2        4        ERR068004
