3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
197       292       1               4                7.3        ERR129037
1         292       1               10               8.5        ERR129179
197       292       1               13               7.3        ERR067985
1         292       1               17               8.5        ERR124241
1         292       1               19               8.5        ERR124293
1         292       1               21               11.6       ERR069773
1         222       1               24               5.1        ERR129105
1         222       1               26               5.1        ERR129196
1         292       1               35               8.5        ERR069703
1         222       1               36               5.1        ERR129195
1         292       1               37               9.1        ERR065325
110       292       1               38               11.9       ERR124256
1         292       1               39               8.5        ERR129087
1         292       1               42               9.1        ERR065960
197       292       1               44               7.3        ERR065326
1         292       1               46               9.1        ERR124244
197       292       1               48               7.3        ERR069713
110       292       1               57               11.9       ERR069809
1         292       1               58               11.6       ERR065302
1         292       1               62               9.1        ERR069824
110       292       1               63               11.9       ERR068048
1         292       1               69               8.5        ERR067962
197       292       1               71               7.3        ERR129127
1         222       1               72               5.1        ERR065301
197       292       1               77               7.3        ERR069727
1         292       1               85               8.5        ERR129148
1         292       1               86               11.6       ERR129040
154       292       1               89               6.8        ERR129102
1         292       1               90               9.1        ERR069729
197       292       1               96               7.3        ERR069752
110       292       1               97               11.9       ERR065350
197       292       1               99               7.3        ERR129214
197       292       1               102              6.9        ERR068046
197       292       1               103              7.3        ERR129215
1         222       1               109              5.1        ERR065342
197       292       1               111              7.3        ERR129159
1         292       1               116              9.7        ERR068005
1         292       1               117              8.5        ERR069749
1         222       1               121              5.1        ERR069785
113       169       1               122              3.1        ERR069792
1         292       1               125              8.5        ERR124277
1         222       1               127              5.1        ERR129044
1         292       1               129              8.5        ERR129074
197       292       1               133              7.3        ERR129154
197       292       1               135              7.3        ERR068040
113       169       1               138              3.1        ERR124311
113       169       1               140              3.1        ERR068031
197       292       1               141              7.3        ERR067986
197       292       1               142              7.3        ERR124291
197       292       1               146              7.3        ERR069822
197       292       1               150              7.7        ERR124218
197       292       1               153              7.3        ERR065310
1         292       1               155              8.5        ERR065300
197       292       1               164              7.7        ERR068044
1         292       1               166              9.1        ERR068016
1         292       1               167              8.5        ERR065324
197       292       1               172              7.3        ERR124302
113       169       1               174              3.1        ERR065354
1         292       1               177              9.1        ERR129066
1         292       1               179              8.5        ERR065329
1         292       1               181              8.5        ERR129200
154       292       1               189              7.5        ERR067974
197       292       1               191              7.3        ERR129210
1         292       1               195              8.5        ERR068019
1         292       1               196              8.5        ERR129099
113       169       1               200              3.1        ERR069820
1         292       1               203              8.5        ERR124250
1         292       1               210              9.1        ERR069737
1         292       1               211              8.5        ERR124316
1         292       1               212              9.1        ERR065304
1         222       1               213              5.1        ERR129144
197       292       1               216              7.3        ERR124296
1         292       1               219              11.6       ERR068039
1         292       1               224              8.5        ERR129086
1         292       1               226              8.5        ERR069834
1         292       1               228              9.1        ERR129050
197       292       1               233              7.3        ERR069801
197       292       1               235              7.3        ERR129080
1         222       1               239              5.1        ERR129077
1         292       1               241              8.5        ERR069726
1         292       1               255              9.7        ERR124223
1         292       1               258              8.5        ERR129143
1         292       1               259              8.5        ERR124299
1         292       1               262              8.5        ERR068002
197       292       1               264              7.3        ERR124268
197       292       1               274              7.3        ERR069760
1         292       1               277              8.5        ERR124236
1         292       1               279              9.1        ERR065959
1         292       1               280              9.1        ERR129045
1         222       1               292              5.1        ERR067998
113       169       1               306              3.1        ERR129057
197       292       1               308              7.3        ERR129131
1         292       1               309              9.1        ERR069772
1         222       1               323              5.1        ERR124320
197       292       1               325              7.3        ERR069804
113       169       1               329              3.1        ERR069692
1         292       1               331              9.7        ERR069759
113       169       1               332              3.1        ERR069723
1         292       1               346              9.1        ERR069806
197       292       1               347              6.9        ERR129068
1         292       1               349              9.7        ERR069741
1         57        4               351              3.1        ERR129062
121       336       4               351              15.3       ERR129062
1         292       1               356              9.1        ERR067991
197       292       1               358              7.3        ERR129079
154       292       1               359              7.1        ERR069722
1         222       1               362              5.1        ERR129162
1         292       1               363              11.6       ERR129124
197       292       1               364              7.3        ERR124246
1         292       1               365              9.1        ERR065299
1         222       1               369              5.1        ERR069818
1         292       1               370              8.5        ERR068029
1         292       1               372              8.5        ERR124279
197       292       1               375              7.3        ERR129139
1         292       1               379              8.5        ERR129163
1         292       1               387              8.5        ERR129134
1         292       1               389              8.5        ERR065351
197       292       1               395              7.3        ERR124240
110       292       1               398              11.9       ERR069731
1         292       1               402              8.5        ERR067988
1         222       1               403              5.1        ERR069714
154       292       1               405              6.8        ERR129071
1         292       1               406              8.5        ERR129035
113       169       1               407              3.1        ERR069697
1         292       1               411              9.1        ERR129038
1         222       1               416              5.1        ERR129053
1         292       1               423              11.6       ERR065321
197       292       1               426              7.3        ERR069707
197       292       1               432              7.3        ERR068047
197       292       1               434              7.7        ERR124258
1         292       1               436              8.5        ERR124301
1         222       1               442              5.1        ERR068010
154       292       1               444              7.1        ERR065349
1         292       1               446              8.5        ERR069728
1         292       1               449              9.1        ERR069730
1         292       1               453              8.5        ERR124290
197       292       1               454              7.3        ERR129178
154       292       1               458              7.5        ERR129121
197       292       1               459              7.3        ERR067968
113       169       1               468              3.1        ERR069810
154       292       1               469              7.5        ERR129174
197       292       1               471              7.3        ERR129177
197       292       1               474              7.3        ERR069839
1         222       1               475              5.1        ERR129182
110       292       1               479              11.9       ERR065347
113       169       1               480              3.1        ERR065290
197       292       1               485              7.3        ERR124242
197       292       1               488              7.3        ERR129137
197       292       1               493              7.3        ERR065308
1         222       1               494              5.1        ERR065958
197       292       1               503              7.3        ERR129110
113       169       1               505              3.1        ERR129135
197       292       1               507              7.3        ERR069702
1         292       1               509              8.5        ERR129119
1         292       1               511              8.5        ERR124273
197       292       1               514              6.9        ERR065964
154       292       1               515              7.5        ERR129125
1         222       1               521              5.1        ERR069799
1         292       1               529              8.5        ERR129173
1         292       1               534              11.6       ERR129188
197       292       1               536              7.3        ERR069837
1         292       1               537              11.6       ERR129056
1         292       1               541              11.6       ERR069775
197       292       1               542              7.3        ERR068000
197       292       1               545              7.3        ERR124306
113       169       1               546              3.1        ERR129084
1         292       1               554              8.5        ERR069733
1         222       1               556              5.1        ERR069797
1         292       1               559              9.1        ERR069816
1         292       1               565              8.5        ERR129104
1         292       1               569              8.5        ERR067963
154       292       1               571              7.1        ERR068022
1         292       1               572              9.1        ERR124230
1         292       1               574              8.5        ERR067970
1         222       1               578              5.1        ERR069821
1         292       1               579              8.5        ERR067992
1         292       1               584              8.5        ERR124275
1         292       1               595              9.1        ERR065956
197       292       1               597              7.3        ERR129093
1         292       1               599              8.5        ERR129089
197       292       1               602              7.7        ERR065312
1         292       1               604              9.7        ERR067979
197       292       1               607              7.3        ERR129211
110       292       1               608              11.9       ERR129201
1         292       1               609              8.5        ERR068033
197       292       1               611              7.3        ERR124298
1         222       1               612              5.1        ERR129194
