StrainIndex  Lineage  Cluster  Name
1            2        3        ERR129065
2            2        4        ERR129037
3            2        3        ERR069700
4            2        4        ERR124222
5            2        5        ERR065305
6            2        5        ERR129179
7            2        5        ERR069709
8            2        4        ERR067985
9            2        4        ERR069814
10           2        5        ERR124241
11           2        5        ERR069795
12           2        5        ERR124293
13           2        5        ERR069735
14           2        5        ERR069773
15           2        3        ERR067966
16           2        2        ERR129105
17           2        4        ERR124226
18           2        2        ERR129196
19           2        5        ERR068001
20           2        4        ERR069764
21           2        4        ERR068007
22           2        5        ERR068008
23           2        3        ERR067969
24           2        5        ERR069703
25           2        2        ERR129195
26           2        5        ERR065325
27           2        4        ERR124256
28           2        5        ERR129087
29           2        5        ERR069819
30           2        5        ERR129129
31           2        5        ERR065960
32           2        3        ERR069796
33           2        4        ERR065326
34           2        4        ERR069712
35           2        5        ERR124244
36           2        4        ERR129075
37           2        4        ERR069713
38           2        3        ERR069826
39           2        3        ERR069771
40           2        5        ERR069706
41           2        5        ERR065970
42           2        3        ERR129107
43           2        4        ERR069809
44           2        5        ERR065302
45           2        2        ERR129187
46           2        3        ERR124314
47           2        2        ERR069824
48           2        4        ERR068048
49           2        5        ERR065972
50           2        4        ERR129164
51           2        5        ERR067962
52           2        4        ERR129127
53           2        4        ERR068025
54           2        4        ERR069811
55           2        4        ERR069727
56           2        5        ERR129063
57           2        4        ERR129028
58           2        5        ERR065287
59           2        3        ERR129155
60           2        5        ERR129148
61           2        5        ERR129040
62           2        2        ERR129102
63           2        2        ERR069729
64           2        4        ERR129152
65           2        4        ERR069843
66           2        4        ERR129088
67           2        4        ERR069752
68           2        4        ERR065350
69           2        5        ERR129149
70           2        4        ERR129214
71           2        5        ERR069833
72           2        4        ERR068046
73           2        4        ERR129215
74           2        3        ERR129140
75           2        5        ERR069831
76           2        5        ERR124315
77           2        4        ERR124255
78           2        2        ERR065342
79           2        4        ERR129159
80           2        5        ERR069751
81           2        3        ERR068005
82           2        4        ERR067981
83           2        4        ERR069792
84           2        4        ERR124271
85           2        5        ERR069687
86           2        5        ERR124277
87           2        4        ERR124228
88           2        3        ERR065353
89           2        5        ERR129074
90           2        5        ERR069817
91           2        5        ERR065953
92           2        4        ERR129154
93           2        4        ERR068040
94           2        4        ERR129051
95           2        2        ERR124311
96           2        4        ERR068031
97           2        4        ERR067986
98           2        4        ERR124291
99           2        3        ERR069780
100          2        4        ERR065327
101          2        4        ERR069822
102          2        5        ERR129207
103          2        4        ERR124218
104          2        3        ERR068027
105          2        5        ERR069710
106          2        4        ERR065310
107          2        5        ERR129160
108          2        5        ERR065300
109          2        4        ERR069789
110          2        3        ERR069802
111          2        3        ERR129027
112          2        5        ERR129170
113          2        4        ERR068044
114          2        2        ERR068016
115          2        5        ERR065324
116          2        3        ERR129112
117          2        4        ERR129158
118          2        2        ERR069698
119          2        4        ERR124302
120          2        4        ERR129083
121          2        3        ERR068017
122          2        4        ERR129066
123          2        4        ERR129039
124          2        5        ERR065329
125          2        5        ERR124269
126          2        5        ERR129200
127          2        4        ERR068012
128          2        3        ERR067993
129          2        2        ERR069708
130          2        3        ERR069717
131          2        5        ERR067974
132          2        3        ERR069744
133          2        4        ERR129210
134          2        5        ERR129108
135          2        4        ERR129132
136          2        5        ERR069711
137          2        5        ERR068019
138          2        5        ERR129099
139          2        4        ERR129059
140          2        4        ERR067961
141          2        4        ERR129216
142          2        3        ERR129116
143          2        5        ERR124250
144          2        4        ERR065973
145          2        3        ERR069825
146          2        5        ERR069737
147          2        5        ERR124316
148          2        2        ERR065304
149          2        2        ERR129144
150          2        4        ERR124232
151          2        4        ERR068018
152          2        4        ERR124296
153          2        5        ERR067960
154          2        5        ERR068050
155          2        4        ERR068039
156          2        3        ERR068004
157          2        5        ERR129032
158          2        4        ERR068041
159          2        5        ERR129086
160          2        5        ERR065317
161          2        5        ERR069834
162          2        4        ERR069720
163          2        5        ERR129050
164          2        4        ERR129064
165          2        5        ERR069774
166          2        4        ERR069801
167          2        2        ERR124221
168          2        4        ERR129080
169          2        3        ERR129147
170          2        5        ERR069829
171          2        2        ERR129077
172          2        4        ERR067994
173          2        3        ERR069726
174          2        5        ERR129120
175          2        3        ERR065345
176          2        2        ERR124305
177          2        4        ERR069769
178          2        5        ERR065295
179          2        4        ERR069768
180          2        3        ERR129197
181          2        4        ERR124223
182          2        5        ERR069734
183          2        5        ERR129143
184          2        5        ERR124299
185          2        5        ERR129092
186          2        5        ERR068002
187          2        5        ERR068003
188          2        4        ERR124268
189          2        4        ERR129181
190          2        3        ERR069696
191          2        3        ERR129072
192          2        4        ERR068035
193          2        4        ERR069760
194          2        5        ERR067984
195          2        5        ERR069782
196          2        5        ERR124236
197          2        5        ERR068045
198          2        2        ERR065959
199          2        3        ERR069781
200          2        3        ERR069832
201          2        4        ERR124292
202          2        5        ERR129186
203          2        3        ERR069805
204          2        5        ERR124220
205          2        3        ERR069800
206          2        2        ERR067998
207          2        4        ERR124312
208          2        5        ERR129183
209          2        5        ERR068034
210          2        4        ERR068020
211          2        5        ERR067967
212          2        5        ERR069691
213          2        3        ERR129161
214          2        3        ERR069716
215          2        4        ERR124289
216          2        3        ERR129153
217          2        2        ERR129057
218          2        4        ERR067977
219          2        4        ERR129131
220          2        2        ERR069772
221          2        5        ERR124281
222          2        3        ERR069750
223          2        4        ERR069715
224          2        4        ERR069683
225          2        5        ERR069813
226          2        2        ERR124253
227          2        3        ERR065966
228          2        3        ERR069803
229          2        5        ERR124267
230          2        4        ERR124254
231          2        2        ERR124320
232          2        4        ERR065298
233          2        4        ERR069804
234          2        5        ERR065957
235          2        2        ERR068042
236          2        4        ERR069692
237          2        3        ERR069759
238          2        4        ERR069723
239          2        5        ERR069745
240          2        5        ERR129081
241          2        4        ERR069718
242          2        4        ERR124224
243          2        3        ERR069790
244          2        5        ERR069827
245          2        5        ERR129142
246          2        4        ERR124309
247          2        2        ERR069806
248          2        4        ERR129068
249          2        2        ERR067978
250          2        3        ERR069741
251          2        4        ERR129062
252          2        4        ERR129203
253          2        2        ERR068032
254          2        4        ERR067991
255          2        5        ERR124284
256          2        4        ERR129079
257          2        5        ERR069722
258          2        5        ERR129162
259          2        5        ERR129124
260          2        4        ERR124246
261          2        4        ERR129184
262          2        4        ERR124233
263          2        2        ERR069818
264          2        5        ERR068029
265          2        5        ERR124279
266          2        5        ERR129175
267          2        4        ERR129139
268          2        5        ERR069778
269          2        3        ERR129128
270          2        5        ERR129163
271          2        2        ERR068023
272          2        3        ERR069777
273          2        5        ERR069791
274          2        5        ERR124263
275          2        5        ERR069704
276          2        5        ERR129134
277          2        5        ERR065351
278          2        5        ERR129209
279          2        5        ERR069761
280          2        5        ERR129034
281          2        4        ERR124240
282          2        3        ERR065346
283          2        4        ERR069731
284          2        5        ERR069828
285          2        5        ERR067988
286          2        2        ERR069714
287          2        4        ERR068036
288          2        2        ERR129071
289          2        5        ERR129035
290          2        4        ERR069697
291          2        3        ERR065306
292          2        4        ERR129038
293          2        4        ERR124243
294          2        4        ERR067975
295          2        5        ERR129046
296          2        3        ERR129053
297          2        2        ERR124272
298          2        4        ERR124285
299          2        4        ERR129126
300          2        2        ERR129151
301          2        5        ERR124225
302          2        5        ERR068011
303          2        4        ERR124264
304          2        4        ERR069707
305          2        5        ERR124252
306          2        3        ERR067980
307          2        4        ERR068047
308          2        5        ERR065288
309          2        4        ERR124258
310          2        5        ERR065314
311          2        5        ERR124301
312          2        5        ERR129091
313          2        4        ERR124276
314          2        5        ERR129118
315          2        4        ERR065318
316          2        2        ERR068010
317          2        4        ERR129067
318          2        5        ERR065349
319          2        5        ERR068030
320          2        5        ERR069728
