StrainIndex  Lineage  Cluster  Name
1            3        4        ERR069738
2            4        8        ERR129065
3            4        8        ERR129037
4            3        7        ERR069700
5            4        8        ERR124247
6            3        7        ERR124222
7            4        8        ERR129179
8            2        3        ERR069709
9            4        8        ERR067985
10           3        4        ERR068037
11           4        8        ERR069814
12           4        8        ERR124241
13           4        8        ERR124293
14           4        6        ERR069735
15           3        7        ERR067966
16           4        8        ERR129029
17           4        2        ERR129105
18           3        5        ERR124226
19           4        2        ERR129196
20           4        6        ERR069823
21           4        8        ERR124319
22           2        3        ERR068001
23           4        8        ERR068007
24           3        7        ERR067969
25           4        8        ERR069703
26           4        2        ERR129195
27           3        5        ERR065325
28           3        7        ERR124256
29           4        8        ERR129087
30           4        6        ERR069819
31           3        5        ERR065960
32           4        8        ERR065326
33           3        5        ERR069712
34           3        7        ERR129075
35           4        8        ERR069713
36           4        8        ERR069826
37           3        7        ERR069706
38           3        4        ERR129096
39           4        8        ERR129107
40           3        7        ERR069809
41           4        8        ERR129187
42           3        7        ERR124314
43           3        4        ERR069686
44           3        7        ERR068048
45           4        6        ERR129164
46           3        4        ERR069688
47           3        4        ERR124307
48           4        8        ERR067962
49           4        8        ERR124257
50           4        8        ERR129127
51           4        2        ERR065301
52           4        6        ERR067964
53           4        8        ERR069727
54           4        8        ERR065332
55           3        7        ERR129028
56           4        8        ERR129155
57           4        8        ERR129148
58           4        6        ERR069835
59           3        7        ERR069843
60           4        6        ERR129088
61           4        8        ERR069752
62           4        8        ERR065350
63           4        8        ERR129214
64           3        7        ERR124310
65           4        8        ERR068046
66           4        8        ERR129215
67           3        7        ERR124255
68           4        2        ERR065342
69           4        8        ERR129159
70           3        4        ERR129204
71           2        3        ERR068005
72           4        8        ERR069749
73           4        6        ERR067981
74           3        4        ERR067996
75           4        8        ERR129052
76           4        8        ERR124277
77           3        7        ERR129044
78           2        3        ERR065353
79           4        8        ERR129074
80           2        3        ERR065953
81           4        8        ERR129154
82           4        8        ERR069725
83           4        8        ERR068040
84           3        5        ERR129051
85           4        6        ERR124311
86           4        6        ERR069746
87           4        8        ERR067986
88           4        8        ERR124291
89           4        8        ERR069780
90           4        8        ERR069822
91           4        8        ERR124288
92           4        8        ERR129026
93           4        6        ERR124218
94           4        8        ERR068027
95           2        3        ERR069710
96           4        8        ERR065310
97           4        8        ERR065300
98           4        8        ERR069789
99           3        4        ERR065343
100          4        8        ERR069802
101          2        3        ERR129027
102          3        7        ERR129048
103          3        5        ERR065968
104          4        8        ERR065324
105          4        6        ERR129158
106          4        8        ERR069698
107          4        6        ERR069812
108          4        8        ERR124302
109          3        7        ERR129083
110          3        7        ERR069787
111          4        8        ERR065329
112          4        8        ERR129200
113          3        4        ERR067995
114          4        6        ERR068012
115          4        8        ERR124274
116          4        8        ERR129106
117          3        7        ERR069744
118          4        8        ERR129210
119          3        5        ERR129132
120          4        8        ERR068019
121          4        8        ERR129099
122          4        6        ERR065292
123          3        7        ERR129216
124          4        8        ERR129116
125          4        8        ERR124250
126          3        5        ERR069690
127          3        7        ERR065973
128          3        7        ERR065309
129          4        8        ERR124283
130          4        8        ERR065293
131          3        7        ERR069825
132          3        5        ERR069737
133          4        8        ERR124316
134          4        2        ERR129144
135          3        5        ERR068018
136          4        8        ERR124296
137          2        3        ERR068004
138          3        4        ERR124248
139          4        8        ERR068041
140          4        8        ERR129086
141          4        8        ERR069834
142          3        7        ERR069720
143          3        5        ERR129050
144          4        8        ERR069830
145          4        8        ERR069801
146          4        8        ERR124221
147          4        8        ERR129080
148          4        8        ERR068026
149          4        8        ERR129147
150          4        2        ERR129077
151          4        8        ERR069726
152          3        4        ERR065338
153          4        8        ERR065297
154          4        8        ERR129061
155          4        8        ERR124219
156          4        8        ERR065345
157          3        7        ERR124305
158          3        5        ERR069769
159          4        6        ERR065295
160          3        5        ERR069768
161          4        6        ERR065967
162          4        8        ERR124223
163          2        3        ERR069734
164          4        8        ERR129143
165          4        8        ERR124299
166          2        3        ERR129092
167          3        5        ERR129090
168          4        8        ERR068002
169          3        7        ERR068003
170          4        8        ERR124268
171          4        6        ERR065344
172          3        7        ERR129111
173          3        7        ERR068035
174          4        8        ERR069760
175          4        6        ERR069782
176          4        8        ERR124236
177          4        8        ERR065320
178          4        8        ERR069800
179          4        8        ERR068021
180          4        2        ERR067998
181          4        8        ERR065311
182          3        5        ERR068020
183          3        4        ERR069767
184          4        8        ERR067967
185          4        8        ERR129161
186          4        6        ERR129057
187          3        5        ERR067977
188          4        8        ERR129131
189          3        5        ERR069715
190          4        6        ERR069683
191          4        6        ERR069813
192          3        7        ERR124253
193          4        8        ERR069724
194          4        8        ERR065966
195          4        2        ERR124320
196          4        8        ERR069804
197          4        6        ERR065957
198          4        8        ERR068042
199          4        8        ERR124249
200          2        3        ERR069759
201          4        6        ERR065962
202          4        8        ERR129198
203          4        6        ERR069742
204          4        8        ERR069790
205          2        3        ERR069827
206          4        8        ERR129068
207          4        8        ERR067978
208          2        3        ERR069741
209          3        7        ERR129136
210          3        7        ERR129062
211          4        8        ERR068032
212          3        7        ERR065316
213          3        7        ERR124217
214          4        8        ERR129079
215          1        1        ERR069722
216          3        4        ERR124260
217          4        8        ERR124246
218          3        5        ERR065299
219          3        7        ERR124233
220          3        7        ERR124266
221          4        2        ERR069818
222          4        8        ERR068029
223          4        8        ERR124239
224          4        8        ERR124279
225          4        6        ERR065294
226          4        8        ERR129139
227          3        4        ERR069778
228          4        8        ERR068015
229          3        7        ERR129128
230          4        8        ERR129163
231          4        8        ERR068028
232          4        8        ERR065355
233          4        8        ERR069777
234          3        7        ERR069791
235          4        8        ERR129134
236          4        8        ERR065351
237          4        8        ERR069807
238          4        8        ERR124240
239          4        8        ERR065346
240          4        8        ERR069731
241          4        6        ERR069755
242          3        4        ERR129156
243          4        8        ERR067988
244          4        2        ERR069714
245          3        7        ERR068036
246          4        8        ERR129035
247          4        8        ERR065306
248          4        6        ERR069838
249          4        8        ERR124294
250          3        4        ERR124243
251          4        2        ERR129053
252          4        8        ERR124272
253          4        6        ERR124285
254          4        6        ERR129126
255          4        8        ERR069707
256          4        8        ERR069743
257          4        8        ERR067980
258          3        4        ERR069836
259          4        8        ERR068047
260          4        6        ERR065288
261          4        6        ERR124258
262          3        7        ERR065314
263          4        8        ERR124301
264          4        2        ERR068010
265          1        1        ERR065349
266          4        8        ERR069728
267          3        7        ERR069763
268          4        8        ERR124300
269          3        7        ERR129202
270          4        8        ERR124290
271          4        8        ERR129178
272          4        8        ERR065955
273          3        5        ERR124265
274          4        8        ERR067968
275          4        6        ERR069765
276          3        4        ERR067965
277          3        7        ERR069842
278          4        8        ERR129185
279          3        4        ERR124318
280          4        8        ERR129177
281          4        6        ERR065352
282          3        5        ERR129113
283          4        8        ERR069839
284          4        2        ERR129182
285          2        3        ERR069788
286          2        3        ERR069784
287          4        8        ERR065347
288          4        6        ERR065290
289          4        8        ERR065322
290          3        5        ERR068013
291          4        8        ERR124242
292          3        7        ERR129138
293          4        8        ERR129137
294          4        6        ERR124231
295          3        7        ERR129036
296          3        5        ERR124304
297          4        8        ERR065308
298          3        5        ERR124282
299          3        7        ERR129078
300          4        8        ERR129054
301          3        7        ERR069747
302          4        8        ERR129208
303          4        6        ERR129135
304          3        7        ERR069699
305          4        8        ERR069702
306          3        7        ERR069793
307          4        8        ERR129119
308          4        8        ERR124273
309          2        3        ERR068043
310          4        8        ERR065964
311          3        7        ERR129031
312          3        7        ERR129049
313          4        2        ERR069799
314          3        7        ERR067990
315          4        8        ERR069694
316          3        5        ERR129058
317          3        7        ERR124303
318          4        6        ERR065330
319          4        8        ERR129060
320          4        8        ERR129173
321          4        6        ERR069719
322          4        8        ERR069837
323          4        8        ERR124245
324          4        8        ERR068000
325          4        6        ERR069770
326          4        6        ERR124306
327          4        8        ERR129192
328          4        6        ERR069721
329          4        8        ERR069736
330          4        8        ERR069733
331          3        7        ERR069757
332          4        8        ERR065339
333          4        8        ERR124238
334          4        6        ERR129199
335          4        8        ERR068049
336          4        8        ERR129104
337          3        4        ERR069783
338          3        7        ERR129103
339          4        8        ERR067963
340          2        3        ERR129115
341          1        1        ERR068022
342          3        7        ERR069762
343          4        8        ERR067970
344          4        8        ERR067973
345          4        8        ERR067992
346          4        6        ERR069740
347          3        7        ERR065963
348          3        7        ERR129145
349          4        8        ERR124275
350          4        8        ERR065331
351          4        8        ERR067972
352          4        8        ERR124297
353          3        7        ERR067999
354          3        5        ERR124237
355          3        4        ERR067987
356          4        8        ERR129141
357          3        7        ERR129193
358          4        8        ERR129093
359          3        7        ERR069808
360          4        8        ERR129089
361          3        5        ERR129047
362          4        6        ERR065312
363          4        8        ERR065348
364          2        3        ERR067979
365          4        8        ERR124286
366          4        8        ERR129211
367          3        7        ERR129201
368          4        8        ERR068033
369          4        8        ERR124298
370          3        7        ERR129194
371          4        8        ERR129171
372          4        8        ERR129122
373          4        8        ERR129100
374          3        7        ERR129030
