StrainIndex  Lineage  Cluster  Name
1            3        3        ERR069709
2            4        4        ERR068025
3            4        4        ERR069811
4            4        4        ERR129152
5            4        4        ERR124310
6            3        3        ERR068005
7            3        3        ERR065353
8            3        3        ERR065953
9            4        4        ERR065327
10           3        3        ERR069710
11           3        3        ERR129027
12           4        4        ERR129048
13           2        2        ERR068016
14           2        2        ERR129066
15           4        4        ERR129039
16           4        4        ERR065309
17           2        2        ERR065304
18           4        4        ERR124232
19           3        3        ERR068004
20           4        4        ERR067994
21           4        4        ERR124305
22           3        3        ERR124223
23           3        3        ERR069734
24           3        3        ERR129092
25           4        4        ERR129111
26           2        2        ERR065959
27           4        4        ERR124253
28           4        4        ERR124254
29           4        4        ERR065298
30           3        3        ERR069759
31           3        3        ERR069827
32           3        3        ERR069741
33           4        4        ERR129203
34           4        4        ERR065316
35           4        4        ERR124217
36           2        2        ERR067991
37           4        4        ERR069722
38           4        4        ERR124266
39           2        2        ERR129038
40           4        4        ERR124264
41           4        4        ERR065349
42           4        4        ERR067997
43           1        1        ERR124265
44           4        4        ERR069766
45           3        3        ERR069788
46           3        3        ERR069784
47           4        4        ERR129169
48           3        3        ERR068043
49           4        4        ERR124317
50           4        4        ERR069757
51           3        3        ERR129115
52           4        4        ERR068022
53           2        2        ERR124230
54           4        4        ERR129145
55           3        3        ERR067979
