StrainIndex  Lineage  Cluster  Name
1            2        7        ERR069738
2            2        3        ERR065974
3            2        6        ERR129065
4            2        6        ERR129037
5            2        7        ERR069700
6            2        7        ERR124247
7            2        7        ERR124222
8            2        5        ERR065305
9            2        4        ERR069786
10           2        7        ERR129179
11           2        4        ERR129176
12           2        7        ERR069709
13           2        6        ERR067985
14           2        3        ERR129212
15           2        7        ERR068037
16           2        6        ERR069814
17           2        7        ERR124241
18           2        5        ERR069795
19           2        7        ERR124293
20           2        7        ERR069735
21           2        7        ERR069773
22           2        7        ERR067966
23           2        4        ERR129029
24           2        7        ERR129105
25           2        3        ERR124226
26           2        7        ERR129196
27           2        2        ERR069823
28           2        4        ERR124319
29           2        7        ERR068001
30           2        4        ERR129117
31           2        7        ERR069764
32           2        6        ERR068007
33           2        5        ERR068008
34           2        7        ERR067969
35           2        7        ERR069703
36           2        7        ERR129195
37           2        4        ERR065325
38           2        7        ERR124256
39           2        7        ERR129087
40           2        7        ERR069819
41           2        5        ERR129129
42           2        4        ERR065960
43           2        5        ERR069796
44           2        6        ERR065326
45           2        4        ERR069712
46           1        1        ERR124244
47           2        7        ERR129075
48           2        6        ERR069713
49           2        6        ERR069826
50           2        3        ERR065341
51           2        5        ERR069771
52           2        7        ERR069706
53           2        5        ERR065970
54           2        3        ERR129130
55           2        7        ERR129096
56           2        6        ERR129107
57           2        7        ERR069809
58           2        7        ERR065302
59           2        7        ERR129187
60           2        7        ERR069686
61           2        3        ERR069824
62           2        7        ERR068048
63           2        5        ERR065972
64           2        2        ERR129164
65           2        7        ERR069688
66           2        4        ERR069685
67           2        7        ERR124307
68           2        7        ERR067962
69           2        6        ERR124257
70           2        6        ERR129127
71           2        7        ERR065301
72           2        6        ERR124287
73           2        7        ERR068025
74           2        2        ERR067964
75           2        7        ERR069811
76           2        6        ERR069727
77           2        5        ERR129063
78           2        7        ERR065332
79           2        5        ERR129028
80           2        5        ERR065287
81           2        4        ERR129213
82           2        6        ERR129155
83           2        4        ERR129042
84           2        7        ERR129148
85           2        7        ERR129040
86           2        2        ERR069835
87           2        6        ERR129146
88           2        7        ERR129102
89           2        3        ERR069729
90           2        7        ERR129152
91           2        3        ERR069748
92           2        7        ERR069843
93           2        5        ERR124229
94           2        2        ERR129088
95           2        6        ERR069752
96           2        7        ERR065350
97           2        5        ERR129149
98           2        6        ERR129214
99           2        5        ERR069833
100          2        4        ERR124310
101          2        6        ERR068046
102          2        6        ERR129215
103          2        5        ERR129140
104          2        5        ERR069831
105          2        7        ERR068014
106          2        5        ERR124315
107          2        7        ERR124255
108          2        7        ERR065342
109          2        4        ERR124235
110          2        6        ERR129159
111          2        7        ERR129204
112          2        7        ERR129094
113          2        3        ERR069689
114          2        5        ERR069751
115          2        7        ERR068005
116          2        7        ERR069749
117          2        2        ERR067981
118          2        7        ERR067996
119          2        4        ERR129052
120          2        6        ERR069785
121          2        7        ERR069792
122          2        5        ERR124271
123          2        5        ERR069687
124          2        7        ERR124277
125          2        4        ERR124228
126          2        7        ERR129044
127          2        7        ERR065353
128          2        7        ERR129074
129          2        7        ERR065953
130          2        6        ERR129076
131          2        6        ERR129154
132          2        7        ERR069725
133          2        6        ERR068040
134          2        4        ERR129051
135          2        4        ERR129157
136          2        7        ERR124311
137          2        2        ERR069746
138          2        7        ERR068031
139          2        6        ERR067986
140          2        6        ERR124291
141          2        6        ERR129055
142          2        6        ERR069780
143          2        7        ERR065327
144          2        6        ERR069822
145          2        5        ERR129207
146          2        4        ERR124288
147          2        7        ERR129026
148          2        7        ERR124218
149          2        6        ERR068027
150          2        7        ERR069710
151          2        6        ERR065310
152          2        5        ERR129160
153          2        7        ERR065300
154          2        6        ERR069789
155          2        7        ERR065343
156          2        6        ERR069802
157          2        7        ERR129027
158          2        5        ERR129170
159          2        4        ERR129048
160          2        4        ERR065968
161          2        3        ERR065965
162          2        5        ERR068044
163          2        3        ERR129180
164          1        1        ERR068016
165          2        7        ERR065324
166          2        5        ERR129112
167          2        2        ERR129158
168          2        7        ERR069698
169          2        2        ERR069812
170          2        6        ERR124302
171          2        5        ERR129083
172          2        7        ERR065354
173          2        7        ERR069787
174          2        5        ERR068017
175          1        1        ERR129066
176          2        7        ERR129039
177          2        7        ERR065329
178          2        5        ERR124269
179          2        7        ERR129200
180          2        7        ERR067995
181          2        2        ERR068012
182          2        7        ERR124274
183          2        7        ERR067993
184          2        4        ERR069708
185          2        6        ERR129106
186          2        5        ERR069717
187          2        7        ERR067974
188          2        7        ERR069744
189          2        6        ERR129210
190          2        5        ERR129108
191          2        4        ERR129132
192          2        5        ERR069711
193          2        7        ERR068019
194          2        7        ERR129099
195          2        5        ERR129059
196          2        2        ERR065292
197          2        4        ERR067961
198          2        6        ERR069820
199          2        5        ERR129216
200          2        6        ERR129116
201          2        7        ERR124250
202          2        4        ERR069690
203          2        7        ERR065973
204          2        4        ERR065309
205          2        7        ERR124283
206          2        7        ERR065293
207          2        7        ERR069825
208          2        7        ERR069737
209          2        7        ERR124316
210          1        1        ERR065304
211          2        7        ERR129144
212          2        7        ERR124232
213          2        4        ERR068018
214          2        6        ERR124296
215          2        5        ERR067960
216          2        5        ERR068050
217          2        7        ERR068039
218          2        7        ERR068004
219          2        5        ERR129032
220          2        7        ERR124248
221          2        6        ERR068041
222          2        7        ERR129086
223          2        5        ERR065317
224          2        7        ERR069834
225          2        7        ERR069720
226          2        4        ERR129050
227          2        3        ERR129064
228          2        6        ERR069830
229          2        5        ERR069774
230          2        7        ERR129206
231          2        6        ERR069801
232          2        7        ERR124221
233          2        6        ERR129080
234          2        7        ERR068026
235          2        6        ERR129147
236          2        5        ERR069829
237          2        7        ERR129077
238          2        7        ERR067994
239          2        7        ERR069726
240          2        7        ERR065338
241          2        5        ERR129041
242          2        7        ERR065297
243          2        5        ERR129120
244          2        7        ERR129061
245          2        4        ERR124219
246          2        6        ERR065345
247          2        4        ERR124305
248          2        3        ERR069769
249          2        7        ERR065295
250          2        4        ERR069768
251          2        5        ERR129197
252          2        2        ERR065967
253          1        1        ERR124223
254          2        7        ERR069734
255          2        4        ERR129167
256          2        7        ERR129143
257          2        7        ERR124299
258          2        7        ERR129092
259          2        4        ERR129090
260          2        7        ERR068002
261          2        7        ERR068003
262          2        6        ERR124268
263          2        7        ERR129181
264          2        5        ERR069696
265          2        5        ERR129072
266          2        2        ERR065344
267          2        4        ERR129111
268          2        3        ERR068006
269          2        7        ERR068035
270          2        4        ERR069798
271          2        3        ERR124278
272          2        6        ERR069760
273          2        5        ERR067984
274          2        7        ERR069782
275          2        7        ERR124236
276          2        5        ERR068045
277          1        1        ERR065959
278          2        7        ERR129045
279          2        5        ERR069781
280          2        3        ERR069832
281          2        7        ERR065320
282          2        4        ERR124292
283          2        5        ERR129186
284          2        4        ERR124308
285          2        4        ERR129043
286          2        5        ERR069805
287          2        5        ERR124220
288          2        6        ERR069800
289          2        6        ERR068021
290          2        7        ERR067998
291          2        4        ERR124312
292          2        4        ERR065971
293          2        5        ERR129183
294          2        5        ERR068034
295          2        6        ERR065311
296          2        4        ERR068020
297          2        7        ERR069767
298          2        6        ERR067967
299          2        5        ERR069691
300          2        6        ERR129161
301          2        3        ERR069716
302          2        5        ERR124289
303          2        5        ERR129153
304          2        7        ERR129057
305          2        4        ERR067977
306          2        6        ERR129131
307          2        3        ERR069772
308          2        5        ERR124281
309          2        3        ERR069750
310          2        4        ERR069715
311          2        4        ERR124227
312          2        2        ERR069683
313          2        7        ERR069813
314          2        6        ERR124253
315          2        7        ERR069724
316          2        6        ERR065966
317          2        7        ERR069803
318          2        5        ERR124267
319          2        7        ERR124254
320          2        4        ERR129168
321          2        7        ERR124320
322          2        7        ERR065298
323          2        6        ERR069804
324          2        4        ERR065303
325          2        7        ERR065957
326          2        7        ERR068042
327          2        7        ERR069692
328          2        7        ERR124249
329          2        7        ERR069759
330          2        7        ERR069723
331          2        6        ERR067976
332          2        6        ERR065307
333          2        2        ERR065962
334          2        5        ERR069745
335          2        5        ERR129081
336          2        7        ERR129198
337          2        4        ERR069742
338          2        4        ERR069718
339          2        4        ERR124224
340          2        6        ERR069790
341          2        7        ERR069827
342          2        5        ERR129142
343          2        5        ERR124309
344          2        3        ERR069806
345          2        6        ERR129068
346          2        7        ERR067978
347          2        7        ERR069741
348          2        5        ERR129136
349          2        7        ERR129062
350          2        7        ERR129203
351          2        7        ERR068032
352          2        4        ERR065316
353          2        4        ERR124217
354          1        1        ERR067991
355          2        5        ERR124284
356          2        6        ERR129079
357          2        3        ERR069722
358          2        7        ERR124260
359          2        3        ERR069701
360          2        7        ERR129162
361          2        7        ERR129124
362          2        6        ERR124246
363          2        4        ERR065299
364          2        5        ERR129184
365          2        7        ERR124233
366          2        4        ERR124266
367          2        7        ERR069818
368          2        7        ERR068029
369          2        7        ERR124239
370          2        7        ERR124279
371          2        5        ERR129175
372          2        4        ERR065294
373          2        6        ERR129139
374          2        7        ERR069778
375          2        6        ERR068015
376          2        7        ERR129128
377          2        7        ERR129163
378          2        7        ERR068028
379          2        4        ERR065355
380          2        4        ERR068023
381          2        6        ERR069777
382          2        7        ERR069791
383          2        5        ERR124263
384          2        5        ERR069704
385          2        7        ERR129134
386          2        5        ERR129025
387          2        7        ERR065351
388          2        6        ERR069807
389          2        5        ERR129209
390          2        5        ERR069761
391          2        5        ERR129034
392          2        4        ERR129172
393          2        6        ERR124240
394          2        7        ERR065315
395          2        6        ERR065346
396          2        7        ERR069731
397          2        5        ERR069828
398          2        2        ERR069755
399          2        7        ERR129156
400          2        7        ERR067988
401          2        7        ERR069714
402          2        7        ERR068036
403          2        7        ERR129071
404          2        7        ERR129035
405          2        7        ERR069697
406          2        6        ERR065306
407          2        7        ERR069838
408          2        6        ERR065313
409          1        1        ERR129038
410          2        4        ERR124294
411          2        4        ERR124243
412          2        6        ERR067975
413          2        5        ERR129046
414          2        7        ERR129053
415          2        7        ERR124272
416          2        3        ERR065289
417          2        2        ERR124285
418          2        2        ERR129126
419          2        6        ERR129151
420          2        5        ERR124225
421          2        7        ERR065321
422          2        5        ERR068011
423          2        7        ERR124264
424          2        6        ERR069707
425          2        5        ERR124252
426          2        6        ERR129082
427          2        6        ERR069743
428          2        7        ERR067980
429          2        7        ERR069836
430          2        6        ERR068047
431          2        5        ERR065288
432          2        7        ERR124258
433          2        7        ERR065314
434          2        7        ERR124301
435          2        5        ERR129091
436          2        5        ERR067982
437          2        4        ERR124276
438          2        5        ERR129118
439          2        5        ERR065318
440          2        7        ERR068010
441          2        4        ERR129067
442          2        3        ERR065349
443          2        4        ERR068030
444          2        7        ERR069728
445          2        7        ERR067997
446          2        5        ERR065291
447          2        3        ERR069730
448          2        7        ERR069763
449          2        7        ERR124300
450          2        5        ERR129202
451          2        7        ERR124290
452          2        6        ERR129178
453          2        7        ERR069841
454          2        6        ERR065955
455          2        4        ERR124265
456          2        7        ERR129121
457          2        6        ERR067968
458          2        7        ERR069739
459          2        7        ERR069766
460          2        2        ERR069765
461          2        5        ERR129123
462          2        7        ERR067965
463          2        4        ERR065969
464          2        7        ERR069842
465          2        6        ERR129185
466          2        7        ERR069810
467          2        7        ERR129174
468          2        7        ERR124318
469          2        6        ERR129177
470          2        4        ERR065352
471          2        4        ERR129113
472          2        6        ERR069839
473          2        7        ERR129182
474          2        7        ERR069788
475          2        3        ERR067983
476          2        7        ERR069784
477          2        7        ERR065347
478          2        7        ERR065290
479          2        6        ERR065322
480          2        4        ERR069693
481          2        7        ERR129169
482          2        4        ERR068013
483          2        6        ERR124242
484          2        5        ERR129138
485          2        5        ERR065337
486          2        7        ERR129137
487          2        2        ERR124231
488          2        7        ERR129036
489          2        4        ERR124304
490          2        3        ERR065296
491          2        6        ERR065308
492          2        7        ERR065958
493          2        4        ERR124282
494          2        3        ERR067989
495          2        7        ERR129078
496          2        7        ERR129054
497          2        7        ERR069747
498          2        5        ERR069732
499          2        6        ERR129208
500          2        5        ERR124251
501          2        7        ERR129110
502          2        5        ERR065975
503          2        7        ERR129135
504          2        7        ERR069699
505          2        6        ERR069702
506          2        7        ERR069793
507          2        7        ERR129119
508          2        5        ERR124234
509          2        7        ERR124273
510          2        5        ERR068038
511          2        7        ERR068043
512          2        6        ERR065964
513          2        7        ERR129125
514          2        5        ERR069705
515          2        5        ERR065328
516          2        7        ERR129031
517          2        7        ERR129049
518          2        6        ERR129205
519          2        7        ERR069799
520          2        7        ERR067990
521          2        6        ERR069694
522          2        4        ERR129058
523          2        7        ERR068009
524          2        7        ERR124303
525          2        2        ERR065330
526          2        7        ERR129060
527          2        7        ERR129173
528          2        5        ERR124313
529          2        5        ERR069758
530          2        2        ERR069719
531          2        7        ERR124317
532          2        7        ERR129188
533          2        5        ERR124280
534          2        6        ERR069837
535          2        7        ERR129056
536          2        6        ERR124245
537          2        4        ERR069779
538          2        5        ERR129033
539          2        7        ERR069775
540          2        6        ERR068000
541          2        2        ERR069770
542          2        5        ERR069684
543          2        7        ERR124306
544          2        6        ERR129084
545          2        4        ERR129073
546          2        6        ERR069815
547          2        4        ERR069840
548          2        6        ERR129192
549          2        2        ERR069721
550          2        6        ERR069736
551          2        6        ERR129098
552          2        7        ERR069733
553          2        5        ERR129190
554          2        6        ERR069797
555          2        4        ERR069757
556          2        6        ERR065339
557          2        3        ERR069816
558          2        6        ERR124238
559          2        5        ERR069753
560          2        2        ERR129199
561          2        7        ERR068049
562          2        5        ERR069776
563          2        7        ERR129104
564          2        7        ERR069783
565          2        5        ERR129103
566          2        7        ERR069695
567          2        7        ERR067963
568          2        7        ERR129115
569          2        3        ERR068022
570          1        1        ERR124230
571          2        7        ERR069762
572          2        7        ERR067970
573          2        5        ERR069794
574          2        5        ERR124295
575          2        6        ERR067973
576          2        6        ERR069821
577          2        7        ERR067992
578          2        5        ERR065340
579          2        2        ERR069740
580          2        7        ERR065963
581          2        4        ERR129145
582          2        7        ERR124275
583          2        6        ERR065331
584          2        6        ERR067972
585          2        4        ERR124297
586          2        5        ERR068024
587          2        7        ERR067999
588          2        5        ERR065323
589          2        4        ERR124237
590          2        7        ERR067987
591          2        6        ERR129141
592          2        5        ERR065319
593          2        3        ERR065956
594          2        7        ERR129193
595          2        6        ERR129093
596          2        7        ERR069808
597          2        7        ERR129089
598          2        7        ERR129047
599          2        6        ERR129133
600          2        7        ERR065312
601          2        6        ERR065348
602          2        7        ERR067979
603          2        7        ERR129095
604          2        4        ERR124286
605          2        6        ERR129211
606          2        7        ERR129201
607          2        7        ERR068033
608          2        5        ERR124270
609          2        6        ERR124298
610          2        7        ERR129194
611          2        4        ERR129171
612          2        6        ERR129122
613          2        6        ERR129100
614          2        5        ERR129030
