StrainIndex  Lineage  Cluster  Name
1            2        10       ERR069738
2            2        10       ERR065974
3            2        7        ERR129065
4            2        9        ERR129037
5            2        10       ERR069700
6            2        10       ERR124247
7            2        6        ERR124222
8            2        6        ERR065305
9            1        2        ERR069786
10           2        8        ERR129179
11           1        2        ERR129176
12           1        4        ERR069709
13           2        9        ERR067985
14           1        1        ERR129212
15           2        10       ERR068037
16           2        8        ERR124241
17           2        10       ERR069795
18           2        8        ERR124293
19           2        10       ERR069735
20           1        5        ERR069773
21           2        10       ERR067966
22           2        7        ERR129029
23           2        10       ERR129105
24           2        6        ERR124226
25           2        10       ERR129196
26           2        10       ERR069823
27           2        10       ERR124319
28           1        4        ERR068001
29           1        2        ERR129117
30           2        10       ERR069764
31           2        10       ERR068008
32           2        10       ERR067969
33           2        8        ERR069703
34           2        10       ERR129195
35           2        10       ERR065325
36           2        6        ERR124256
37           2        8        ERR129087
38           2        10       ERR069819
39           2        10       ERR129129
40           2        10       ERR065960
41           2        10       ERR069796
42           2        9        ERR065326
43           2        10       ERR069712
44           1        1        ERR124244
45           2        6        ERR129075
46           2        9        ERR069713
47           2        7        ERR069826
48           2        10       ERR065341
49           2        10       ERR069771
50           2        6        ERR069706
51           2        10       ERR065970
52           2        10       ERR129130
53           2        10       ERR129096
54           2        7        ERR129107
55           2        6        ERR069809
56           1        5        ERR065302
57           1        5        ERR129187
58           2        10       ERR124314
59           2        10       ERR069686
60           2        8        ERR069824
61           2        6        ERR068048
62           2        10       ERR065972
63           1        5        ERR129164
64           2        10       ERR069688
65           2        10       ERR069685
66           2        10       ERR124307
67           2        8        ERR067962
68           2        7        ERR124257
69           2        9        ERR129127
70           2        10       ERR065301
71           2        7        ERR124287
72           1        4        ERR068025
73           2        10       ERR067964
74           1        4        ERR069811
75           2        9        ERR069727
76           2        10       ERR129063
77           2        3        ERR065332
78           2        10       ERR129028
79           2        10       ERR065287
80           1        2        ERR129213
81           2        7        ERR129155
82           1        2        ERR129042
83           2        8        ERR129148
84           1        5        ERR129040
85           2        10       ERR069835
86           2        7        ERR129146
87           2        6        ERR129102
88           2        8        ERR069729
89           1        4        ERR129152
90           1        1        ERR069748
91           2        6        ERR069843
92           2        10       ERR124229
93           1        5        ERR129088
94           2        9        ERR069752
95           2        6        ERR065350
96           2        10       ERR129149
97           2        9        ERR129214
98           2        10       ERR069833
99           2        9        ERR124310
100          2        9        ERR068046
101          2        9        ERR129215
102          2        10       ERR129140
103          2        10       ERR069831
104          2        10       ERR068014
105          2        10       ERR124315
106          2        6        ERR124255
107          2        10       ERR065342
108          1        2        ERR124235
109          2        9        ERR129159
110          2        10       ERR129204
111          2        10       ERR129094
112          1        1        ERR069689
113          2        10       ERR069751
114          2        10       ERR068005
115          2        8        ERR069749
116          1        5        ERR067981
117          2        10       ERR067996
118          2        7        ERR129052
119          2        10       ERR069785
120          2        10       ERR069792
121          2        10       ERR124271
122          2        10       ERR069687
123          2        8        ERR124277
124          2        10       ERR124228
125          2        10       ERR129044
126          1        4        ERR065353
127          2        8        ERR129074
128          2        10       ERR069817
