10 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
512       595       2               8                4.5        ERR065305
280       309       2               9                4.9        ERR069786
533       561       4               9                2.6        ERR069786
318       457       5               12               9.1        ERR069709
185       270       5               16               3.5        ERR069814
512       595       2               18               4.5        ERR069795
280       309       2               24               4.9        ERR129105
533       561       4               24               2.6        ERR129105
280       309       2               26               4.9        ERR129196
533       561       4               26               2.6        ERR129196
318       457       5               29               9.1        ERR068001
185       270       5               32               3.5        ERR068007
512       595       2               33               4.5        ERR068008
280       309       2               36               4.9        ERR129195
533       561       4               36               2.6        ERR129195
512       595       2               41               4.5        ERR129129
512       595       2               43               4.5        ERR069796
512       595       2               51               4.5        ERR069771
512       595       2               53               4.5        ERR065970
512       595       2               64               4.5        ERR065972
218       261       5               70               1.2        ERR124257
280       309       2               72               4.9        ERR065301
533       561       4               72               2.6        ERR065301
512       595       2               78               4.5        ERR129063
512       595       2               81               4.5        ERR065287
512       595       2               94               4.5        ERR124229
512       595       2               98               4.5        ERR129149
512       595       2               100              4.5        ERR069833
512       595       2               104              4.5        ERR129140
512       595       2               105              4.5        ERR069831
280       309       2               106              4.9        ERR068014
533       561       4               106              2.6        ERR068014
512       595       2               107              4.5        ERR124315
280       309       2               109              4.9        ERR065342
533       561       4               109              2.6        ERR065342
280       309       2               113              4.9        ERR129094
533       561       4               113              2.6        ERR129094
512       595       2               115              4.5        ERR069751
318       457       5               116              9.1        ERR068005
280       309       2               122              4.9        ERR069792
533       561       4               122              2.6        ERR069792
280       309       2               123              5.6        ERR124271
533       561       4               123              3.1        ERR124271
512       595       2               124              4.5        ERR069687
318       457       5               128              9.1        ERR065353
512       595       2               130              4.5        ERR069817
318       457       5               131              9.1        ERR065953
218       261       5               138              1.2        ERR124311
280       309       2               140              4.9        ERR068031
533       561       4               140              2.6        ERR068031
512       595       2               147              4.5        ERR129207
318       457       5               152              9.1        ERR069710
512       595       2               154              4.5        ERR129160
185       270       5               156              3.0        ERR069789
318       457       5               159              9.1        ERR129027
512       595       2               160              4.5        ERR129170
512       595       2               164              4.5        ERR068044
512       595       2               168              4.5        ERR129112
280       309       2               174              4.9        ERR065354
533       561       4               174              2.6        ERR065354
512       595       2               176              4.5        ERR068017
512       595       2               180              4.5        ERR124269
1         270       2               184              1.6        ERR124274
280       317       5               184              4.4        ERR124274
512       595       2               188              4.5        ERR069717
512       595       2               189              4.5        ERR067974
512       595       2               192              4.5        ERR129108
512       595       2               194              4.5        ERR069711
512       595       2               197              4.5        ERR129059
218       261       5               200              1.2        ERR069820
280       309       2               213              4.9        ERR129144
533       561       4               213              2.6        ERR129144
512       595       2               217              4.5        ERR067960
512       595       2               218              4.5        ERR068050
318       457       5               220              9.1        ERR068004
512       595       2               221              4.5        ERR129032
512       595       2               225              4.5        ERR065317
512       595       2               231              4.5        ERR069774
280       309       2               232              4.9        ERR129206
533       561       4               232              2.6        ERR129206
512       595       2               238              4.5        ERR069829
280       309       2               239              4.9        ERR129077
533       561       4               239              2.6        ERR129077
280       309       2               243              5.6        ERR129041
533       561       4               243              3.1        ERR129041
512       595       2               245              4.5        ERR129120
512       595       2               251              4.5        ERR065295
512       595       2               253              4.5        ERR129197
318       457       5               255              9.1        ERR124223
318       457       5               256              9.1        ERR069734
318       457       5               260              9.1        ERR129092
450       457       3               265              0.7        ERR129181
512       595       2               266              4.5        ERR069696
512       595       2               267              4.5        ERR129072
512       595       2               275              4.5        ERR067984
512       595       2               278              4.5        ERR068045
512       595       2               281              4.5        ERR069781
512       595       2               285              4.5        ERR129186
512       595       2               288              4.5        ERR069805
512       595       2               289              3.3        ERR124220
185       270       5               291              3.5        ERR068021
280       309       2               292              4.9        ERR067998
533       561       4               292              2.6        ERR067998
512       595       2               295              4.5        ERR129183
512       595       2               296              4.5        ERR068034
512       595       2               301              4.5        ERR069691
280       309       2               304              5.6        ERR124289
533       561       4               304              3.1        ERR124289
512       595       2               305              4.5        ERR129153
218       261       5               306              1.2        ERR129057
512       595       2               310              4.5        ERR124281
512       595       2               320              4.5        ERR124267
280       309       2               323              4.9        ERR124320
533       561       4               323              2.6        ERR124320
280       309       2               329              4.9        ERR069692
533       561       4               329              2.6        ERR069692
318       457       5               331              9.1        ERR069759
280       309       2               332              4.9        ERR069723
533       561       4               332              2.6        ERR069723
512       595       2               336              4.5        ERR069745
401       457       5               339              12.5       ERR069742
318       457       5               343              9.1        ERR069827
512       595       2               344              4.5        ERR129142
280       309       2               345              5.6        ERR124309
533       561       4               345              3.1        ERR124309
1         270       2               348              1.7        ERR067978
280       309       5               348              5.6        ERR067978
318       457       5               349              9.1        ERR069741
512       595       2               357              4.5        ERR124284
450       457       3               359              0.7        ERR069722
280       309       2               366              5.6        ERR129184
533       561       4               366              3.1        ERR129184
280       309       2               369              4.9        ERR069818
533       561       4               369              2.6        ERR069818
512       595       2               373              4.5        ERR129175
401       457       1               374              14.7       ERR065294
512       595       2               385              4.5        ERR124263
512       595       2               386              4.5        ERR069704
512       595       2               388              4.5        ERR129025
512       595       2               391              4.5        ERR129209
512       595       2               392              4.5        ERR069761
512       595       2               393              4.5        ERR129034
512       595       2               399              4.5        ERR069828
280       309       2               403              4.9        ERR069714
533       561       4               403              2.6        ERR069714
280       309       2               407              4.9        ERR069697
533       561       4               407              2.6        ERR069697
512       595       2               409              4.5        ERR069838
512       595       2               415              4.5        ERR129046
218       261       5               416              1.2        ERR129053
1         270       2               417              1.7        ERR124272
280       309       5               417              5.6        ERR124272
280       309       4               421              3.2        ERR129151
533       561       4               421              1.2        ERR129151
512       595       2               422              4.5        ERR124225
512       595       2               424              4.5        ERR068011
512       595       2               433              4.5        ERR065288
512       595       2               437              4.5        ERR129091
512       595       2               440              4.5        ERR129118
280       309       2               441              5.6        ERR065318
533       561       4               441              3.1        ERR065318
280       309       2               442              4.9        ERR068010
533       561       4               442              2.6        ERR068010
450       457       3               444              0.7        ERR065349
512       595       2               448              4.5        ERR065291
512       595       2               458              4.5        ERR129121
512       595       2               463              4.5        ERR129123
218       261       5               467              1.2        ERR129185
280       309       2               468              4.9        ERR069810
533       561       4               468              2.6        ERR069810
512       595       2               469              4.5        ERR129174
401       457       5               472              12.5       ERR065352
280       309       2               475              4.9        ERR129182
533       561       4               475              2.6        ERR129182
318       457       5               476              9.1        ERR069788
318       457       5               478              9.1        ERR069784
218       261       5               480              1.2        ERR065290
512       595       2               487              4.5        ERR065337
512       595       2               502              4.5        ERR124251
280       309       2               503              4.9        ERR129110
533       561       4               503              2.6        ERR129110
512       595       2               504              4.5        ERR065975
218       261       5               505              1.2        ERR129135
512       595       2               510              4.5        ERR124234
512       595       2               512              4.5        ERR068038
318       457       5               513              9.1        ERR068043
512       595       2               515              4.5        ERR129125
512       595       2               516              4.5        ERR069705
512       595       2               517              4.5        ERR065328
280       309       2               521              4.9        ERR069799
533       561       4               521              2.6        ERR069799
280       309       2               525              4.9        ERR068009
533       561       4               525              2.6        ERR068009
512       595       2               530              4.5        ERR124313
512       595       2               531              4.5        ERR069758
512       595       2               535              4.5        ERR124280
512       595       2               540              4.5        ERR129033
512       595       2               544              4.5        ERR069684
218       261       5               546              1.2        ERR129084
280       309       4               548              3.2        ERR069815
533       561       4               548              1.2        ERR069815
512       595       2               555              4.5        ERR129190
512       595       2               561              4.5        ERR069753
512       595       2               564              4.5        ERR069776
318       457       5               570              9.1        ERR129115
450       457       3               571              0.7        ERR068022
512       595       2               575              4.5        ERR069794
512       595       2               576              4.5        ERR124295
512       595       2               580              4.5        ERR065340
218       261       5               586              1.2        ERR067972
512       595       2               588              4.5        ERR068024
512       595       2               590              4.5        ERR065323
512       595       2               594              4.5        ERR065319
280       309       2               598              4.9        ERR069808
533       561       4               598              2.6        ERR069808
318       457       5               604              9.1        ERR067979
280       309       2               605              4.9        ERR129095
533       561       4               605              2.6        ERR129095
512       595       2               610              4.5        ERR124270
