11 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1         115       1               6                3.6        ERR124247
648       650       5               6                3.2        ERR124247
807       852       5               6                0.5        ERR124247
1         123       3               11               0.4        ERR129176
1         115       3               14               0.7        ERR129212
1         162       3               18               0.1        ERR069795
1         123       3               20               0.2        ERR069735
1         243       3               26               0.6        ERR129196
1         243       3               28               0.9        ERR124319
1         123       3               30               0.4        ERR129117
83        115       3               31               2.0        ERR069764
1         243       3               37               0.9        ERR065325
1         123       3               40               0.2        ERR069819
1         243       3               42               0.9        ERR065960
1         243       3               46               0.9        ERR124244
1         162       3               53               0.1        ERR065970
1         243       3               56               0.9        ERR129107
76        115       3               59               1.0        ERR129187
76        115       3               65               1.0        ERR129164
1         243       3               72               0.6        ERR065301
145       177       6               73               3.9        ERR124287
1006      1290      5               73               15.3       ERR124287
1         123       3               82               0.4        ERR129213
1         123       3               84               0.4        ERR129042
145       177       6               88               3.9        ERR129146
1006      1290      5               88               15.3       ERR129146
1         115       3               92               0.7        ERR069748
76        115       3               106              1.0        ERR068014
1         243       3               109              0.6        ERR065342
1         123       3               110              0.4        ERR124235
76        115       3               113              1.0        ERR129094
1         115       3               114              0.7        ERR069689
1         162       3               115              0.1        ERR069751
1         243       3               122              0.9        ERR069792
145       177       6               132              3.9        ERR129076
1006      1290      5               132              15.3       ERR129076
1         123       3               137              0.4        ERR129157
1         105       2               138              2.2        ERR124311
1         243       3               140              0.9        ERR068031
145       177       6               143              3.9        ERR129055
1006      1290      5               143              15.3       ERR129055
1         243       3               148              0.9        ERR124288
1         243       3               151              0.9        ERR068027
1         55        4               159              0.1        ERR129027
259       275       4               159              0.1        ERR129027
1         115       3               165              0.7        ERR129180
76        115       3               166              1.1        ERR068016
1         243       3               174              0.9        ERR065354
76        115       3               177              1.1        ERR129066
1         123       3               186              0.4        ERR069708
1         243       3               187              0.9        ERR129106
1         144       3               194              1.0        ERR069711
1         243       3               202              0.9        ERR129116
1         144       3               209              0.1        ERR069825
1         243       3               210              0.9        ERR069737
76        115       3               212              1.1        ERR065304
1         243       3               213              0.6        ERR129144
1         144       3               217              1.0        ERR067960
1         123       3               219              0.2        ERR068039
1         243       3               228              0.9        ERR129050
76        115       3               232              1.0        ERR129206
1         243       3               239              0.9        ERR129077
1         123       3               251              0.2        ERR065295
1         115       3               270              0.7        ERR068006
76        115       3               279              1.1        ERR065959
1         123       3               282              0.3        ERR069832
1         123       3               286              0.4        ERR124308
1         243       3               297              0.9        ERR065311
1         243       3               300              1.3        ERR067967
1         144       3               301              1.0        ERR069691
1         243       3               302              0.9        ERR129161
1         123       3               303              0.3        ERR069716
1         105       2               306              2.2        ERR129057
1         123       3               311              0.3        ERR069750
1         123       3               315              0.2        ERR069813
1         243       3               323              0.6        ERR124320
1         123       3               326              0.4        ERR065303
1         243       3               329              0.9        ERR069692
1         243       3               332              0.9        ERR069723
145       177       6               333              3.9        ERR067976
1006      1290      5               333              15.3       ERR067976
145       177       6               334              3.9        ERR065307
1006      1290      5               334              15.3       ERR065307
76        115       3               356              1.1        ERR067991
1         123       3               361              0.3        ERR069701
1         243       3               369              0.6        ERR069818
1         243       3               377              1.3        ERR068015
1         123       3               382              0.4        ERR068023
1         243       3               383              0.6        ERR069777
1         243       3               407              0.9        ERR069697
1         123       3               409              0.2        ERR069838
145       177       6               410              3.9        ERR065313
1006      1290      5               410              15.3       ERR065313
76        115       3               411              1.1        ERR129038
1         243       3               412              0.9        ERR124294
1         243       3               414              0.9        ERR067975
1         243       3               416              0.6        ERR129053
76        115       3               427              0.9        ERR124252
145       177       6               428              3.9        ERR129082
1006      1290      5               428              15.3       ERR129082
1         243       3               430              0.9        ERR067980
76        115       3               438              0.9        ERR067982
1         243       3               442              0.6        ERR068010
1         243       3               456              0.9        ERR065955
1         243       3               468              0.9        ERR069810
1         243       3               475              0.6        ERR129182
1         123       3               477              0.3        ERR067983
1         105       2               480              2.2        ERR065290
1         243       3               481              0.9        ERR065322
1         123       3               496              0.3        ERR067989
1261      1290      6               500              9.3        ERR069732
1         243       3               501              0.9        ERR129208
76        115       3               503              1.1        ERR129110
1         105       2               505              2.2        ERR129135
145       177       6               520              3.9        ERR129205
1006      1290      5               520              15.3       ERR129205
1         243       3               521              0.6        ERR069799
1         243       3               523              0.9        ERR069694
1         243       3               538              0.9        ERR124245
1         243       3               549              0.9        ERR069840
145       177       6               553              3.9        ERR129098
1006      1290      5               553              15.3       ERR129098
1         243       3               558              0.9        ERR065339
1         243       3               560              0.9        ERR124238
76        115       3               572              1.1        ERR124230
1         243       3               577              0.9        ERR067973
1         243       3               587              0.9        ERR124297
1         243       3               593              0.9        ERR129141
76        115       3               598              0.7        ERR069808
76        115       3               600              1.0        ERR129047
145       177       6               601              3.9        ERR129133
1006      1290      5               601              15.3       ERR129133
1         243       3               603              0.9        ERR065348
76        115       3               605              1.0        ERR129095
1         243       3               606              0.9        ERR124286
1         243       3               614              0.9        ERR129122
1         243       3               615              0.9        ERR129100
