2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
763       1117      4               33               8.2        ERR069712
802       1197      2               41               2.9        ERR129187
877       1117      2               54               3.4        ERR065332
877       1117      2               82               3.4        ERR069725
763       1117      4               84               8.2        ERR129051
877       1117      2               92               3.4        ERR129026
763       1117      4               103              8.2        ERR065968
877       1117      2               106              3.4        ERR069698
877       1117      2               115              3.4        ERR124274
763       1117      4               119              8.2        ERR129132
763       1117      4               126              8.2        ERR069690
877       1117      2               129              3.4        ERR124283
877       1117      2               130              3.4        ERR065293
763       1117      4               135              8.2        ERR068018
877       1117      2               146              3.4        ERR124221
877       1117      2               148              3.4        ERR068026
877       1117      2               153              3.4        ERR065297
877       1117      2               154              3.4        ERR129061
763       1117      4               160              8.2        ERR069768
763       1117      4               167              8.2        ERR129090
877       1117      2               177              3.4        ERR065320
763       1117      4               182              8.2        ERR068020
763       1117      4               187              8.2        ERR067977
763       1117      4               189              8.2        ERR069715
877       1117      2               193              3.4        ERR069724
877       1117      2               198              3.4        ERR068042
877       1117      2               199              3.4        ERR124249
877       1117      2               202              3.4        ERR129198
877       1117      2               207              3.4        ERR067978
877       1117      2               211              3.4        ERR068032
877       1117      2               223              3.4        ERR124239
877       1117      2               231              3.4        ERR068028
877       1117      2               251              3.4        ERR124272
877       1117      2               267              3.4        ERR124300
763       1117      4               280              8.2        ERR129113
763       1117      4               288              8.2        ERR068013
763       1117      4               294              8.2        ERR124304
763       1117      4               296              8.2        ERR124282
877       1117      2               298              3.4        ERR129054
763       1117      4               314              8.2        ERR129058
877       1117      2               317              3.4        ERR129060
877       1117      2               333              3.4        ERR068049
763       1117      4               352              8.2        ERR124237
