StrainIndex  Lineage  Cluster  Name
1            1        1        ERR069712
2            1        1        ERR129051
3            1        1        ERR065968
4            1        1        ERR129132
5            1        1        ERR069690
6            1        1        ERR068018
7            1        1        ERR069768
8            1        1        ERR129090
9            1        1        ERR068020
10           1        1        ERR067977
11           1        1        ERR069715
12           1        1        ERR124265
13           1        1        ERR129113
14           1        1        ERR068013
15           1        1        ERR124304
16           1        1        ERR124282
17           1        1        ERR129058
18           1        1        ERR124237
