2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1142      1167      1               2                5.8        ERR065974
1142      1167      1               5                6.1        ERR069700
1020      1074      4               9                27.2       ERR069786
1142      1167      1               14               6.4        ERR129212
1020      1074      4               20               27.2       ERR069735
1142      1167      1               22               6.1        ERR067966
1142      1167      1               23               5.8        ERR129029
1142      1167      1               24               6.1        ERR129105
1142      1167      1               26               6.1        ERR129196
1020      1074      4               28               27.2       ERR124319
1020      1074      4               31               27.2       ERR069764
1142      1167      1               34               6.1        ERR067969
1142      1167      1               36               6.1        ERR129195
1020      1074      4               40               27.2       ERR069819
1142      1167      1               46               6.1        ERR124244
1142      1167      1               50               5.8        ERR065341
1142      1167      1               54               5.8        ERR129130
1142      1167      1               60               6.1        ERR124314
1142      1167      1               72               6.1        ERR065301
1142      1167      1               92               6.4        ERR069748
1020      1074      4               106              27.2       ERR068014
1142      1167      1               109              6.1        ERR065342
1020      1074      4               110              27.2       ERR124235
1020      1074      4               113              27.2       ERR129094
1142      1167      1               114              6.4        ERR069689
1142      1167      1               119              6.1        ERR067996
1142      1167      1               120              5.8        ERR129052
1020      1074      4               126              27.2       ERR124228
1020      1074      4               148              27.2       ERR124288
1020      1074      4               161              27.2       ERR129048
1142      1167      1               163              5.8        ERR065965
1142      1167      1               165              6.4        ERR129180
1142      1167      1               175              6.1        ERR069787
1142      1167      1               190              6.1        ERR069744
1020      1074      4               199              27.2       ERR067961
1020      1074      4               205              27.2       ERR065309
1142      1167      1               212              6.1        ERR129144
1020      1074      4               231              27.2       ERR129206
1142      1167      1               238              6.1        ERR129077
1142      1167      1               246              5.8        ERR124219
1020      1074      4               250              27.2       ERR065295
1142      1167      1               264              6.1        ERR129181
1020      1074      4               268              27.2       ERR129111
1142      1167      1               269              6.4        ERR068006
1142      1167      1               272              5.8        ERR124278
1142      1167      1               281              6.4        ERR069832
1020      1074      4               283              27.2       ERR124292
1020      1074      4               286              27.2       ERR129043
1142      1167      1               289              5.8        ERR069800
1142      1167      1               291              6.1        ERR067998
1020      1074      4               292              27.2       ERR124312
1142      1167      1               302              6.4        ERR069716
1142      1167      1               310              6.4        ERR069750
1020      1074      4               312              27.2       ERR124227
1020      1074      4               314              27.2       ERR069813
1020      1074      4               315              27.2       ERR124253
1142      1167      1               317              5.8        ERR065966
1142      1167      1               322              6.1        ERR124320
1020      1074      4               339              27.2       ERR069718
1020      1074      4               340              27.2       ERR124224
1142      1167      1               341              5.8        ERR069790
1020      1074      4               353              27.2       ERR065316
1020      1074      4               354              27.2       ERR124217
1142      1167      1               360              6.4        ERR069701
1142      1167      1               368              6.1        ERR069818
1142      1167      1               377              6.1        ERR129128
1142      1167      1               380              5.8        ERR065355
1142      1167      1               402              6.1        ERR069714
1020      1074      4               408              27.2       ERR069838
1020      1074      4               411              27.2       ERR124294
1020      1074      4               412              27.2       ERR124243
1142      1167      1               415              6.1        ERR129053
1142      1167      1               417              5.8        ERR065289
1142      1167      1               426              5.8        ERR124252
1142      1167      1               437              5.8        ERR067982
1020      1074      4               438              27.2       ERR124276
1142      1167      1               441              6.1        ERR068010
1020      1074      4               442              27.2       ERR129067
1020      1074      4               444              27.2       ERR068030
1142      1167      1               449              6.1        ERR069763
1142      1167      1               469              6.1        ERR124318
1142      1167      1               474              6.1        ERR129182
1142      1167      1               476              6.4        ERR067983
1020      1074      4               481              27.2       ERR069693
1142      1167      1               491              5.8        ERR065296
1142      1167      1               495              6.4        ERR067989
1142      1167      1               498              6.1        ERR069747
1020      1074      4               502              27.2       ERR129110
1142      1167      1               520              6.1        ERR069799
1142      1167      1               524              6.1        ERR124303
1020      1074      4               545              27.2       ERR129073
1142      1167      1               550              5.8        ERR069736
1020      1074      4               555              27.2       ERR069757
1148      1167      1               580              4.0        ERR065963
1142      1167      1               583              5.8        ERR065331
1020      1074      4               585              27.2       ERR124297
1020      1074      4               603              27.2       ERR129095
1020      1074      4               604              27.2       ERR124286
1142      1167      1               611              5.8        ERR129171
