StrainIndex  Lineage  Cluster  Name
1            4        8        ERR069738
2            2        5        ERR065974
3            6        7        ERR129065
4            5        10       ERR129037
5            1        4        ERR069700
6            3        6        ERR124247
7            3        6        ERR124222
8            6        9        ERR065305
9            6        1        ERR069786
10           4        8        ERR129179
11           6        9        ERR129176
12           5        10       ERR069709
13           5        10       ERR067985
14           6        2        ERR129212
15           4        8        ERR068037
16           1        4        ERR069814
17           4        8        ERR124241
18           6        9        ERR069795
19           4        8        ERR124293
20           6        2        ERR069735
21           1        4        ERR069773
22           1        4        ERR067966
23           6        7        ERR129029
24           6        1        ERR129105
25           6        7        ERR124226
26           6        1        ERR129196
27           5        10       ERR069823
28           5        10       ERR124319
29           5        10       ERR068001
30           6        9        ERR129117
31           5        10       ERR069764
32           1        4        ERR068007
33           6        9        ERR068008
34           1        4        ERR067969
35           4        8        ERR069703
36           6        1        ERR129195
37           6        3        ERR065325
38           5        10       ERR124256
39           4        8        ERR129087
40           6        2        ERR069819
41           6        9        ERR129129
42           6        3        ERR065960
43           6        9        ERR069796
44           5        10       ERR065326
45           5        10       ERR069712
46           6        9        ERR124244
47           3        6        ERR129075
48           5        10       ERR069713
49           6        7        ERR069826
50           2        5        ERR065341
51           6        9        ERR069771
52           3        6        ERR069706
53           6        9        ERR065970
54           2        5        ERR129130
55           4        8        ERR129096
56           6        7        ERR129107
57           5        10       ERR069809
58           1        4        ERR065302
59           2        5        ERR129187
60           1        4        ERR124314
61           4        8        ERR069686
62           6        3        ERR069824
63           5        10       ERR068048
64           1        4        ERR065972
65           2        5        ERR129164
66           4        8        ERR069688
67           5        10       ERR069685
68           4        8        ERR124307
69           4        8        ERR067962
70           1        4        ERR124257
71           5        10       ERR129127
72           6        1        ERR065301
73           6        7        ERR124287
74           2        5        ERR068025
75           5        10       ERR067964
76           2        5        ERR069811
77           5        10       ERR069727
78           6        9        ERR129063
79           3        6        ERR065332
80           5        10       ERR129028
81           2        5        ERR065287
82           6        9        ERR129213
83           6        7        ERR129155
84           6        9        ERR129042
85           4        8        ERR129148
86           1        4        ERR129040
87           5        10       ERR069835
88           6        7        ERR129146
89           6        3        ERR129102
90           6        3        ERR069729
91           2        5        ERR129152
92           6        2        ERR069748
93           3        6        ERR069843
94           6        9        ERR124229
95           2        5        ERR129088
96           5        10       ERR069752
97           5        10       ERR065350
98           6        9        ERR129149
99           5        10       ERR129214
100          6        9        ERR069833
101          2        5        ERR124310
102          5        10       ERR068046
103          5        10       ERR129215
104          6        9        ERR129140
105          6        9        ERR069831
106          2        5        ERR068014
107          6        9        ERR124315
108          3        6        ERR124255
109          6        1        ERR065342
110          6        9        ERR124235
111          5        10       ERR129159
112          4        8        ERR129204
113          2        5        ERR129094
114          6        2        ERR069689
115          6        9        ERR069751
116          5        10       ERR068005
117          4        8        ERR069749
118          2        5        ERR067981
119          4        8        ERR067996
120          6        7        ERR129052
121          6        9        ERR069785
122          6        3        ERR069792
123          3        6        ERR124271
124          6        9        ERR069687
125          4        8        ERR124277
126          4        8        ERR124228
127          5        10       ERR129044
128          5        10       ERR065353
129          4        8        ERR129074
130          6        9        ERR069817
131          5        10       ERR065953
132          6        7        ERR129076
133          5        10       ERR129154
134          3        6        ERR069725
135          5        10       ERR068040
136          5        10       ERR129051
137          6        9        ERR129157
138          6        7        ERR124311
139          5        10       ERR069746
140          6        3        ERR068031
141          5        10       ERR067986
142          5        10       ERR124291
143          6        7        ERR129055
144          6        7        ERR069780
145          2        5        ERR065327
146          5        10       ERR069822
147          6        9        ERR129207
148          5        10       ERR124288
149          3        6        ERR129026
150          3        6        ERR124218
151          6        7        ERR068027
152          5        10       ERR069710
153          5        10       ERR065310
154          6        9        ERR129160
155          4        8        ERR065300
156          1        4        ERR069789
157          4        8        ERR065343
158          6        7        ERR069802
159          5        10       ERR129027
160          6        9        ERR129170
161          2        5        ERR129048
162          5        10       ERR065968
163          2        5        ERR065965
164          2        5        ERR068044
165          6        2        ERR129180
166          6        9        ERR068016
167          4        8        ERR065324
168          6        9        ERR129112
169          2        5        ERR129158
170          3        6        ERR069698
171          5        10       ERR069812
172          5        10       ERR124302
173          5        10       ERR129083
174          6        3        ERR065354
175          1        4        ERR069787
176          6        9        ERR068017
177          6        9        ERR129066
178          2        5        ERR129039
179          4        8        ERR065329
180          6        9        ERR124269
181          4        8        ERR129200
