StrainIndex  Lineage  Cluster  Name
1            2        10       ERR069738
2            2        6        ERR065974
3            2        10       ERR129065
4            2        10       ERR129037
5            2        10       ERR069700
6            2        10       ERR124247
7            2        5        ERR124222
8            1        8        ERR065305
9            1        9        ERR069786
10           1        9        ERR129179
11           2        10       ERR129176
12           1        2        ERR069709
13           2        10       ERR067985
14           1        9        ERR129212
15           1        9        ERR068037
16           2        6        ERR069814
17           1        9        ERR124241
18           1        8        ERR069795
19           1        9        ERR124293
20           1        7        ERR069735
21           2        10       ERR069773
22           2        10       ERR067966
23           2        10       ERR129029
24           1        9        ERR129105
25           2        6        ERR124226
26           1        9        ERR129196
27           1        3        ERR069823
28           2        10       ERR124319
29           1        2        ERR068001
30           2        10       ERR129117
31           2        10       ERR069764
32           2        6        ERR068007
33           1        8        ERR068008
34           2        10       ERR067969
35           1        9        ERR069703
36           1        9        ERR129195
37           1        9        ERR065325
38           1        7        ERR124256
39           1        9        ERR129087
40           2        10       ERR069819
41           1        8        ERR129129
42           1        9        ERR065960
43           1        8        ERR069796
44           2        10       ERR065326
45           1        7        ERR069712
46           1        1        ERR124244
47           2        5        ERR129075
48           2        10       ERR069713
49           2        10       ERR069826
50           2        6        ERR065341
51           1        8        ERR069771
52           2        5        ERR069706
53           1        8        ERR065970
54           2        6        ERR129130
55           2        10       ERR129096
56           2        10       ERR129107
57           1        7        ERR069809
58           2        10       ERR065302
59           2        10       ERR129187
60           2        10       ERR124314
61           1        9        ERR069686
62           1        1        ERR069824
63           1        7        ERR068048
64           1        8        ERR065972
65           2        10       ERR129164
66           1        9        ERR069688
67           1        9        ERR069685
68           2        10       ERR124307
69           1        9        ERR067962
70           2        6        ERR124257
71           2        10       ERR129127
72           1        9        ERR065301
73           2        6        ERR124287
74           2        10       ERR068025
75           1        3        ERR067964
76           2        10       ERR069811
77           2        10       ERR069727
78           1        8        ERR129063
79           2        4        ERR065332
80           2        10       ERR129028
81           1        8        ERR065287
82           2        10       ERR129213
83           2        10       ERR129155
84           2        10       ERR129042
85           1        9        ERR129148
86           2        10       ERR129040
87           1        3        ERR069835
88           2        6        ERR129146
89           2        5        ERR129102
90           1        1        ERR069729
91           2        10       ERR129152
92           1        9        ERR069748
93           2        5        ERR069843
94           1        8        ERR124229
95           2        10       ERR129088
96           2        10       ERR069752
97           1        7        ERR065350
98           1        8        ERR129149
99           2        10       ERR129214
