StrainIndex  Lineage  Cluster  Name
1            3        8        ERR069738
2            1        1        ERR065974
3            3        8        ERR129065
4            3        7        ERR129037
5            3        5        ERR069700
6            3        5        ERR124247
7            3        4        ERR124222
8            2        9        ERR065305
9            3        8        ERR069786
10           2        9        ERR129179
11           3        7        ERR129176
12           2        9        ERR069709
13           3        7        ERR067985
14           3        8        ERR129212
15           3        5        ERR068037
16           3        5        ERR069814
17           2        9        ERR124241
18           2        9        ERR069795
19           2        9        ERR124293
20           2        6        ERR069735
21           3        5        ERR069773
22           3        5        ERR067966
23           3        7        ERR129029
24           3        8        ERR129105
25           3        5        ERR124226
26           3        8        ERR129196
27           2        6        ERR069823
28           3        5        ERR124319
29           2        9        ERR068001
30           3        7        ERR129117
31           3        5        ERR069764
32           3        5        ERR068007
33           2        9        ERR068008
34           3        5        ERR067969
35           2        9        ERR069703
36           3        8        ERR129195
37           2        9        ERR065325
38           2        6        ERR124256
39           2        9        ERR129087
40           3        8        ERR069819
41           2        9        ERR129129
42           2        9        ERR065960
43           2        9        ERR069796
44           3        7        ERR065326
45           2        6        ERR069712
46           3        8        ERR124244
47           3        4        ERR129075
48           3        7        ERR069713
49           3        8        ERR069826
50           1        1        ERR065341
51           2        9        ERR069771
52           3        4        ERR069706
53           2        9        ERR065970
54           1        1        ERR129130
55           3        8        ERR129096
56           3        8        ERR129107
57           2        6        ERR069809
58           3        5        ERR065302
59           2        6        ERR129187
60           3        5        ERR124314
61           3        5        ERR069686
62           2        9        ERR069824
63           2        6        ERR068048
64           2        9        ERR065972
65           2        3        ERR129164
66           3        5        ERR069688
67           2        6        ERR069685
68           3        8        ERR124307
69           2        9        ERR067962
70           2        9        ERR124257
71           3        7        ERR129127
72           3        8        ERR065301
73           3        8        ERR124287
74           2        6        ERR068025
75           2        6        ERR067964
76           2        6        ERR069811
77           3        7        ERR069727
78           2        9        ERR129063
79           3        7        ERR065332
80           2        3        ERR129028
81           2        9        ERR065287
82           3        7        ERR129213
83           3        8        ERR129155
84           3        5        ERR129042
85           2        9        ERR129148
86           3        5        ERR129040
87           2        6        ERR069835
88           3        8        ERR129146
89           2        9        ERR129102
90           2        9        ERR069729
91           2        6        ERR129152
92           3        8        ERR069748
93           3        4        ERR069843
94           2        9        ERR124229
95           2        6        ERR129088
96           3        7        ERR069752
97           2        6        ERR065350
98           2        9        ERR129149
99           3        7        ERR129214
100          2        9        ERR069833
101          2        6        ERR124310
102          3        7        ERR068046
103          3        7        ERR129215
104          2        9        ERR129140
105          2        9        ERR069831
106          3        5        ERR068014
107          2        9        ERR124315
108          3        4        ERR124255
109          3        8        ERR065342
110          3        5        ERR124235
111          3        7        ERR129159
112          3        8        ERR129204
113          3        5        ERR129094
114          3        8        ERR069689
115          2        9        ERR069751
116          2        9        ERR068005
117          2        9        ERR069749
118          2        3        ERR067981
119          3        5        ERR067996
120          3        7        ERR129052
121          3        7        ERR069785
122          3        2        ERR069792
123          3        8        ERR124271
124          2        9        ERR069687
125          2        9        ERR124277
126          2        9        ERR124228
127          3        5        ERR129044
128          2        9        ERR065353
129          2        9        ERR129074
130          2        9        ERR069817
131          2        9        ERR065953
132          3        8        ERR129076
133          3        7        ERR129154
134          3        7        ERR069725
135          3        7        ERR068040
136          2        6        ERR129051
137          3        7        ERR129157
138          2        9        ERR124311
139          2        6        ERR069746
140          3        2        ERR068031
141          3        7        ERR067986
142          3        7        ERR124291
143          3        8        ERR129055
144          3        8        ERR069780
145          2        6        ERR065327
146          3        7        ERR069822
147          2        9        ERR129207
148          3        5        ERR124288
149          3        7        ERR129026
150          3        8        ERR124218
151          3        8        ERR068027
152          2        9        ERR069710
153          3        7        ERR065310
154          2        9        ERR129160
155          2        9        ERR065300
156          3        5        ERR069789
157          3        5        ERR065343
158          3        8        ERR069802
159          2        9        ERR129027
160          2        9        ERR129170
161          2        6        ERR129048
162          2        6        ERR065968
163          1        1        ERR065965
164          2        9        ERR068044
165          3        8        ERR129180
166          3        5        ERR068016
167          2        9        ERR065324
168          2        9        ERR129112
169          2        3        ERR129158
170          3        7        ERR069698
171          2        6        ERR069812
172          3        7        ERR124302
173          2        3        ERR129083
174          3        2        ERR065354
175          3        5        ERR069787
176          2        9        ERR068017
177          3        5        ERR129066
178          2        6        ERR129039
179          2        9        ERR065329
180          2        9        ERR124269
181          2        9        ERR129200
182          3        5        ERR067995
183          2        3        ERR068012
184          2        9        ERR124274
185          3        5        ERR067993
186          3        5        ERR069708
187          3        8        ERR129106
188          2        9        ERR069717
189          2        9        ERR067974
190          3        5        ERR069744
191          3        7        ERR129210
192          2        9        ERR129108
193          2        6        ERR129132
194          2        9        ERR069711
