StrainIndex  Lineage  Cluster  Name
1            4        4        ERR065974
2            4        6        ERR129065
3            4        6        ERR065305
4            4        6        ERR069795
5            4        6        ERR129029
6            1        2        ERR124226
7            4        6        ERR068008
8            4        6        ERR124256
9            3        5        ERR129129
10           4        6        ERR069796
11           4        6        ERR069826
12           4        4        ERR065341
13           4        6        ERR069771
14           4        6        ERR065970
15           4        4        ERR129130
16           4        6        ERR129107
17           4        6        ERR069809
18           4        6        ERR068048
19           4        6        ERR065972
20           4        6        ERR124287
21           4        6        ERR129063
22           3        1        ERR065287
23           4        6        ERR129155
24           4        6        ERR129146
25           3        5        ERR124229
26           4        6        ERR065350
27           4        6        ERR129149
28           3        5        ERR069833
29           4        6        ERR129140
30           4        6        ERR069831
31           4        6        ERR069751
32           4        6        ERR129052
33           4        6        ERR069785
34           4        6        ERR124271
35           3        5        ERR069687
36           4        6        ERR069817
37           4        6        ERR129076
38           4        6        ERR124311
39           4        6        ERR129055
40           4        6        ERR069780
41           3        5        ERR129207
42           4        6        ERR068027
43           4        6        ERR129160
44           4        6        ERR069802
45           4        6        ERR129170
46           4        4        ERR065965
47           3        5        ERR068044
48           4        6        ERR129112
49           4        6        ERR068017
50           4        6        ERR124269
51           4        6        ERR067993
52           4        6        ERR129106
53           4        6        ERR069717
54           4        6        ERR067974
55           4        6        ERR129108
56           4        6        ERR069711
57           4        6        ERR129059
58           4        6        ERR069820
59           4        6        ERR129116
60           4        6        ERR067960
61           4        6        ERR068050
62           4        6        ERR129032
63           3        5        ERR129086
64           4        6        ERR065317
65           1        2        ERR129064
66           4        6        ERR069830
67           3        5        ERR069774
68           4        6        ERR129147
69           3        5        ERR069829
70           4        6        ERR129041
71           4        6        ERR129120
72           4        6        ERR124219
73           4        6        ERR065345
74           1        2        ERR069769
75           4        6        ERR129197
76           4        6        ERR069696
77           4        6        ERR129072
78           4        4        ERR124278
79           4        6        ERR067984
80           3        5        ERR068045
81           4        6        ERR069781
82           3        5        ERR129186
83           4        6        ERR069805
84           3        5        ERR124220
85           4        6        ERR069800
86           4        6        ERR129183
87           4        6        ERR068034
88           4        6        ERR065311
89           4        6        ERR067967
90           4        6        ERR069691
91           4        6        ERR129161
92           4        6        ERR124289
93           4        6        ERR129153
94           4        6        ERR129057
95           4        6        ERR124281
96           4        6        ERR065966
97           4        6        ERR069803
98           3        5        ERR124267
99           4        6        ERR067976
100          4        6        ERR065307
101          4        6        ERR069745
102          3        5        ERR129081
103          4        6        ERR069790
104          4        6        ERR129142
105          2        3        ERR124309
106          4        6        ERR124284
107          4        6        ERR129162
108          4        6        ERR129184
109          3        5        ERR129175
110          4        6        ERR068015
111          4        6        ERR065355
112          4        6        ERR069777
113          3        5        ERR124263
114          3        5        ERR069704
115          4        6        ERR129025
116          4        6        ERR069807
117          4        6        ERR129209
118          4        6        ERR069761
119          3        5        ERR129034
120          4        6        ERR065315
121          4        6        ERR065346
122          4        6        ERR069731
123          3        5        ERR069828
124          2        3        ERR065306
125          4        6        ERR065313
126          4        6        ERR129046
127          4        4        ERR065289
128          3        5        ERR124225
129          4        6        ERR068011
130          4        6        ERR124252
131          4        6        ERR129082
132          4        6        ERR069743
133          4        6        ERR067980
134          4        6        ERR065288
135          4        6        ERR129091
136          4        6        ERR067982
137          4        6        ERR129118
138          4        6        ERR065318
139          3        5        ERR065291
140          4        6        ERR069841
141          4        6        ERR065955
142          4        6        ERR129121
143          4        6        ERR069739
144          4        6        ERR129123
145          4        6        ERR129174
146          4        6        ERR065347
147          4        6        ERR065290
148          4        6        ERR065322
149          3        5        ERR065337
150          4        4        ERR065296
151          4        6        ERR065958
152          4        6        ERR129208
153          3        5        ERR124251
154          2        3        ERR129110
155          3        5        ERR065975
156          4        6        ERR129135
157          4        6        ERR069702
158          4        6        ERR124234
159          3        5        ERR068038
160          4        6        ERR129125
161          3        5        ERR069705
162          4        6        ERR065328
163          4        6        ERR129205
164          4        6        ERR069694
165          3        5        ERR124313
166          4        6        ERR069758
167          4        6        ERR124280
168          4        6        ERR124245
169          4        6        ERR129033
170          4        6        ERR069684
171          4        6        ERR129084
172          2        3        ERR129192
173          4        6        ERR069736
174          4        6        ERR129098
175          3        5        ERR129190
176          4        6        ERR069797
177          4        6        ERR065339
178          4        6        ERR124238
179          4        6        ERR069753
180          4        6        ERR069776
181          4        6        ERR069695
182          4        6        ERR069794
183          4        6        ERR124295
184          4        6        ERR067973
185          4        6        ERR069821
186          3        5        ERR065340
187          4        6        ERR065331
188          4        6        ERR068024
189          4        6        ERR065323
190          4        6        ERR129141
191          3        5        ERR065319
192          4        6        ERR129133
193          4        6        ERR065348
194          4        6        ERR129201
195          2        3        ERR124270
196          4        6        ERR129171
197          4        6        ERR129122
198          4        6        ERR129100
