StrainIndex  Lineage  Cluster  Name
1            4        6        ERR069738
2            4        8        ERR129065
3            4        9        ERR069700
4            3        10       ERR124247
5            2        7        ERR129179
6            4        6        ERR129176
7            4        9        ERR069709
8            4        6        ERR068037
9            1        2        ERR069814
10           2        7        ERR124241
11           2        7        ERR124293
12           1        5        ERR069735
13           3        4        ERR069773
14           4        9        ERR067966
15           3        10       ERR129029
16           1        5        ERR124319
17           4        9        ERR068001
18           4        6        ERR129117
19           1        2        ERR068007
20           4        9        ERR067969
21           2        7        ERR069703
22           1        5        ERR065325
23           3        10       ERR124256
24           2        7        ERR129087
25           1        5        ERR069819
26           4        6        ERR129129
27           1        5        ERR065960
28           3        10       ERR069712
29           4        8        ERR069826
30           4        6        ERR129096
31           4        8        ERR129107
32           3        10       ERR069809
33           3        4        ERR065302
34           1        5        ERR129187
35           4        9        ERR124314
36           4        6        ERR069686
37           1        5        ERR069824
38           3        10       ERR068048
39           4        8        ERR129164
40           4        6        ERR069688
41           3        10       ERR069685
42           4        6        ERR124307
43           2        7        ERR067962
44           1        2        ERR124257
45           2        7        ERR129127
46           4        8        ERR124287
47           3        10       ERR068025
48           3        10       ERR069811
49           4        9        ERR065332
50           2        3        ERR129028
51           4        6        ERR129213
52           4        8        ERR129155
53           4        6        ERR129042
54           2        7        ERR129148
55           3        4        ERR129040
56           4        8        ERR129146
57           1        5        ERR069729
58           3        10       ERR129152
59           4        8        ERR129088
60           3        10       ERR065350
61           1        5        ERR068014
62           4        6        ERR124235
63           4        6        ERR129204
64           1        5        ERR129094
65           4        9        ERR068005
66           2        7        ERR069749
67           4        8        ERR067981
68           4        6        ERR067996
69           3        10       ERR129052
70           4        9        ERR069785
71           3        4        ERR069792
72           3        10       ERR124271
73           4        6        ERR069687
74           2        7        ERR124277
75           1        5        ERR129044
76           4        9        ERR065353
77           2        7        ERR129074
78           4        9        ERR065953
79           4        8        ERR129076
80           4        9        ERR069725
81           3        10       ERR129051
82           4        6        ERR129157
83           1        5        ERR124311
84           3        4        ERR068031
85           4        8        ERR129055
86           4        8        ERR069780
87           3        10       ERR065327
88           2        7        ERR069822
89           4        9        ERR129026
90           1        5        ERR124218
91           4        8        ERR068027
92           4        9        ERR069710
93           2        7        ERR065300
94           1        2        ERR069789
95           4        6        ERR065343
96           4        8        ERR069802
97           4        9        ERR129027
98           3        10       ERR065968
99           4        6        ERR068016
100          2        7        ERR065324
101          4        8        ERR129158
102          4        9        ERR069698
103          2        3        ERR129083
104          4        9        ERR069787
105          4        6        ERR129066
106          3        10       ERR129039
107          2        7        ERR065329
108          2        7        ERR129200
109          4        6        ERR067995
110          4        8        ERR068012
111          4        9        ERR124274
112          4        6        ERR069708
113          4        8        ERR129106
114          4        9        ERR069744
115          3        10       ERR129132
116          2        7        ERR068019
117          2        7        ERR129099
118          4        6        ERR069820
119          2        3        ERR129216
120          4        8        ERR129116
121          2        7        ERR124250
122          3        10       ERR069690
123          4        9        ERR124283
124          4        9        ERR065293
125          4        9        ERR069825
126          4        8        ERR069737
127          2        7        ERR124316
128          4        6        ERR065304
129          3        10       ERR124232
130          3        10       ERR068018
131          1        2        ERR068050
132          3        4        ERR068039
133          4        9        ERR068004
134          4        6        ERR124248
135          2        7        ERR129086
136          2        7        ERR069834
137          1        5        ERR129050
138          4        8        ERR069830
139          1        5        ERR129206
140          4        9        ERR124221
141          4        9        ERR068026
142          4        8        ERR129147
143          3        10       ERR067994
144          2        7        ERR069726
145          4        6        ERR065338
146          3        10       ERR129041
147          4        9        ERR065297
148          4        9        ERR129061
149          3        10       ERR124219
150          4        8        ERR065345
151          1        5        ERR065295
152          3        10       ERR069768
153          4        9        ERR124223
154          4        9        ERR069734
155          4        6        ERR129167
156          2        7        ERR129143
157          2        7        ERR124299
158          4        9        ERR129092
159          3        10       ERR129090
160          2        7        ERR068002
161          1        1        ERR129181
162          3        10       ERR065344
163          3        10       ERR069798
164          1        5        ERR069782
165          2        7        ERR124236
166          4        6        ERR065959
167          4        8        ERR129045
168          4        9        ERR065320
169          4        6        ERR129186
170          4        6        ERR124308
171          3        10       ERR069800
172          1        2        ERR068021
173          3        10       ERR065971
174          2        7        ERR129183
175          4        8        ERR065311
176          3        10       ERR068020
177          4        6        ERR069767
178          4        8        ERR067967
179          4        8        ERR129161
180          3        10       ERR124289
181          1        5        ERR129057
182          3        10       ERR067977
183          1        5        ERR069772
184          3        10       ERR069715
185          4        8        ERR069683
186          1        5        ERR069813
187          4        9        ERR069724
188          3        10       ERR065966
189          4        6        ERR124267
190          3        10       ERR124254
191          3        10       ERR129168
192          3        10       ERR065298
193          4        6        ERR065303
194          1        5        ERR065957
195          4        9        ERR068042
196          3        4        ERR069692
197          4        9        ERR124249
198          4        9        ERR069759
199          3        4        ERR069723
200          4        8        ERR067976
201          4        8        ERR065307
202          4        9        ERR129198
203          4        9        ERR069742
204          3        10       ERR069790
205          4        9        ERR069827
206          3        10       ERR124309
207          1        5        ERR069806
208          4        9        ERR067978
209          4        9        ERR069741
210          2        3        ERR129136
211          3        10       ERR129203
212          4        9        ERR068032
213          4        6        ERR067991
214          2        7        ERR129079
215          4        6        ERR124260
216          2        3        ERR129162
217          3        4        ERR129124
