StrainIndex  Lineage  Cluster  Name
1            3        4        ERR069738
2            1        1        ERR065974
3            3        10       ERR129065
4            3        10       ERR129037
5            3        10       ERR069700
6            3        6        ERR124247
7            3        9        ERR124222
8            3        10       ERR065305
9            3        2        ERR069786
10           3        9        ERR129179
11           2        3        ERR129176
12           3        8        ERR069709
13           3        10       ERR067985
14           3        10       ERR129212
15           3        4        ERR068037
16           3        10       ERR069814
17           3        9        ERR124241
18           3        6        ERR069795
19           3        9        ERR124293
20           3        6        ERR069735
21           3        6        ERR069773
22           2        7        ERR067966
23           3        10       ERR129029
24           3        8        ERR129105
25           3        10       ERR124226
26           3        8        ERR129196
27           3        10       ERR069823
28           2        3        ERR124319
29           3        8        ERR068001
30           2        3        ERR129117
31           3        8        ERR069764
32           3        10       ERR068007
33           3        10       ERR068008
34           2        7        ERR067969
35           3        9        ERR069703
36           3        8        ERR129195
37           3        8        ERR065325
38           3        8        ERR124256
39           3        9        ERR129087
40           3        6        ERR069819
41           3        9        ERR129129
42           3        8        ERR065960
43           3        10       ERR069796
44           3        10       ERR065326
45           3        9        ERR069712
46           3        10       ERR124244
47           3        9        ERR129075
48           3        10       ERR069713
49           3        10       ERR069826
50           1        1        ERR065341
51           3        10       ERR069771
52           3        9        ERR069706
53           3        6        ERR065970
54           1        1        ERR129130
55           3        4        ERR129096
56           3        10       ERR129107
57           3        8        ERR069809
58           3        6        ERR065302
59           3        8        ERR129187
60           2        7        ERR124314
61           3        4        ERR069686
62           3        10       ERR069824
63           3        8        ERR068048
64           3        8        ERR065972
65           3        9        ERR129164
66           3        4        ERR069688
67           2        7        ERR069685
68           3        4        ERR124307
69           3        9        ERR067962
70           3        10       ERR124257
71           3        10       ERR129127
72           3        8        ERR065301
73           2        7        ERR124287
74           2        7        ERR068025
75           3        10       ERR067964
76           2        7        ERR069811
77           3        10       ERR069727
78           3        10       ERR129063
79           3        10       ERR065332
80           2        5        ERR129028
81           3        9        ERR065287
82           2        3        ERR129213
83           3        10       ERR129155
84           2        3        ERR129042
85           3        9        ERR129148
86           3        6        ERR129040
87           3        10       ERR069835
88           2        7        ERR129146
89           2        3        ERR129102
90           3        10       ERR069729
91           2        7        ERR129152
92           3        10       ERR069748
93           3        9        ERR069843
94           3        9        ERR124229
95           3        9        ERR129088
96           3        10       ERR069752
97           3        8        ERR065350
98           3        9        ERR129149
99           3        10       ERR129214
100          3        9        ERR069833
101          3        2        ERR124310
102          3        10       ERR068046
103          3        10       ERR129215
104          3        10       ERR129140
105          3        10       ERR069831
106          3        8        ERR068014
107          3        10       ERR124315
108          3        9        ERR124255
109          3        8        ERR065342
110          2        3        ERR124235
111          3        10       ERR129159
112          3        4        ERR129204
113          3        8        ERR129094
114          3        10       ERR069689
115          3        6        ERR069751
116          3        8        ERR068005
117          3        9        ERR069749
118          3        9        ERR067981
119          3        4        ERR067996
120          3        10       ERR129052
121          3        2        ERR069785
122          3        8        ERR069792
123          3        6        ERR124271
124          3        9        ERR069687
125          3        9        ERR124277
126          2        5        ERR124228
127          3        8        ERR129044
128          3        8        ERR065353
129          3        9        ERR129074
130          3        10       ERR069817
131          3        8        ERR065953
132          2        7        ERR129076
133          3        10       ERR129154
134          3        10       ERR069725
135          3        10       ERR068040
136          3        9        ERR129051
137          2        3        ERR129157
138          3        8        ERR124311
139          3        10       ERR069746
140          3        8        ERR068031
141          3        10       ERR067986
142          3        10       ERR124291
143          2        7        ERR129055
144          3        10       ERR069780
145          2        7        ERR065327
146          3        10       ERR069822
147          3        9        ERR129207
148          2        3        ERR124288
149          3        10       ERR129026
150          3        2        ERR124218
151          3        10       ERR068027
152          3        8        ERR069710
153          3        10       ERR065310
154          3        10       ERR129160
155          3        9        ERR065300
156          3        10       ERR069789
157          3        4        ERR065343
158          3        10       ERR069802
159          3        8        ERR129027
160          3        10       ERR129170
161          3        2        ERR129048
162          3        9        ERR065968
163          1        1        ERR065965
164          3        9        ERR068044
165          3        10       ERR129180
166          2        5        ERR068016
167          3        9        ERR065324
168          3        10       ERR129112
169          3        9        ERR129158
170          3        10       ERR069698
171          3        10       ERR069812
172          3        10       ERR124302
173          2        5        ERR129083
174          3        8        ERR065354
175          2        7        ERR069787
176          3        10       ERR068017
177          2        5        ERR129066
178          2        7        ERR129039
179          3        9        ERR065329
180          3        10       ERR124269
181          3        9        ERR129200
182          3        4        ERR067995
183          3        9        ERR068012
184          3        10       ERR124274
185          2        7        ERR067993
186          2        3        ERR069708
187          3        10       ERR129106
188          3        10       ERR069717
189          3        9        ERR067974
190          2        7        ERR069744
