StrainIndex  Lineage  Cluster  Name
1            4        9        ERR069738
2            3        3        ERR065974
3            3        7        ERR129065
4            4        9        ERR129037
5            4        9        ERR069700
6            4        9        ERR124247
7            4        5        ERR124222
8            4        8        ERR065305
9            4        9        ERR129179
10           4        9        ERR069709
11           4        9        ERR067985
12           4        9        ERR129212
13           4        9        ERR068037
14           4        9        ERR069814
15           4        9        ERR124241
16           4        9        ERR069795
17           4        9        ERR124293
18           3        6        ERR069735
19           4        4        ERR069773
20           4        9        ERR067966
21           3        7        ERR129029
22           4        8        ERR129105
23           4        4        ERR124226
24           4        8        ERR129196
25           4        9        ERR069823
26           4        9        ERR068001
27           4        5        ERR069764
28           4        9        ERR068007
29           4        8        ERR068008
30           4        9        ERR067969
31           4        9        ERR069703
32           4        8        ERR129195
33           4        9        ERR065325
34           4        9        ERR124256
35           4        9        ERR129087
36           3        7        ERR069819
37           4        8        ERR129129
38           4        9        ERR065960
39           4        8        ERR069796
40           4        9        ERR065326
41           3        6        ERR069712
42           4        4        ERR124244
43           4        5        ERR129075
44           4        9        ERR069713
45           3        7        ERR069826
46           3        3        ERR065341
47           4        8        ERR069771
48           4        5        ERR069706
49           4        9        ERR065970
50           3        3        ERR129130
51           4        9        ERR129096
52           3        7        ERR129107
53           4        9        ERR069809
54           4        4        ERR065302
55           4        9        ERR129187
56           4        9        ERR124314
57           4        9        ERR069686
58           4        9        ERR069824
59           4        9        ERR068048
60           4        8        ERR065972
61           3        6        ERR129164
62           4        9        ERR069688
63           4        9        ERR124307
64           4        9        ERR067962
65           4        9        ERR124257
66           4        9        ERR129127
67           4        8        ERR065301
68           4        5        ERR124287
69           4        9        ERR068025
70           4        9        ERR067964
71           4        9        ERR069811
72           4        9        ERR069727
73           4        8        ERR129063
74           4        9        ERR065332
75           3        7        ERR129028
76           4        8        ERR065287
77           3        7        ERR129155
78           4        9        ERR129148
79           4        4        ERR129040
80           4        9        ERR069835
81           4        5        ERR129146
82           2        2        ERR129102
83           4        9        ERR069729
84           4        9        ERR129152
85           4        9        ERR069748
86           4        5        ERR069843
87           4        8        ERR124229
88           3        6        ERR129088
89           4        9        ERR069752
90           4        9        ERR065350
91           4        8        ERR129149
92           4        9        ERR129214
93           4        8        ERR069833
94           4        9        ERR124310
95           4        9        ERR068046
96           4        9        ERR129215
97           4        8        ERR129140
98           4        8        ERR069831
99           4        9        ERR068014
100          4        8        ERR124315
101          4        5        ERR124255
102          4        8        ERR065342
103          4        9        ERR129159
104          4        9        ERR129204
105          4        9        ERR129094
106          4        9        ERR069689
107          4        9        ERR069751
108          4        9        ERR068005
109          4        9        ERR069749
110          3        6        ERR067981
111          4        9        ERR067996
112          3        7        ERR129052
113          4        9        ERR069785
114          3        6        ERR069792
115          4        5        ERR124271
116          4        8        ERR069687
117          4        9        ERR124277
118          3        6        ERR124228
119          4        9        ERR129044
120          4        9        ERR065353
121          4        9        ERR129074
122          4        8        ERR069817
123          4        9        ERR065953
124          4        5        ERR129076
125          4        9        ERR129154
126          4        9        ERR069725
127          4        9        ERR068040
128          3        6        ERR129051
129          4        9        ERR124311
130          4        9        ERR069746
131          3        6        ERR068031
132          4        9        ERR067986
133          4        9        ERR124291
134          4        5        ERR129055
135          3        7        ERR069780
136          4        9        ERR065327
137          4        9        ERR069822
138          4        8        ERR129207
139          4        9        ERR129026
140          3        6        ERR124218
141          3        7        ERR068027
142          4        9        ERR069710
143          4        9        ERR065310
144          4        8        ERR129160
145          4        9        ERR065300
146          4        9        ERR069789
147          4        9        ERR065343
148          3        7        ERR069802
149          4        9        ERR129027
150          4        8        ERR129170
151          4        9        ERR129048
152          3        6        ERR065968
153          3        3        ERR065965
154          3        6        ERR068044
155          4        9        ERR129180
156          4        4        ERR068016
157          4        9        ERR065324
158          4        8        ERR129112
159          3        6        ERR129158
160          4        9        ERR069698
161          4        9        ERR069812
162          4        9        ERR124302
163          3        7        ERR129083
164          3        6        ERR065354
165          4        9        ERR069787
166          4        8        ERR068017
167          4        4        ERR129066
168          4        9        ERR129039
169          4        9        ERR065329
170          4        8        ERR124269
171          4        9        ERR129200
172          4        9        ERR067995
173          3        6        ERR068012
174          4        9        ERR124274
175          4        5        ERR067993
176          3        7        ERR129106
177          4        8        ERR069717
178          4        8        ERR067974
179          4        9        ERR069744
180          4        9        ERR129210
181          4        8        ERR129108
182          3        6        ERR129132
183          4        9        ERR069711
184          4        9        ERR068019
185          4        9        ERR129099
186          4        8        ERR129059
187          4        9        ERR065292
188          3        6        ERR067961
189          4        8        ERR069820
190          3        7        ERR129216
191          3        7        ERR129116
192          4        9        ERR124250
193          3        6        ERR069690
194          4        5        ERR065973
195          4        9        ERR065309
196          4        9        ERR124283
197          4        9        ERR065293
198          4        9        ERR069825
199          3        6        ERR069737
200          4        9        ERR124316
201          4        4        ERR065304
202          4        8        ERR129144
203          4        9        ERR124232
204          3        6        ERR068018
205          4        9        ERR124296
206          4        9        ERR067960
207          4        8        ERR068050
208          4        4        ERR068039
209          4        9        ERR068004
210          4        8        ERR129032
211          4        9        ERR124248
212          4        9        ERR129086
213          4        8        ERR065317
214          4        9        ERR069834
215          4        5        ERR069720
216          4        9        ERR129050
217          4        4        ERR129064
218          3        7        ERR069830
219          4        8        ERR069774
220          4        9        ERR129206
221          4        9        ERR069801
222          4        9        ERR124221
223          4        9        ERR129080
224          4        9        ERR068026
225          3        7        ERR129147
226          4        8        ERR069829
227          4        8        ERR129077
228          4        9        ERR067994
229          4        9        ERR069726
230          4        9        ERR065338
231          4        5        ERR129041
232          4        9        ERR065297
233          4        8        ERR129120
234          4        9        ERR129061
235          3        7        ERR124219
236          3        7        ERR065345
237          4        9        ERR124305
238          4        4        ERR069769
239          3        7        ERR065295
240          3        6        ERR069768
241          4        8        ERR129197
242          4        9        ERR065967
243          4        9        ERR124223
244          4        9        ERR069734
245          4        9        ERR129143
246          4        9        ERR124299
247          4        9        ERR129092
248          3        6        ERR129090
249          4        9        ERR068002
250          4        5        ERR068003
251          4        9        ERR124268
252          4        8        ERR129181
253          4        8        ERR069696
254          4        8        ERR129072
255          4        9        ERR065344
256          4        9        ERR129111
257          4        9        ERR068006
258          4        5        ERR068035
259          3        3        ERR124278
260          4        9        ERR069760
261          4        8        ERR067984
262          4        9        ERR069782
263          4        9        ERR124236
264          4        8        ERR068045
265          4        4        ERR065959
266          3        6        ERR129045
267          4        8        ERR069781
268          4        9        ERR069832
269          4        9        ERR065320
270          3        6        ERR124292
271          4        8        ERR129186
272          4        8        ERR069805
273          4        8        ERR124220
274          3        7        ERR069800
275          4        9        ERR068021
276          4        8        ERR067998
277          3        6        ERR124312
278          4        8        ERR129183
279          4        8        ERR068034
280          3        7        ERR065311
281          3        6        ERR068020
282          4        9        ERR069767
283          3        7        ERR067967
284          4        9        ERR069691
285          3        7        ERR129161
286          4        9        ERR069716
287          4        5        ERR124289
288          4        8        ERR129153
289          4        9        ERR129057
290          3        6        ERR067977
291          4        9        ERR129131
292          4        9        ERR069772
293          4        8        ERR124281
294          4        9        ERR069750
295          3        6        ERR069715
296          3        6        ERR069683
297          3        7        ERR069813
298          4        9        ERR124253
299          4        9        ERR069724
300          3        7        ERR065966
301          4        5        ERR069803
302          4        8        ERR124267
303          4        9        ERR124254
304          4        8        ERR124320
305          4        9        ERR065298
306          4        9        ERR069804
307          1        1        ERR065957
308          4        9        ERR068042
309          3        6        ERR069692
310          4        9        ERR124249
311          4        9        ERR069759
312          3        6        ERR069723
313          4        5        ERR067976
314          4        5        ERR065307
315          4        9        ERR065962
316          4        8        ERR069745
317          4        8        ERR129081
318          4        9        ERR129198
319          4        4        ERR069742
320          3        6        ERR069718
321          3        6        ERR124224
322          3        7        ERR069790
323          4        9        ERR069827
324          4        8        ERR129142
325          4        5        ERR124309
326          4        9        ERR069806
327          4        9        ERR129068
328          4        9        ERR067978
329          4        9        ERR069741
330          3        7        ERR129136
331          4        5        ERR129062
332          4        9        ERR129203
333          4        9        ERR068032
334          4        9        ERR065316
335          4        9        ERR124217
336          4        4        ERR067991
337          4        8        ERR124284
338          4        9        ERR129079
339          4        8        ERR069722
340          4        9        ERR124260
341          4        9        ERR069701
342          4        9        ERR129162
343          4        4        ERR129124
344          4        9        ERR124246
345          4        9        ERR065299
346          4        5        ERR129184
347          4        5        ERR124233
348          4        9        ERR124266
349          4        8        ERR069818
350          4        9        ERR068029
351          4        9        ERR124239
352          4        9        ERR124279
353          4        8        ERR129175
354          4        4        ERR065294
355          4        9        ERR129139
356          4        9        ERR069778
357          3        7        ERR068015
358          4        9        ERR129128
359          4        9        ERR129163
360          4        9        ERR068028
361          3        7        ERR065355
362          3        7        ERR069777
363          4        5        ERR069791
364          4        8        ERR124263
365          4        8        ERR069704
366          4        9        ERR129134
367          4        8        ERR129025
368          4        9        ERR065351
369          3        7        ERR069807
370          4        8        ERR129209
371          4        8        ERR069761
372          4        8        ERR129034
373          4        9        ERR124240
374          4        5        ERR065315
375          3        7        ERR065346
376          4        9        ERR069731
377          4        8        ERR069828
378          4        9        ERR069755
379          4        9        ERR129156
380          4        9        ERR067988
381          4        8        ERR069714
382          4        5        ERR068036
383          2        2        ERR129071
384          4        9        ERR129035
385          3        6        ERR069697
386          3        7        ERR065306
387          3        7        ERR069838
388          4        5        ERR065313
389          4        4        ERR129038
390          3        6        ERR124243
391          3        6        ERR067975
392          4        8        ERR129046
393          4        8        ERR129053
394          4        9        ERR124272
395          3        3        ERR065289
396          4        5        ERR124285
397          3        6        ERR129126
398          3        6        ERR129151
399          4        8        ERR124225
400          4        4        ERR065321
401          4        8        ERR068011
402          4        9        ERR124264
403          4        9        ERR069707
404          4        9        ERR124252
405          4        5        ERR129082
406          4        9        ERR069743
407          3        7        ERR067980
408          4        9        ERR069836
409          4        9        ERR068047
410          4        8        ERR065288
411          4        5        ERR124258
