2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
606       670       2               1                6.0        ERR069738
606       670       2               14               6.0        ERR068037
232       239       2               36               0.0        ERR065325
232       239       2               41               0.0        ERR065960
606       670       2               52               6.0        ERR129096
606       670       2               58               6.0        ERR069686
606       670       2               63               6.0        ERR069688
606       670       2               65               6.0        ERR124307
232       239       2               86               0.0        ERR129102
606       670       2               109              6.0        ERR129204
606       670       2               116              6.0        ERR067996
606       670       2               154              6.0        ERR065343
606       670       2               178              6.0        ERR067995
606       670       2               218              6.0        ERR124248
232       239       2               224              0.0        ERR129050
606       670       2               238              6.0        ERR065338
606       670       2               294              6.0        ERR069767
606       670       2               355              6.0        ERR124260
232       239       2               360              0.0        ERR065299
606       670       2               371              6.0        ERR069778
606       670       2               396              6.0        ERR129156
232       239       2               400              0.0        ERR129071
606       670       2               425              6.0        ERR069836
606       670       2               458              6.0        ERR067965
606       670       2               464              6.0        ERR124318
606       670       2               559              6.0        ERR069783
606       670       2               585              6.0        ERR067987
