StrainIndex  Lineage  Cluster  Name
1            3        6        ERR069738
2            3        6        ERR065974
3            4        9        ERR129065
4            2        5        ERR129037
5            4        4        ERR069700
6            3        6        ERR124247
7            4        7        ERR124222
8            4        9        ERR065305
9            4        9        ERR069786
10           4        8        ERR129179
11           4        9        ERR129176
12           3        6        ERR069709
13           2        5        ERR067985
14           4        9        ERR129212
15           3        6        ERR068037
16           2        5        ERR069814
17           4        8        ERR124241
18           4        9        ERR069795
19           4        8        ERR124293
20           4        9        ERR069735
21           4        9        ERR069773
22           4        4        ERR067966
23           4        9        ERR129029
24           4        3        ERR129105
25           3        6        ERR124226
26           4        3        ERR129196
27           4        9        ERR069823
28           4        9        ERR124319
29           3        6        ERR068001
30           4        9        ERR129117
31           4        3        ERR069764
32           2        5        ERR068007
33           4        9        ERR068008
34           4        4        ERR067969
35           4        8        ERR069703
36           4        3        ERR129195
37           4        9        ERR065325
38           4        9        ERR124256
39           4        8        ERR129087
40           4        9        ERR069819
41           4        9        ERR129129
42           4        9        ERR065960
43           4        9        ERR069796
44           2        5        ERR065326
45           4        4        ERR069712
46           4        4        ERR124244
47           4        7        ERR129075
48           2        5        ERR069713
49           4        9        ERR069826
50           3        6        ERR065341
51           4        9        ERR069771
52           4        7        ERR069706
53           4        9        ERR065970
54           3        6        ERR129130
55           3        6        ERR129096
56           4        9        ERR129107
57           4        9        ERR069809
58           4        9        ERR065302
59           3        6        ERR129187
60           4        4        ERR124314
61           3        6        ERR069686
62           4        7        ERR069824
63           4        9        ERR068048
64           4        9        ERR065972
65           4        4        ERR129164
66           3        6        ERR069688
67           4        9        ERR069685
68           3        6        ERR124307
69           4        8        ERR067962
70           2        5        ERR124257
71           2        5        ERR129127
72           4        3        ERR065301
73           4        2        ERR124287
74           4        9        ERR068025
75           4        9        ERR067964
76           4        9        ERR069811
77           2        5        ERR069727
78           4        9        ERR129063
79           4        8        ERR065332
80           4        9        ERR129028
81           4        9        ERR065287
82           4        9        ERR129213
83           4        9        ERR129155
84           4        9        ERR129042
85           4        8        ERR129148
86           4        9        ERR129040
87           4        9        ERR069835
88           4        2        ERR129146
89           4        7        ERR129102
90           4        7        ERR069729
91           4        9        ERR129152
92           4        9        ERR069748
93           4        7        ERR069843
94           4        9        ERR124229
95           4        4        ERR129088
96           2        5        ERR069752
97           4        4        ERR065350
98           4        9        ERR129149
99           2        5        ERR129214
100          4        9        ERR069833
101          4        9        ERR124310
102          2        5        ERR068046
103          2        5        ERR129215
104          4        9        ERR129140
105          4        9        ERR069831
106          4        7        ERR068014
107          4        9        ERR124315
108          4        7        ERR124255
109          4        3        ERR065342
110          4        9        ERR124235
111          2        5        ERR129159
112          3        6        ERR129204
113          4        7        ERR129094
114          4        9        ERR069689
115          4        9        ERR069751
116          3        6        ERR068005
117          4        8        ERR069749
118          4        4        ERR067981
119          3        6        ERR067996
120          4        9        ERR129052
121          3        6        ERR069785
122          4        7        ERR069792
123          4        9        ERR124271
124          4        9        ERR069687
125          4        8        ERR124277
126          4        9        ERR124228
127          4        9        ERR129044
128          3        6        ERR065353
129          4        8        ERR129074
130          4        9        ERR069817
131          3        6        ERR065953
132          4        2        ERR129076
133          2        5        ERR129154
134          4        8        ERR069725
135          2        5        ERR068040
136          4        4        ERR129051
137          4        9        ERR129157
138          3        6        ERR124311
139          4        9        ERR069746
140          4        7        ERR068031
141          2        5        ERR067986
142          2        5        ERR124291
143          4        2        ERR129055
144          4        9        ERR069780
145          4        9        ERR065327
146          2        5        ERR069822
147          4        9        ERR129207
148          4        9        ERR124288
149          4        8        ERR129026
150          4        7        ERR124218
151          4        9        ERR068027
152          3        6        ERR069710
153          2        5        ERR065310
154          4        9        ERR129160
155          4        8        ERR065300
156          2        5        ERR069789
157          3        6        ERR065343
158          4        9        ERR069802
159          3        6        ERR129027
160          4        9        ERR129170
161          4        9        ERR129048
162          4        4        ERR065968
163          3        6        ERR065965
164          4        9        ERR068044
165          4        9        ERR129180
166          4        7        ERR068016
167          4        8        ERR065324
168          4        9        ERR129112
169          4        4        ERR129158
170          4        8        ERR069698
171          4        9        ERR069812
172          2        5        ERR124302
173          4        9        ERR129083
174          4        7        ERR065354
175          4        4        ERR069787
176          4        9        ERR068017
177          4        7        ERR129066
178          4        9        ERR129039
179          4        8        ERR065329
180          4        9        ERR124269
181          4        8        ERR129200
182          3        6        ERR067995
183          4        4        ERR068012
184          4        8        ERR124274
185          4        9        ERR067993
186          4        9        ERR069708
187          4        9        ERR129106
188          4        9        ERR069717
189          4        9        ERR067974
190          4        4        ERR069744
191          2        5        ERR129210
192          4        9        ERR129108
193          4        4        ERR129132
194          4        9        ERR069711
195          4        8        ERR068019
196          4        8        ERR129099
197          4        9        ERR129059
198          4        9        ERR065292
199          4        9        ERR067961
200          4        7        ERR069820
201          4        9        ERR129216
202          4        9        ERR129116
203          4        8        ERR124250
204          4        4        ERR069690
205          4        7        ERR065973
206          4        9        ERR065309
207          4        8        ERR124283
208          4        8        ERR065293
209          4        4        ERR069825
210          4        9        ERR069737
211          4        8        ERR124316
212          4        7        ERR065304
213          4        3        ERR129144
214          4        9        ERR124232
215          4        4        ERR068018
216          2        5        ERR124296
217          4        9        ERR067960
218          4        9        ERR068050
219          4        9        ERR068039
220          3        6        ERR068004
221          4        9        ERR129032
222          3        6        ERR124248
223          4        7        ERR068041
224          4        8        ERR129086
225          4        9        ERR065317
226          4        8        ERR069834
227          4        7        ERR069720
228          4        9        ERR129050
229          4        4        ERR129064
230          4        9        ERR069830
231          4        9        ERR069774
232          4        7        ERR129206
233          2        5        ERR069801
234          4        8        ERR124221
235          2        5        ERR129080
236          4        8        ERR068026
237          4        9        ERR129147
238          4        9        ERR069829
239          4        3        ERR129077
240          4        9        ERR067994
241          4        8        ERR069726
242          3        6        ERR065338
243          4        9        ERR129041
244          4        8        ERR065297
245          4        9        ERR129120
246          4        8        ERR129061
247          4        9        ERR124219
248          4        9        ERR065345
249          4        9        ERR124305
250          3        6        ERR069769
251          4        9        ERR065295
252          4        4        ERR069768
253          4        9        ERR129197
254          4        9        ERR065967
255          3        6        ERR124223
256          3        6        ERR069734
257          4        9        ERR129167
258          4        8        ERR129143
259          4        8        ERR124299
260          3        6        ERR129092
261          4        4        ERR129090
262          4        8        ERR068002
263          4        7        ERR068003
264          2        5        ERR124268
265          4        9        ERR129181
266          4        9        ERR069696
267          4        9        ERR129072
268          4        9        ERR065344
269          4        9        ERR129111
270          4        9        ERR068006
271          4        7        ERR068035
272          4        9        ERR069798
273          3        6        ERR124278
274          2        5        ERR069760
275          4        9        ERR067984
276          4        9        ERR069782
277          4        8        ERR124236
278          4        9        ERR068045
279          4        7        ERR065959
280          4        2        ERR129045
281          4        9        ERR069781
282          4        9        ERR069832
283          4        8        ERR065320
284          4        9        ERR124292
285          4        9        ERR129186
286          4        9        ERR124308
287          4        9        ERR129043
288          4        9        ERR069805
289          4        9        ERR124220
290          4        9        ERR069800
291          2        5        ERR068021
292          4        3        ERR067998
293          4        9        ERR124312
294          4        9        ERR065971
295          4        9        ERR129183
296          4        9        ERR068034
297          4        9        ERR065311
298          4        4        ERR068020
299          3        6        ERR069767
300          4        9        ERR067967
301          4        9        ERR069691
302          4        9        ERR129161
303          4        9        ERR069716
304          4        9        ERR124289
305          4        9        ERR129153
306          3        6        ERR129057
307          4        4        ERR067977
308          2        5        ERR129131
309          4        7        ERR069772
310          4        9        ERR124281
311          4        9        ERR069750
312          4        4        ERR069715
313          4        9        ERR124227
314          4        4        ERR069683
315          4        9        ERR069813
316          4        9        ERR124253
317          4        8        ERR069724
318          4        9        ERR065966
319          4        9        ERR069803
320          4        9        ERR124267
321          4        9        ERR124254
322          4        9        ERR129168
323          4        3        ERR124320
324          4        9        ERR065298
325          2        5        ERR069804
326          4        9        ERR065303
327          4        9        ERR065957
328          4        8        ERR068042
329          4        7        ERR069692
330          4        8        ERR124249
331          3        6        ERR069759
332          4        7        ERR069723
333          4        2        ERR067976
334          4        2        ERR065307
335          4        9        ERR065962
336          4        9        ERR069745
337          4        9        ERR129081
338          4        8        ERR129198
339          4        7        ERR069742
340          4        9        ERR069718
341          4        9        ERR124224
342          4        9        ERR069790
343          3        6        ERR069827
344          4        9        ERR129142
345          4        9        ERR124309
346          4        7        ERR069806
347          2        5        ERR129068
348          4        8        ERR067978
349          3        6        ERR069741
350          4        9        ERR129136
351          4        7        ERR129062
352          4        9        ERR129203
353          4        8        ERR068032
354          4        9        ERR065316
355          4        9        ERR124217
356          4        7        ERR067991
357          4        9        ERR124284
358          2        5        ERR129079
359          4        2        ERR069722
360          3        6        ERR124260
361          4        9        ERR069701
362          3        6        ERR129162
363          4        9        ERR129124
364          2        5        ERR124246
365          4        9        ERR065299
366          4        9        ERR129184
367          4        7        ERR124233
368          4        9        ERR124266
369          4        3        ERR069818
370          4        8        ERR068029
371          4        8        ERR124239
372          4        8        ERR124279
373          4        9        ERR129175
374          4        7        ERR065294
375          2        5        ERR129139
376          3        6        ERR069778
377          4        9        ERR068015
378          4        4        ERR129128
379          4        8        ERR129163
380          4        8        ERR068028
381          4        9        ERR065355
382          4        9        ERR068023
383          4        9        ERR069777
384          4        7        ERR069791
385          4        9        ERR124263
386          4        9        ERR069704
387          4        9        ERR129134
388          4        9        ERR129025
389          4        8        ERR065351
390          4        9        ERR069807
391          4        9        ERR129209
392          4        9        ERR069761
393          4        9        ERR129034
394          4        9        ERR129172
395          2        5        ERR124240
