StrainIndex  Lineage  Cluster  Name
1            1        1        ERR069700
2            4        5        ERR069700
3            4        6        ERR124222
4            4        7        ERR069786
5            4        7        ERR129179
6            4        4        ERR129176
7            4        7        ERR069709
8            3        3        ERR129212
9            4        7        ERR124241
10           4        7        ERR124293
11           4        7        ERR069735
12           4        5        ERR069773
13           4        5        ERR124319
14           4        7        ERR068001
15           4        4        ERR129117
16           4        7        ERR069703
17           4        7        ERR129087
18           4        7        ERR069819
19           4        5        ERR124244
20           4        6        ERR129075
21           4        6        ERR069706
22           4        5        ERR065302
23           4        7        ERR065972
24           4        7        ERR069685
25           4        7        ERR067962
26           4        6        ERR124287
27           4        4        ERR129213
28           4        4        ERR129042
29           4        7        ERR129148
30           4        5        ERR129040
31           4        6        ERR129146
32           3        3        ERR069748
33           4        6        ERR069843
34           4        6        ERR124255
35           4        4        ERR124235
36           3        3        ERR069689
37           4        7        ERR068005
38           4        7        ERR069749
39           4        7        ERR124277
40           2        2        ERR124228
41           4        5        ERR129044
42           4        7        ERR065353
43           4        7        ERR129074
44           4        7        ERR065953
45           4        6        ERR129076
46           4        4        ERR129157
47           4        6        ERR124311
48           4        5        ERR124311
49           4        6        ERR129055
50           4        5        ERR124288
51           4        6        ERR124218
52           4        7        ERR069710
53           4        4        ERR129027
54           3        3        ERR129180
55           4        7        ERR065324
56           1        1        ERR069787
57           4        5        ERR069787
58           4        7        ERR065329
59           4        7        ERR129200
60           4        4        ERR069708
61           4        7        ERR068019
62           4        7        ERR129099
63           2        2        ERR067961
64           4        5        ERR069820
65           4        7        ERR124250
66           4        5        ERR069825
67           4        7        ERR124316
68           4        5        ERR068039
69           4        7        ERR068004
70           4        7        ERR129086
71           4        7        ERR069834
72           4        6        ERR069720
73           4        7        ERR069726
74           4        7        ERR065295
75           4        7        ERR124223
76           4        7        ERR069734
77           4        4        ERR129167
78           4        7        ERR129143
79           4        7        ERR124299
80           4        7        ERR129092
81           4        7        ERR068002
82           4        6        ERR068003
83           3        3        ERR068006
84           4        6        ERR068035
85           4        7        ERR069798
86           4        7        ERR069782
87           4        7        ERR124236
88           3        3        ERR069832
89           2        2        ERR124292
90           4        4        ERR124308
91           4        4        ERR129043
92           2        2        ERR124312
93           4        7        ERR065971
94           3        3        ERR069716
95           4        5        ERR129057
96           3        3        ERR069750
97           4        4        ERR124227
98           4        7        ERR069813
99           4        7        ERR129168
100          4        4        ERR065303
101          4        6        ERR065957
102          4        7        ERR069759
103          4        6        ERR067976
104          4        6        ERR065307
105          4        7        ERR069742
106          2        2        ERR069718
107          2        2        ERR124224
108          4        7        ERR069827
109          4        7        ERR069741
110          4        6        ERR129062
111          3        3        ERR069701
112          4        5        ERR129124
113          4        7        ERR068029
114          4        7        ERR124279
115          4        7        ERR065294
116          4        5        ERR129128
117          4        7        ERR129163
118          4        4        ERR068023
119          4        7        ERR129134
120          4        7        ERR065351
121          4        7        ERR129172
122          4        7        ERR067988
123          4        6        ERR068036
124          4        7        ERR129035
125          4        7        ERR069838
126          4        6        ERR065313
127          4        5        ERR124294
128          2        2        ERR124243
129          4        5        ERR067975
130          4        5        ERR065321
131          4        6        ERR129082
132          4        6        ERR124258
133          4        6        ERR065314
134          4        7        ERR124301
135          2        2        ERR124276
136          2        2        ERR129067
137          4        7        ERR069728
138          4        5        ERR069763
139          1        1        ERR069763
140          4        7        ERR124290
141          4        7        ERR065969
142          4        7        ERR065352
143          4        7        ERR069788
144          3        3        ERR067983
145          4        7        ERR069784
146          4        5        ERR065290
147          4        6        ERR065290
148          4        7        ERR069693
149          4        6        ERR129036
150          3        3        ERR067989
151          4        6        ERR129078
152          1        1        ERR069747
153          4        5        ERR069747
154          4        5        ERR129135
155          4        6        ERR069699
156          4        7        ERR129119
157          4        7        ERR124273
158          4        7        ERR068043
159          4        6        ERR129031
160          4        6        ERR129049
161          4        6        ERR129205
162          4        6        ERR067990
163          4        7        ERR129173
164          4        5        ERR129188
165          4        5        ERR129056
166          4        7        ERR069779
167          4        5        ERR069775
168          4        6        ERR124306
169          4        5        ERR129084
170          2        2        ERR129073
171          4        6        ERR129098
172          4        7        ERR069733
173          4        7        ERR129104
174          4        7        ERR067963
175          4        4        ERR129115
176          4        6        ERR069762
177          4        7        ERR067970
178          4        7        ERR067992
179          4        7        ERR124275
180          4        5        ERR124297
181          4        6        ERR067999
182          4        6        ERR129193
183          4        7        ERR129089
184          4        6        ERR129133
185          4        6        ERR065312
186          4        7        ERR067979
187          4        5        ERR124286
188          4        7        ERR068033
189          4        5        ERR129194
