3 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
413       460       3               21               7.3        ERR069773
335       357       1               27               6.2        ERR069823
326       362       1               45               4.3        ERR069712
413       460       3               58               7.3        ERR065302
335       357       1               75               6.2        ERR067964
413       460       3               86               7.3        ERR129040
335       357       1               87               6.2        ERR069835
326       362       1               136              4.3        ERR129051
335       357       1               139              6.2        ERR069746
326       362       1               162              4.3        ERR065968
335       357       1               171              6.2        ERR069812
326       362       1               193              4.3        ERR129132
335       357       1               198              6.2        ERR065292
326       362       1               204              4.3        ERR069690
326       362       1               215              4.3        ERR068018
413       460       3               219              7.3        ERR068039
326       362       1               252              4.3        ERR069768
335       357       1               254              6.2        ERR065967
326       362       1               261              4.3        ERR129090
335       357       1               268              6.2        ERR065344
326       362       1               298              4.3        ERR068020
326       362       1               307              4.3        ERR067977
326       362       1               312              4.3        ERR069715
335       357       1               334              6.2        ERR065962
413       460       3               362              7.3        ERR129124
335       357       1               399              6.2        ERR069755
335       357       1               418              6.2        ERR124285
413       460       3               422              7.3        ERR065321
335       357       1               459              6.2        ERR069765
326       362       1               470              4.3        ERR129113
326       362       1               481              4.3        ERR068013
335       357       1               486              6.2        ERR124231
326       362       1               488              4.3        ERR124304
326       362       1               492              4.3        ERR124282
335       357       1               497              6.2        ERR069732
326       362       1               521              4.3        ERR129058
335       357       1               524              6.2        ERR065330
335       357       1               529              6.2        ERR069719
413       460       3               531              7.3        ERR129188
413       460       3               534              7.3        ERR129056
413       460       3               538              7.3        ERR069775
335       357       1               540              6.2        ERR069770
335       357       1               548              6.2        ERR069721
335       357       1               578              6.2        ERR069740
326       362       1               588              4.3        ERR124237
240       253       4               595              1.3        ERR069808
413       460       3               595              4.5        ERR069808
