2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
1087      1127      4               6                1.2        ERR124247
1087      1127      4               20               1.2        ERR069735
1087      1127      4               27               1.2        ERR069823
1020      1127      2               40               4.2        ERR069819
1079      1099      2               59               3.6        ERR129187
1087      1127      4               75               1.2        ERR067964
1087      1127      4               87               1.2        ERR069835
1087      1127      4               139              1.2        ERR069746
1087      1127      4               171              1.2        ERR069812
1087      1127      4               198              1.2        ERR065292
1087      1099      2               229              0.5        ERR129064
1087      1127      4               254              1.2        ERR065967
1087      1127      4               268              1.2        ERR065344
1087      1127      4               280              1.2        ERR129045
1087      1127      4               335              1.2        ERR065962
1087      1127      4               400              1.2        ERR069755
1079      1099      2               421              3.6        ERR129151
1087      1127      4               462              1.2        ERR069765
1087      1127      4               489              1.2        ERR124231
1087      1127      4               500              1.2        ERR069732
1087      1127      4               527              1.2        ERR065330
1087      1127      4               532              1.2        ERR069719
1087      1127      4               543              1.2        ERR069770
1079      1099      2               548              3.6        ERR069815
1087      1127      4               551              1.2        ERR069721
1087      1127      4               581              1.2        ERR069740
1079      1099      2               600              3.6        ERR129047
