StrainIndex  Lineage  Cluster  Name
1            3        9        ERR069738
2            3        10       ERR065974
3            3        9        ERR129065
4            3        6        ERR129037
5            3        7        ERR069700
6            3        10       ERR124247
7            3        8        ERR124222
8            3        7        ERR065305
9            2        2        ERR069786
10           3        8        ERR129179
11           3        5        ERR129176
12           2        3        ERR069709
13           3        6        ERR067985
14           2        1        ERR129212
15           3        9        ERR068037
16           2        3        ERR069814
17           3        8        ERR124241
18           3        7        ERR069795
19           3        8        ERR124293
20           3        10       ERR069735
21           3        5        ERR069773
22           3        7        ERR067966
23           3        10       ERR129029
24           3        9        ERR129105
25           2        2        ERR124226
26           3        9        ERR129196
27           3        10       ERR069823
28           3        5        ERR124319
29           2        3        ERR068001
30           3        5        ERR129117
31           3        10       ERR069764
32           2        3        ERR068007
33           3        7        ERR068008
34           3        7        ERR067969
35           3        8        ERR069703
36           3        9        ERR129195
37           3        8        ERR065325
38           3        10       ERR124256
39           3        8        ERR129087
40           3        10       ERR069819
41           1        4        ERR129129
42           3        8        ERR065960
43           3        7        ERR069796
44           3        6        ERR065326
45           3        10       ERR069712
46           3        5        ERR124244
47           3        8        ERR129075
48           3        6        ERR069713
49           3        9        ERR069826
50           3        10       ERR065341
51           3        7        ERR069771
52           3        8        ERR069706
53           3        7        ERR065970
54           3        10       ERR129130
55           3        9        ERR129096
56           3        9        ERR129107
57           3        10       ERR069809
58           3        5        ERR065302
59           3        5        ERR129187
60           3        7        ERR124314
61           3        9        ERR069686
62           2        3        ERR069824
63           3        10       ERR068048
64           3        7        ERR065972
65           3        10       ERR129164
66           3        9        ERR069688
67           3        10       ERR069685
68           3        9        ERR124307
69           3        8        ERR067962
70           3        8        ERR124257
71           3        6        ERR129127
72           3        9        ERR065301
73           3        9        ERR124287
74           3        10       ERR068025
75           3        10       ERR067964
76           3        10       ERR069811
77           3        6        ERR069727
78           3        7        ERR129063
79           3        10       ERR065332
80           3        8        ERR129028
81           1        4        ERR065287
82           3        5        ERR129213
83           3        9        ERR129155
84           3        5        ERR129042
85           3        8        ERR129148
86           3        5        ERR129040
87           3        10       ERR069835
88           3        9        ERR129146
89           3        5        ERR129102
90           2        3        ERR069729
91           3        10       ERR129152
92           2        1        ERR069748
93           3        8        ERR069843
94           1        4        ERR124229
95           3        10       ERR129088
96           3        6        ERR069752
97           3        10       ERR065350
98           3        7        ERR129149
99           3        6        ERR129214
100          1        4        ERR069833
101          3        10       ERR124310
102          3        6        ERR068046
103          3        6        ERR129215
104          3        7        ERR129140
105          3        7        ERR069831
106          3        5        ERR068014
107          3        7        ERR124315
108          3        8        ERR124255
109          3        9        ERR065342
110          3        10       ERR124235
111          3        6        ERR129159
112          3        9        ERR129204
113          3        5        ERR129094
114          2        1        ERR069689
115          3        7        ERR069751
116          3        10       ERR068005
117          3        8        ERR069749
118          3        10       ERR067981
119          3        9        ERR067996
120          3        10       ERR129052
121          3        10       ERR069785
122          3        10       ERR069792
123          3        9        ERR124271
124          1        4        ERR069687
125          3        8        ERR124277
126          2        2        ERR124228
127          2        2        ERR129044
128          2        3        ERR065353
129          3        8        ERR129074
130          3        7        ERR069817
131          2        3        ERR065953
132          3        9        ERR129076
133          3        6        ERR129154
134          3        10       ERR069725
135          3        6        ERR068040
136          3        10       ERR129051
137          3        5        ERR129157
138          2        3        ERR124311
139          3        10       ERR069746
140          3        10       ERR068031
141          3        6        ERR067986
142          3        6        ERR124291
143          3        9        ERR129055
144          3        9        ERR069780
145          3        10       ERR065327
146          3        6        ERR069822
147          1        4        ERR129207
148          3        5        ERR124288
149          3        10       ERR129026
150          3        10       ERR124218
151          3        9        ERR068027
152          2        3        ERR069710
153          3        6        ERR065310
154          3        7        ERR129160
155          3        8        ERR065300
156          3        8        ERR069789
157          3        9        ERR065343
158          3        9        ERR069802
159          2        3        ERR129027
160          3        7        ERR129170
161          3        10       ERR129048
162          3        10       ERR065968
163          3        10       ERR065965
164          1        4        ERR068044
165          2        1        ERR129180
166          3        10       ERR068016
167          3        8        ERR065324
168          3        7        ERR129112
169          3        10       ERR129158
170          3        10       ERR069698
171          3        10       ERR069812
172          3        6        ERR124302
173          3        8        ERR129083
174          3        10       ERR065354
175          3        7        ERR069787
176          3        7        ERR068017
177          3        10       ERR129066
178          3        10       ERR129039
179          3        8        ERR065329
180          3        7        ERR124269
