StrainIndex  Lineage  Cluster  Name
1            2        5        ERR069738
2            2        4        ERR065974
3            2        3        ERR124222
4            2        6        ERR069786
5            2        5        ERR129179
6            2        6        ERR129176
7            2        6        ERR069709
8            2        6        ERR129212
9            2        5        ERR124241
10           2        5        ERR124293
11           2        4        ERR069735
12           2        6        ERR069773
13           2        6        ERR129105
14           2        6        ERR129196
15           2        6        ERR124319
16           2        6        ERR068001
17           2        6        ERR129117
18           2        5        ERR069703
19           2        6        ERR129195
20           2        6        ERR124256
21           2        5        ERR129087
22           2        4        ERR069819
23           2        6        ERR069712
24           2        3        ERR129075
25           2        4        ERR065341
26           2        3        ERR069706
27           2        4        ERR129130
28           2        5        ERR129096
29           2        6        ERR129107
30           2        6        ERR069809
31           2        6        ERR065302
32           2        5        ERR069686
33           2        4        ERR069824
34           2        6        ERR068048
35           2        6        ERR069685
36           2        5        ERR124307
37           2        5        ERR067962
38           2        5        ERR124257
39           2        6        ERR065301
40           1        1        ERR068025
41           2        6        ERR069811
42           2        6        ERR065332
43           2        6        ERR129213
44           2        6        ERR129155
45           2        6        ERR129042
46           2        5        ERR129148
47           2        6        ERR129040
48           2        4        ERR129146
49           1        2        ERR129102
50           2        4        ERR069729
51           2        6        ERR129152
52           2        6        ERR069748
53           2        3        ERR069843
54           2        6        ERR065350
55           2        6        ERR124310
56           2        6        ERR068014
57           2        3        ERR124255
58           2        6        ERR065342
59           2        6        ERR124235
60           2        5        ERR129204
61           2        6        ERR129094
62           2        6        ERR069689
63           2        5        ERR068005
64           2        5        ERR069749
65           2        6        ERR069792
66           2        6        ERR124271
67           2        5        ERR124277
68           2        6        ERR129044
69           2        6        ERR065353
70           2        5        ERR129074
71           2        6        ERR065953
72           2        4        ERR129076
73           2        6        ERR069725
74           2        6        ERR129051
75           2        6        ERR129157
76           2        6        ERR068031
77           2        6        ERR065327
78           2        6        ERR124288
79           2        6        ERR129026
80           2        6        ERR124218
81           2        6        ERR068027
82           2        6        ERR069710
83           2        5        ERR065300
84           2        6        ERR069802
85           2        4        ERR129027
86           2        6        ERR129048
87           2        6        ERR065968
88           2        4        ERR065965
89           2        6        ERR129180
90           2        5        ERR065324
91           2        6        ERR069698
92           2        6        ERR129083
93           2        6        ERR065354
94           2        6        ERR129039
95           2        5        ERR065329
96           2        5        ERR129200
97           2        5        ERR067995
98           2        6        ERR124274
99           2        6        ERR067993
100          2        6        ERR069708
101          2        6        ERR067974
102          2        6        ERR129132
103          2        5        ERR068019
104          2        5        ERR129099
105          2        6        ERR129216
106          2        5        ERR124250
107          2        6        ERR069690
108          2        3        ERR065973
109          2        6        ERR124283
110          2        6        ERR065293
111          2        6        ERR069737
112          2        5        ERR124316
113          2        6        ERR129144
114          2        6        ERR124232
115          2        6        ERR068018
116          2        6        ERR068039
117          2        6        ERR068004
118          2        5        ERR124248
119          2        5        ERR129086
120          2        5        ERR069834
121          2        3        ERR069720
122          2        6        ERR129206
123          2        6        ERR124221
124          2        6        ERR068026
125          2        6        ERR129147
126          2        6        ERR129077
127          2        5        ERR069726
128          2        5        ERR065338
129          2        6        ERR129041
130          2        6        ERR065297
131          2        6        ERR129061
132          2        6        ERR065345
133          2        6        ERR124305
134          2        6        ERR069768
135          2        4        ERR124223
136          2        6        ERR069734
137          2        6        ERR129167
138          2        5        ERR129143
139          2        5        ERR124299
140          2        6        ERR129092
141          2        6        ERR129090
142          2        5        ERR068002
143          2        3        ERR068003
144          2        6        ERR068006
145          2        3        ERR068035
146          2        6        ERR069798
147          2        4        ERR124278
148          2        4        ERR069782
149          2        5        ERR124236
150          2        6        ERR129045
151          2        6        ERR069832
152          2        6        ERR065320
153          2        6        ERR124308
154          2        6        ERR129043
155          2        4        ERR069800
156          2        6        ERR067998
157          2        6        ERR065971
158          2        6        ERR129183
159          2        6        ERR065311
160          2        6        ERR068020
161          2        5        ERR069767
162          2        6        ERR067967
163          2        6        ERR129161
164          2        6        ERR069716
165          2        6        ERR124289
166          2        6        ERR067977
167          2        4        ERR069772
168          2        6        ERR069750
169          2        6        ERR069715
170          2        6        ERR124227
171          2        4        ERR069813
172          2        6        ERR069724
173          2        4        ERR065966
174          2        5        ERR069803
175          2        5        ERR124254
176          2        6        ERR129168
177          2        6        ERR124320
178          2        6        ERR065298
179          2        6        ERR065303
180          2        6        ERR068042
181          2        6        ERR069692
182          2        6        ERR124249
183          2        5        ERR069759
184          2        6        ERR069723
185          2        4        ERR067976
186          2        6        ERR129198
187          2        6        ERR069742
188          2        4        ERR069790
189          2        6        ERR069827
190          2        6        ERR124309
191          2        4        ERR069806
192          2        6        ERR067978
193          2        5        ERR069741
194          2        6        ERR129136
195          2        6        ERR129203
196          2        6        ERR068032
197          2        6        ERR124217
198          2        6        ERR069722
199          2        5        ERR124260
200          2        6        ERR069701
201          2        6        ERR129162
202          2        6        ERR129124
203          2        6        ERR124266
204          2        6        ERR069818
205          2        5        ERR068029
206          2        6        ERR124239
207          2        5        ERR124279
208          2        6        ERR065294
209          2        5        ERR069778
210          2        6        ERR068015
211          2        5        ERR129163
212          2        6        ERR068028
213          2        6        ERR068023
214          2        3        ERR069791
215          2        5        ERR129134
216          2        5        ERR065351
217          2        6        ERR129172
218          2        6        ERR065346
219          2        6        ERR069731
220          2        5        ERR129156
221          2        5        ERR067988
222          2        6        ERR069714
223          2        3        ERR068036
224          1        2        ERR129071
225          2        5        ERR129035
226          2        6        ERR069697
227          2        4        ERR069838
228          2        4        ERR065313
229          2        6        ERR124294
230          2        4        ERR067975
231          2        6        ERR129053
232          2        6        ERR124272
233          2        4        ERR065289
234          2        6        ERR124285
235          2        6        ERR065321
236          1        1        ERR124264
237          2        4        ERR124252
238          2        5        ERR069836
239          2        6        ERR124258
240          2        3        ERR065314
241          2        5        ERR124301
242          2        6        ERR067982
243          2        6        ERR124276
244          2        6        ERR065318
245          2        6        ERR068010
246          2        6        ERR065349
247          2        6        ERR068030
248          2        5        ERR069728
249          2        6        ERR067997
250          2        4        ERR069730
251          2        6        ERR124300
252          2        6        ERR129202
253          2        5        ERR124290
254          2        6        ERR124265
255          2        5        ERR067965
256          2        6        ERR065969
257          2        3        ERR069842
258          2        6        ERR069810
259          2        5        ERR124318
260          2        6        ERR065352
261          2        6        ERR129113
262          2        6        ERR129182
263          2        6        ERR069788
264          2        6        ERR067983
265          2        6        ERR069784
266          2        6        ERR065322
267          2        6        ERR069693
268          2        6        ERR129169
269          2        6        ERR068013
270          2        6        ERR129138
271          2        3        ERR129036
272          2        6        ERR124304
273          2        4        ERR065296
274          2        6        ERR065958
275          2        6        ERR124282
276          2        6        ERR067989
277          2        6        ERR129054
278          2        6        ERR129208
279          2        3        ERR069793
280          2        5        ERR129119
281          2        5        ERR124273
282          2        6        ERR068043
283          2        3        ERR129031
284          2        6        ERR069799
285          2        3        ERR067990
286          2        6        ERR069694
287          2        6        ERR129058
288          1        2        ERR068009
289          2        6        ERR129060
290          2        5        ERR129173
291          2        6        ERR124317
292          2        6        ERR129188
293          2        6        ERR124245
294          2        6        ERR069779
295          2        6        ERR069775
296          2        6        ERR124306
297          2        6        ERR129084
298          2        6        ERR069840
299          2        4        ERR069736
300          2        5        ERR069733
301          2        4        ERR129190
302          2        4        ERR069816
303          2        6        ERR124238
304          2        6        ERR068049
305          2        5        ERR129104
306          2        5        ERR069783
307          2        6        ERR129103
308          2        5        ERR067963
309          2        4        ERR129115
310          2        6        ERR068022
311          2        3        ERR069762
312          2        5        ERR067970
313          2        6        ERR067973
314          2        5        ERR067992
315          2        5        ERR124275
316          2        4        ERR065331
317          2        6        ERR124297
318          2        6        ERR068024
319          2        3        ERR067999
320          2        6        ERR124237
321          2        5        ERR067987
322          2        6        ERR129141
323          2        4        ERR065956
324          2        3        ERR129193
325          2        6        ERR069808
326          2        5        ERR129089
327          2        4        ERR129133
328          2        6        ERR065312
329          2        6        ERR065348
330          2        5        ERR067979
331          2        6        ERR129095
332          2        6        ERR124286
333          2        6        ERR129201
334          2        5        ERR068033
335          2        6        ERR129194
336          2        4        ERR129171
337          2        6        ERR129122
338          2        6        ERR129030
