StrainIndex  Lineage  Cluster  Name
1            3        4        ERR069738
2            2        2        ERR065974
3            3        4        ERR129037
4            3        6        ERR069700
5            1        1        ERR124222
6            3        6        ERR065305
7            3        6        ERR069786
8            3        5        ERR129179
9            3        6        ERR129176
10           3        4        ERR069709
11           3        4        ERR067985
12           3        3        ERR129212
13           3        5        ERR124241
14           3        6        ERR069795
15           3        5        ERR124293
16           3        4        ERR069773
17           3        6        ERR067966
18           3        5        ERR129105
19           3        5        ERR124226
20           3        5        ERR129196
21           3        6        ERR124319
22           3        4        ERR068001
23           3        6        ERR129117
24           3        6        ERR067969
25           3        5        ERR069703
26           3        5        ERR129195
27           3        4        ERR065325
28           3        5        ERR124256
29           3        5        ERR129087
30           3        6        ERR129129
31           3        4        ERR065960
32           3        6        ERR069796
33           1        1        ERR129075
34           3        4        ERR069713
35           2        2        ERR065341
36           3        6        ERR069771
37           3        6        ERR069706
38           3        6        ERR065970
39           2        2        ERR129130
40           3        4        ERR129096
41           3        5        ERR069809
42           3        4        ERR065302
43           3        6        ERR124314
44           3        6        ERR069824
45           3        6        ERR069685
46           3        4        ERR124307
47           3        5        ERR067962
48           3        4        ERR129127
49           3        5        ERR065301
50           3        5        ERR068025
51           3        5        ERR069811
52           3        4        ERR069727
53           3        6        ERR129063
54           3        5        ERR129028
55           3        6        ERR065287
56           3        6        ERR129213
57           3        6        ERR129042
58           3        5        ERR129148
59           3        4        ERR129040
60           3        6        ERR129102
61           3        6        ERR069729
62           3        5        ERR129152
63           3        3        ERR069748
64           3        6        ERR069843
65           3        6        ERR124229
66           3        6        ERR065350
67           3        6        ERR129149
68           3        6        ERR069833
69           3        5        ERR124310
70           3        4        ERR129215
71           3        6        ERR129140
72           3        6        ERR069831
73           3        6        ERR124315
74           3        6        ERR124255
75           3        5        ERR065342
76           3        6        ERR124235
77           3        4        ERR129159
78           3        3        ERR069689
79           3        6        ERR069751
80           3        4        ERR068005
81           3        5        ERR069749
82           3        5        ERR069785
83           3        6        ERR069687
84           3        5        ERR124277
85           3        5        ERR129044
86           3        4        ERR065353
87           3        5        ERR129074
88           3        6        ERR069817
89           3        4        ERR065953
90           3        4        ERR129154
91           3        6        ERR129157
92           3        4        ERR124291
93           3        5        ERR065327
94           3        4        ERR069822
95           3        6        ERR129207
96           3        6        ERR124288
97           3        6        ERR124218
98           3        4        ERR069710
99           3        4        ERR065310
100          3        6        ERR129160
101          3        5        ERR065300
102          3        4        ERR129027
103          3        6        ERR129170
104          3        5        ERR129048
105          2        2        ERR065965
106          3        6        ERR068044
107          3        3        ERR129180
108          3        3        ERR068016
109          3        5        ERR065324
110          3        6        ERR129112
111          3        4        ERR124302
112          3        5        ERR129083
113          3        6        ERR069787
114          3        6        ERR068017
115          3        3        ERR129066
116          3        5        ERR129039
117          3        5        ERR065329
118          3        6        ERR124269
119          3        5        ERR129200
120          3        6        ERR069708
121          3        6        ERR069717
122          3        6        ERR067974
123          3        6        ERR069744
124          3        4        ERR129210
125          3        6        ERR069711
126          3        5        ERR068019
127          3        5        ERR129099
128          3        6        ERR129059
129          3        5        ERR129216
130          3        5        ERR124250
131          3        6        ERR065973
132          3        5        ERR065309
133          3        4        ERR069737
134          3        5        ERR124316
135          3        3        ERR065304
136          3        5        ERR129144
137          3        5        ERR124232
138          3        4        ERR124296
139          3        6        ERR067960
140          3        6        ERR068050
141          3        4        ERR068039
142          3        4        ERR068004
143          3        6        ERR129032
144          3        4        ERR124248
145          3        4        ERR068041
146          3        5        ERR129086
147          3        6        ERR065317
148          3        5        ERR069834
149          1        1        ERR069720
150          3        4        ERR129050
151          3        5        ERR129064
152          3        6        ERR069774
153          3        4        ERR069801
154          3        4        ERR129080
155          3        6        ERR069829
156          3        5        ERR129077
157          3        5        ERR067994
158          3        5        ERR069726
159          3        6        ERR129120
160          3        5        ERR124305
161          3        5        ERR069769
162          3        6        ERR129197
163          3        4        ERR124223
164          3        4        ERR069734
165          3        6        ERR129167
166          3        5        ERR129143
167          3        5        ERR124299
168          3        4        ERR129092
169          3        5        ERR068002
170          3        6        ERR068003
171          3        4        ERR124268
172          3        6        ERR069696
173          3        6        ERR129072
174          3        5        ERR129111
175          3        3        ERR068006
176          3        6        ERR068035
177          3        6        ERR069798
178          2        2        ERR124278
179          3        6        ERR067984
180          3        5        ERR124236
181          3        6        ERR068045
182          3        3        ERR065959
183          3        6        ERR069781
184          3        3        ERR069832
185          3        6        ERR129186
186          3        6        ERR124308
187          3        6        ERR129043
188          3        6        ERR069805
189          3        6        ERR124220
190          3        5        ERR067998
191          3        6        ERR065971
192          3        6        ERR129183
193          3        6        ERR068034
194          3        4        ERR069767
195          3        4        ERR067967
196          3        6        ERR069691
197          3        3        ERR069716
198          3        6        ERR129153
199          3        4        ERR129131
200          3        6        ERR069772
201          3        6        ERR124281
202          3        3        ERR069750
203          3        6        ERR124227
204          3        5        ERR124253
205          3        5        ERR069803
206          3        6        ERR124267
207          3        5        ERR124254
208          3        6        ERR129168
209          3        5        ERR124320
210          3        5        ERR065298
211          3        4        ERR069804
212          3        6        ERR065303
213          3        5        ERR065957
214          3        5        ERR069692
215          3        4        ERR069759
216          3        6        ERR129081
217          3        4        ERR069827
218          3        6        ERR129142
219          3        6        ERR069806
220          3        4        ERR129068
221          3        4        ERR069741
222          3        5        ERR129136
223          3        6        ERR129062
224          3        5        ERR129203
225          3        5        ERR065316
226          3        5        ERR124217
227          3        3        ERR067991
228          3        6        ERR124284
229          3        4        ERR129079
230          3        6        ERR069722
231          3        4        ERR124260
232          3        3        ERR069701
233          3        6        ERR129162
234          3        4        ERR129124
235          3        4        ERR124246
236          3        4        ERR065299
237          3        6        ERR124233
238          3        5        ERR124266
239          3        5        ERR069818
240          3        5        ERR068029
241          3        5        ERR124279
242          3        6        ERR129175
243          3        4        ERR129139
244          3        4        ERR068015
245          3        6        ERR129128
246          3        5        ERR129163
247          3        6        ERR068023
248          3        6        ERR069791
249          3        6        ERR124263
250          3        6        ERR069704
251          3        5        ERR129134
252          3        6        ERR129025
253          3        5        ERR065351
254          3        6        ERR129209
255          3        6        ERR069761
256          3        6        ERR129034
257          3        6        ERR129172
258          3        4        ERR124240
259          3        5        ERR065315
260          3        6        ERR069731
261          3        6        ERR069828
262          3        4        ERR129156
263          3        5        ERR067988
264          3        5        ERR069714
265          3        6        ERR068036
266          3        6        ERR129071
267          3        5        ERR129035
268          3        3        ERR129038
269          3        6        ERR124294
270          3        6        ERR067975
271          3        6        ERR129046
272          3        5        ERR129053
273          2        2        ERR065289
274          3        6        ERR124225
275          3        4        ERR065321
276          3        6        ERR068011
277          3        5        ERR124264
278          3        4        ERR069707
279          3        5        ERR124252
280          3        4        ERR069836
281          3        4        ERR068047
282          3        6        ERR065288
283          3        6        ERR124258
284          3        6        ERR065314
285          3        5        ERR124301
286          3        6        ERR129118
287          3        5        ERR068010
288          3        6        ERR065349
289          3        6        ERR068030
290          3        5        ERR069728
291          3        5        ERR067997
292          3        6        ERR065291
293          3        6        ERR069730
294          3        6        ERR069763
295          3        5        ERR129202
296          3        5        ERR124290
297          3        4        ERR129178
298          3        6        ERR129121
299          3        4        ERR067968
300          3        5        ERR069739
301          3        5        ERR069766
302          3        6        ERR129123
303          3        4        ERR067965
304          3        6        ERR065969
305          3        6        ERR069842
306          3        6        ERR129174
307          3        4        ERR129177
308          3        6        ERR065352
309          3        4        ERR069839
310          3        5        ERR129182
311          3        4        ERR069788
312          3        3        ERR067983
313          3        4        ERR069784
314          3        6        ERR065347
315          3        6        ERR069693
316          3        5        ERR129169
317          3        6        ERR124242
318          3        5        ERR129138
319          3        6        ERR065337
320          3        4        ERR129137
321          3        6        ERR129036
322          2        2        ERR065296
323          3        6        ERR065958
324          3        3        ERR067989
325          3        6        ERR129078
326          3        6        ERR069747
327          3        6        ERR124251
328          3        5        ERR129110
329          3        6        ERR065975
330          3        6        ERR069699
331          3        4        ERR069702
332          3        6        ERR069793
333          3        5        ERR129119
334          3        6        ERR124234
335          3        5        ERR124273
336          3        6        ERR068038
337          3        4        ERR068043
338          3        4        ERR065964
339          3        6        ERR129125
340          3        6        ERR069705
341          3        6        ERR065328
342          3        6        ERR129031
343          3        6        ERR129049
344          3        5        ERR069799
345          3        6        ERR067990
346          3        6        ERR124303
347          3        5        ERR129173
348          3        6        ERR124313
349          3        6        ERR069758
350          3        5        ERR124317
351          3        4        ERR129188
352          3        6        ERR124280
353          3        6        ERR069779
354          3        6        ERR129033
355          3        4        ERR069775
356          3        4        ERR068000
357          3        6        ERR069684
358          3        6        ERR124306
359          3        5        ERR069733
360          3        6        ERR129190
361          3        5        ERR069797
362          3        5        ERR069757
363          3        6        ERR069816
364          3        6        ERR069753
365          3        6        ERR069776
366          3        5        ERR129104
367          3        4        ERR069783
368          3        5        ERR129103
369          3        5        ERR069695
370          3        5        ERR067963
371          3        4        ERR129115
372          3        6        ERR068022
373          3        3        ERR124230
374          3        6        ERR069762
375          3        5        ERR067970
376          3        6        ERR069794
377          3        6        ERR124295
378          3        5        ERR069821
379          3        5        ERR067992
380          3        6        ERR065340
381          3        6        ERR065963
382          3        5        ERR129145
383          3        5        ERR124275
384          3        6        ERR124297
385          3        6        ERR068024
386          3        6        ERR067999
387          3        6        ERR065323
388          3        6        ERR065319
389          3        6        ERR065956
390          3        4        ERR129093
391          3        4        ERR069808
392          3        5        ERR129089
393          3        6        ERR065312
394          3        4        ERR067979
395          3        6        ERR124286
396          3        4        ERR129211
397          3        5        ERR129201
398          3        5        ERR068033
399          3        6        ERR124270
400          3        4        ERR124298
401          3        5        ERR129194
402          3        5        ERR129030
