Donor_Group	Recip_Group	Frag_Length	Gene	Recipient_strains
3	16g	28	group_2348	ERR069742
15	9	471	yycB	ERR069694
12	12	110	parC	ERR067993,ERR069803,ERR069841
3	4	24	thyA	ERR069738,ERR068037,ERR129096,ERR069686,ERR069688,ERR124307,ERR129204,ERR067996,ERR065343,ERR067995,ERR124248,ERR065338,ERR069767,ERR124260,ERR069778,ERR129156,ERR069836,ERR067965,ERR124318,ERR069783,ERR067987
3	16c	24	thyA	ERR065325,ERR065960,ERR068014,ERR129094,ERR069737,ERR129050,ERR129206,ERR129045,ERR065299,ERR068009,ERR069808,ERR129095
3	11	24	thyA	ERR129179,ERR124241,ERR124293,ERR069703,ERR129087,ERR067962,ERR129148,ERR069749,ERR124277,ERR129074,ERR065300,ERR065324,ERR065329,ERR129200,ERR068019,ERR129099,ERR124250,ERR124316,ERR129086,ERR069834,ERR069726,ERR129143,ERR124299,ERR068002,ERR124236,ERR068029,ERR124279,ERR129163,ERR065351,ERR067988,ERR129035,ERR124301,ERR069728,ERR124290,ERR129119,ERR124273,ERR129173,ERR069733,ERR129104,ERR067963,ERR067970,ERR067992,ERR124275,ERR129089,ERR068033
16g	10	59	modC	ERR069766
16g	16g	59	modC	ERR068016,ERR129066,ERR065304,ERR065959,ERR067991,ERR129038,ERR124230
16g	16h	59	modC	ERR124252,ERR067982
1	16d	13	group_1753	ERR069735,ERR069819,ERR065295,ERR069813,ERR065957,ERR069838
1	16d	95	group_1753	ERR065957
11	12	53	argS	ERR067993,ERR069803,ERR069841
11	16c	53	argS	ERR069820,ERR129084
11	11	53	argS	ERR129086,ERR065351
11	6	53	argS	ERR124319,ERR069685,ERR124288,ERR069798,ERR065971,ERR129168,ERR129172,ERR124294,ERR065969,ERR069693,ERR069779,ERR124297,ERR124286
11	9	53	argS	ERR129107,ERR129155,ERR069802,ERR129147,ERR065345,ERR067967,ERR129161,ERR068015,ERR065346,ERR129208,ERR069694,ERR124245,ERR124238,ERR065348,ERR129122,ERR129100
7	16h	77	potB	ERR069785,ERR069797,ERR069821
7	16c	77	potB	ERR069773,ERR065302,ERR129040,ERR068039,ERR129124,ERR065321,ERR129188,ERR129056,ERR069775
7	10	77	potB	ERR068025,ERR069811,ERR129152,ERR065327,ERR129039,ERR124232,ERR067994,ERR124254,ERR065298,ERR129203,ERR124264,ERR067997,ERR069766,ERR129169,ERR124317
11	16c	60	gltX	ERR069764,ERR068014,ERR129094,ERR069792,ERR068031,ERR065354,ERR069737,ERR129206,ERR129045,ERR069692,ERR069723,ERR069722,ERR069697,ERR065349,ERR069810,ERR068009,ERR068022,ERR069808,ERR129095
11	16a	60	gltX	ERR129212,ERR069748,ERR069689,ERR129180,ERR068006,ERR069832,ERR069716,ERR069750,ERR069701,ERR067983,ERR067989
1	7	562	trpE	ERR124228,ERR067961,ERR124292,ERR124312,ERR069718,ERR124224,ERR124243,ERR124276,ERR129067,ERR129073
16c	16a	86	trpE	ERR069814,ERR068007,ERR124257,ERR069789
1	9	562	trpE	ERR124287,ERR129146
1	16c	562	trpE	ERR129044,ERR069820,ERR129084,ERR129194
12	16c	270	trpE	ERR129044,ERR129084,ERR129194
16c	2	86	trpE	ERR129037,ERR067985,ERR065326,ERR069713,ERR129127,ERR069727,ERR069752,ERR129214,ERR068046,ERR129215,ERR129159,ERR129154,ERR068040,ERR067986,ERR124291,ERR069822,ERR065310,ERR124302,ERR129210,ERR124296,ERR068041,ERR069801
12	16b	270	trpE	ERR129028,ERR069824,ERR069729
16c	16c	1153	group_1199	ERR065325
4	11	811	group_1199	ERR124250
9	13	1016	group_1199	ERR129092
4	16b	811	group_1199	ERR129202,ERR069824,ERR129202
16b	16c	54	group_1199	ERR065354
12	13	69	group_1199	ERR129092
12	15	123	group_1199	ERR067999
4	8	811	group_1199	ERR065328,ERR069805
12	10	291	group_1199	ERR124254
4	6	811	group_1199	ERR129043
16b	1	597	group_1199	ERR069690
4	16c	811	group_1199	ERR068031
4	16d	811	group_1199	ERR069735
9	1	1016	group_1199	ERR124256
12	1	69	group_1199	ERR124256
16b	8	597	group_1199	ERR129120
4	2	811	group_1199	ERR065326
16c	13	1153	group_1199	ERR129092
9	8	123	group_542	ERR069771,ERR129170,ERR069805,ERR129209
9	2	123	group_542	ERR068046
8	1	203	manA	ERR069823,ERR067964,ERR069835,ERR069746,ERR069812,ERR065292,ERR065967,ERR065344,ERR065962,ERR069755,ERR069765,ERR124231,ERR069732,ERR065330,ERR069719,ERR069770,ERR069721,ERR069740
15	1	204	manA	ERR129164,ERR129088,ERR067981
15	16c	204	manA	ERR124218,ERR124258,ERR124306,ERR065312
4	16b	59	manA	ERR129151,ERR069815
4	16g	29	manA	ERR124244
4	16b	29	manA	ERR129151,ERR069815
4	16g	59	manA	ERR124244
15	6	204	manA	ERR124319
12	16g	236	csbB	ERR068016,ERR129066,ERR065304,ERR065959,ERR069742,ERR067991,ERR065294,ERR129038,ERR065352,ERR124230
12	16b	236	csbB	ERR129151,ERR069815
12	8	236	csbB	ERR065972,ERR124315,ERR129046,ERR129033
12	1	236	csbB	ERR069823,ERR069712,ERR129164,ERR067964,ERR069835,ERR129088,ERR067981,ERR129051,ERR069746,ERR065968,ERR129158,ERR069812,ERR068012,ERR129132,ERR065292,ERR069690,ERR068018,ERR069768,ERR065967,ERR129090,ERR065344,ERR068020,ERR067977,ERR069715,ERR069683,ERR065962,ERR069755,ERR124285,ERR129126,ERR124265,ERR069765,ERR129113,ERR068013,ERR124231,ERR124304,ERR124282,ERR069732,ERR129058,ERR065330,ERR069719,ERR069770,ERR069721,ERR129199,ERR069740,ERR124237
12	16d	236	csbB	ERR069735,ERR069819,ERR065295,ERR069782,ERR069813,ERR069838
12	16c	236	csbB	ERR069773,ERR065302,ERR129040,ERR068039,ERR129124,ERR065321,ERR129110,ERR129188,ERR129056,ERR069775
12	14	236	csbB	ERR069825
12	6	236	csbB	ERR069786,ERR129176,ERR124319,ERR129117,ERR069685,ERR129213,ERR129042,ERR124235,ERR129157,ERR124288,ERR069708,ERR129167,ERR069798,ERR124308,ERR129043,ERR065971,ERR124227,ERR129168,ERR065303,ERR068023,ERR129172,ERR124294,ERR068030,ERR065969,ERR069693,ERR069779,ERR124297,ERR124286
12	5	236	csbB	ERR129105,ERR129196,ERR129195,ERR065301,ERR065342,ERR129144,ERR129077,ERR067998,ERR124320,ERR069818,ERR069714,ERR129053,ERR068010,ERR129182,ERR069799
12	16f	236	csbB	ERR069840
12	9	236	csbB	ERR129065,ERR129029,ERR069826,ERR129107,ERR129155,ERR129052,ERR069780,ERR068027,ERR069802,ERR129106,ERR129116,ERR069830,ERR129147,ERR124219,ERR065345,ERR069800,ERR065311,ERR129161,ERR065966,ERR069790,ERR065355,ERR069777,ERR069807,ERR065346,ERR065306,ERR069743,ERR067980,ERR065955,ERR065322,ERR129208,ERR069694,ERR124245,ERR129192,ERR069736,ERR065339,ERR124238,ERR067973,ERR065331,ERR129141,ERR065348,ERR129171,ERR129122,ERR129100
12	13	236	csbB	ERR069709,ERR068001,ERR068005,ERR065353,ERR065953,ERR069710,ERR129027,ERR068004,ERR124223,ERR069734,ERR129092,ERR069759,ERR069827,ERR069741,ERR069788,ERR069784,ERR068043,ERR129115,ERR067979
12	10	236	csbB	ERR067994
12	16a	236	csbB	ERR129212,ERR069748,ERR069689,ERR129180,ERR068006,ERR069832,ERR069716,ERR069750,ERR069701,ERR067983,ERR067989
9	1	54	group_3569	ERR124285
16b	7	208	group_449	ERR124228,ERR067961,ERR124292,ERR124312,ERR069718,ERR124224,ERR124243,ERR124276,ERR129067,ERR129073
16c	6	225	group_3522	ERR069786
12	16c	353	group_724	ERR129110
16g	16c	58	group_724	ERR129110
16g	12	28	group_724	ERR069841
16g	16f	170	group_724	ERR124226,ERR129064,ERR069769
12	13	609	alaS	ERR069709,ERR068001,ERR065353,ERR069710,ERR068004,ERR069734,ERR129092,ERR069827,ERR069788,ERR069784,ERR068043
