StrainIndex  Lineage  Cluster  Name
1            1        2        ERR065974
2            5        6        ERR129037
3            4        7        ERR124222
4            4        7        ERR069786
5            4        7        ERR129179
6            5        4        ERR069709
7            5        6        ERR067985
8            5        6        ERR129212
9            5        4        ERR068037
10           4        7        ERR124241
11           5        8        ERR069795
12           4        7        ERR124293
13           3        5        ERR069773
14           5        8        ERR069823
15           5        4        ERR068001
16           5        8        ERR068008
17           4        7        ERR069703
18           4        7        ERR065325
19           5        8        ERR124256
20           4        7        ERR129087
21           3        1        ERR069819
22           5        8        ERR129129
23           4        7        ERR065960
24           5        8        ERR069796
25           5        6        ERR065326
26           3        5        ERR124244
27           4        7        ERR129075
28           5        6        ERR069713
29           1        2        ERR065341
30           5        8        ERR069771
31           4        7        ERR069706
32           5        8        ERR065970
33           1        2        ERR129130
34           5        4        ERR129096
35           3        5        ERR129107
36           5        8        ERR069809
37           3        5        ERR065302
38           5        4        ERR069686
39           5        8        ERR065972
40           5        8        ERR129164
41           5        4        ERR069688
42           4        7        ERR069685
43           5        4        ERR124307
44           4        7        ERR067962
45           5        6        ERR129127
46           5        8        ERR067964
47           5        6        ERR069727
48           5        8        ERR129063
49           4        7        ERR129028
50           5        8        ERR065287
51           5        6        ERR129155
52           4        7        ERR129148
53           3        5        ERR129040
54           5        8        ERR069835
55           5        6        ERR069748
56           4        7        ERR069843
57           5        8        ERR124229
58           5        8        ERR129088
59           5        6        ERR069752
60           5        8        ERR065350
61           5        8        ERR129149
62           5        6        ERR129214
63           5        8        ERR069833
64           5        6        ERR068046
65           5        6        ERR129215
66           5        8        ERR129140
67           5        8        ERR069831
68           5        8        ERR124315
69           5        4        ERR129204
70           5        6        ERR069689
71           5        8        ERR069751
72           2        3        ERR068005
73           4        7        ERR069749
74           5        8        ERR067981
75           5        4        ERR067996
76           2        3        ERR069785
77           3        5        ERR069792
78           5        8        ERR069687
79           4        7        ERR124277
80           5        6        ERR129044
81           4        7        ERR129074
82           5        8        ERR069817
83           5        4        ERR065953
84           5        6        ERR129154
85           5        6        ERR068040
86           5        6        ERR124311
87           5        8        ERR069746
88           3        5        ERR068031
89           5        6        ERR067986
90           5        6        ERR124291
91           5        6        ERR069822
92           5        8        ERR129207
93           5        4        ERR069710
94           5        6        ERR065310
95           5        8        ERR129160
96           4        7        ERR065300
97           5        4        ERR065343
98           5        6        ERR069802
99           5        8        ERR129170
100          1        2        ERR065965
101          5        6        ERR129180
102          4        7        ERR065324
103          5        8        ERR129112
104          5        8        ERR129158
105          5        8        ERR069812
106          5        6        ERR124302
107          4        7        ERR129083
108          3        5        ERR065354
109          5        8        ERR068017
110          4        7        ERR065329
111          5        8        ERR124269
112          4        7        ERR129200
113          3        5        ERR067995
114          5        8        ERR068012
115          1        2        ERR067993
116          5        8        ERR069717
117          5        8        ERR067974
118          5        6        ERR129210
119          5        8        ERR129108
120          5        8        ERR069711
121          4        7        ERR068019
122          4        7        ERR129099
123          5        8        ERR129059
124          5        8        ERR065292
125          2        3        ERR069820
126          4        7        ERR129216
127          4        7        ERR124250
128          4        7        ERR065973
129          4        7        ERR124316
130          5        6        ERR124296
131          5        8        ERR067960
132          5        8        ERR068050
133          3        5        ERR068039
134          5        8        ERR129032
135          5        4        ERR124248
136          5        6        ERR068041
137          4        7        ERR129086
138          4        7        ERR069834
139          4        7        ERR069720
140          4        7        ERR129050
141          2        3        ERR129064
142          5        8        ERR069774
143          5        6        ERR069801
144          5        6        ERR129080
145          5        6        ERR129147
146          5        8        ERR069829
147          4        7        ERR069726
148          3        5        ERR065338
149          5        6        ERR065345
150          3        1        ERR065295
151          5        8        ERR129197
152          5        8        ERR065967
153          2        3        ERR124223
154          5        4        ERR069734
155          4        7        ERR129143
156          4        7        ERR124299
157          5        4        ERR129092
158          4        7        ERR068002
159          4        7        ERR068003
160          5        6        ERR124268
161          3        1        ERR129181
162          5        8        ERR069696
163          5        8        ERR129072
164          5        8        ERR065344
165          5        6        ERR068006
166          4        7        ERR068035
167          4        7        ERR069798
168          1        2        ERR124278
169          5        6        ERR069760
170          5        8        ERR067984
171          3        5        ERR069782
172          4        7        ERR124236
173          5        8        ERR068045
174          4        7        ERR129045
175          5        8        ERR069781
176          5        6        ERR069832
177          5        8        ERR129186
178          5        8        ERR069805
179          5        8        ERR124220
180          4        7        ERR065971
181          5        8        ERR068034
182          5        4        ERR069767
183          5        6        ERR067967
184          5        8        ERR069691
185          3        5        ERR129161
186          5        6        ERR069716
187          5        8        ERR129153
188          5        6        ERR129057
189          5        6        ERR069750
190          5        8        ERR069683
191          3        1        ERR069813
192          5        6        ERR124253
193          1        2        ERR069803
194          5        8        ERR124267
195          4        7        ERR129168
196          5        6        ERR069804
197          5        6        ERR065957
198          3        5        ERR069692
199          2        3        ERR069759
200          3        5        ERR069723
201          5        8        ERR065962
202          5        8        ERR069745
203          5        6        ERR129081
204          5        6        ERR069742
205          5        4        ERR069827
206          5        6        ERR129068
207          2        3        ERR069741
208          4        7        ERR129136
209          4        7        ERR129062
210          5        8        ERR124284
211          5        6        ERR129079
212          5        6        ERR069701
213          5        6        ERR129162
214          3        5        ERR129124
215          5        6        ERR124246
216          4        7        ERR065299
217          4        7        ERR124233
218          4        7        ERR068029
219          4        7        ERR124279
220          5        8        ERR129175
221          5        6        ERR065294
222          5        6        ERR129139
223          5        4        ERR069778
224          5        6        ERR068015
225          4        7        ERR129163
226          3        5        ERR069777
227          4        7        ERR069791
228          5        8        ERR124263
229          5        8        ERR069704
230          4        7        ERR129134
231          5        8        ERR129025
232          4        7        ERR065351
233          5        8        ERR129209
234          5        8        ERR069761
235          5        8        ERR129034
236          4        7        ERR129172
237          5        6        ERR124240
238          5        4        ERR065315
239          5        6        ERR065346
240          5        8        ERR069731
241          5        8        ERR069828
