StrainIndex  Lineage  Cluster  Name
1            3        4        ERR069709
2            3        4        ERR068001
3            2        3        ERR069764
4            2        3        ERR124256
5            2        3        ERR069809
6            2        3        ERR129187
7            2        3        ERR068048
8            2        2        ERR065350
9            2        3        ERR068014
10           2        3        ERR129094
11           3        4        ERR068005
12           2        3        ERR129044
13           3        4        ERR065353
14           3        4        ERR065953
15           3        4        ERR069710
16           3        4        ERR129027
17           2        3        ERR069737
18           3        4        ERR068004
19           2        3        ERR129206
20           3        4        ERR124223
21           3        4        ERR069734
22           3        4        ERR129092
23           2        3        ERR129045
24           3        4        ERR069759
25           3        4        ERR069827
26           3        4        ERR069741
27           2        2        ERR069731
28           3        4        ERR069788
29           3        4        ERR069784
30           2        2        ERR065347
31           3        4        ERR068043
32           3        4        ERR129115
33           1        1        ERR069808
34           2        3        ERR129047
35           3        4        ERR067979
36           2        3        ERR129095
37           2        3        ERR129201
38           2        3        ERR129194
