StrainIndex  Lineage  Cluster  Name
1            1        1        ERR129037
2            1        1        ERR067985
3            1        1        ERR069814
4            1        1        ERR068007
5            1        1        ERR065326
6            1        1        ERR069713
7            1        1        ERR124257
8            1        1        ERR129127
9            1        1        ERR069727
10           1        1        ERR065332
11           1        1        ERR069752
12           1        1        ERR129214
13           1        1        ERR068046
14           1        1        ERR129215
15           1        1        ERR129159
16           1        1        ERR129154
17           1        1        ERR069725
18           1        1        ERR068040
19           1        1        ERR067986
20           1        1        ERR124291
21           1        1        ERR069822
22           1        1        ERR129026
23           1        1        ERR065310
24           1        1        ERR069789
25           1        1        ERR069698
26           1        1        ERR124302
27           1        1        ERR124274
28           1        1        ERR129210
29           1        1        ERR124283
30           1        1        ERR065293
31           1        1        ERR124296
32           1        1        ERR068041
33           1        1        ERR069801
34           1        1        ERR124221
35           1        1        ERR129080
36           1        1        ERR068026
37           1        1        ERR065297
38           1        1        ERR129061
39           1        1        ERR124268
40           1        1        ERR129181
41           1        1        ERR069760
42           1        1        ERR065320
43           1        1        ERR068021
44           1        1        ERR129131
45           1        1        ERR069724
46           1        1        ERR069804
47           1        1        ERR068042
48           1        1        ERR124249
49           1        1        ERR129198
50           1        1        ERR129068
51           1        1        ERR067978
52           1        1        ERR068032
53           1        1        ERR129079
54           1        1        ERR124246
55           1        1        ERR124239
56           1        1        ERR129139
57           1        1        ERR068028
58           1        1        ERR124240
59           1        1        ERR124272
60           1        1        ERR069707
61           1        1        ERR068047
62           1        1        ERR124300
63           1        1        ERR129178
64           1        1        ERR067968
65           1        1        ERR129185
66           1        1        ERR129177
67           1        1        ERR069839
68           1        1        ERR124242
69           1        1        ERR129137
70           1        1        ERR065308
71           1        1        ERR129054
72           1        1        ERR065964
73           1        1        ERR129060
74           1        1        ERR069837
75           1        1        ERR068000
76           1        1        ERR068049
77           1        1        ERR067972
78           1        1        ERR129093
79           1        1        ERR129211
80           1        1        ERR124298
