RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
2838      6703      2               1                186.2     
1026      2837      5               2                53.7      
2838      3262      4               2                61.0      
3263      3300      3               2                5.9       
3301      3415      4               2                23.6      
3416      3575      5               2                9.7       
5597      5828      5               2                14.9      
1         2837      5               3                108.3     
3263      3575      5               3                18.7      
3819      4903      5               3                51.2      
2405      2519      5               4                2.6       
4601      6703      5               4                36.3      
