StrainIndex  Lineage  Cluster  Name
1            4        7        ERR065974
2            3        5        ERR129037
3            4        7        ERR069700
4            4        7        ERR124247
5            3        4        ERR124222
6            3        6        ERR065305
7            4        7        ERR069786
8            4        7        ERR129179
9            4        7        ERR129176
10           2        2        ERR069709
11           3        5        ERR067985
12           4        7        ERR129212
13           3        4        ERR068037
14           4        7        ERR124241
15           3        6        ERR069795
16           4        7        ERR124293
17           4        7        ERR069735
18           4        3        ERR069773
19           4        7        ERR067966
20           3        6        ERR129105
21           4        7        ERR124226
22           3        6        ERR129196
23           4        7        ERR069823
24           4        7        ERR124319
25           2        2        ERR068001
26           4        7        ERR129117
27           4        7        ERR069764
28           3        6        ERR068008
29           4        7        ERR067969
30           3        6        ERR129195
31           4        7        ERR065325
32           3        4        ERR124256
33           1        1        ERR129087
34           4        7        ERR069819
35           3        6        ERR129129
36           4        7        ERR065960
37           3        6        ERR069796
38           3        5        ERR065326
39           4        7        ERR069712
40           3        4        ERR129075
41           3        5        ERR069713
42           4        7        ERR065341
43           3        6        ERR069771
44           3        4        ERR069706
45           3        6        ERR065970
46           4        7        ERR129130
47           3        4        ERR069809
48           4        3        ERR065302
49           3        4        ERR129187
50           4        7        ERR124314
51           3        4        ERR068048
52           3        6        ERR065972
53           4        7        ERR129164
54           3        4        ERR069688
55           4        7        ERR069685
56           4        7        ERR067962
57           3        5        ERR129127
58           3        6        ERR065301
59           4        7        ERR068025
60           4        7        ERR067964
61           4        7        ERR069811
62           3        5        ERR069727
63           3        6        ERR129063
64           3        5        ERR065332
65           4        3        ERR129028
66           3        6        ERR065287
67           4        7        ERR129213
68           4        7        ERR129042
69           4        7        ERR129148
70           4        3        ERR129040
71           4        7        ERR069835
72           4        7        ERR129102
73           4        7        ERR069729
74           4        7        ERR129152
75           4        7        ERR069748
76           3        4        ERR069843
77           3        6        ERR124229
78           4        7        ERR129088
79           3        5        ERR069752
80           3        4        ERR065350
81           3        6        ERR129149
82           3        5        ERR129214
83           3        6        ERR069833
84           4        7        ERR124310
85           3        5        ERR068046
86           3        5        ERR129215
87           3        6        ERR129140
88           3        6        ERR069831
89           3        4        ERR124255
90           3        6        ERR065342
91           3        4        ERR124235
92           3        5        ERR129159
93           3        4        ERR129094
94           4        7        ERR069689
95           3        6        ERR069751
96           2        2        ERR068005
97           4        7        ERR069749
98           4        7        ERR067981
99           3        4        ERR067996
100          3        6        ERR069785
101          4        7        ERR069792
102          4        7        ERR124271
103          3        6        ERR069687
104          4        7        ERR124277
105          4        7        ERR129044
106          2        2        ERR065353
107          4        7        ERR129074
108          3        6        ERR069817
109          3        5        ERR129154
110          3        5        ERR069725
111          3        5        ERR068040
112          4        7        ERR129051
113          4        7        ERR129157
114          4        7        ERR069746
115          4        7        ERR068031
116          3        5        ERR067986
117          3        5        ERR124291
118          4        7        ERR069780
119          4        7        ERR065327
120          3        5        ERR069822
121          3        6        ERR129207
122          4        7        ERR124288
123          3        5        ERR129026
124          3        4        ERR124218
125          4        7        ERR068027
126          2        2        ERR069710
127          3        5        ERR065310
128          3        6        ERR129160
129          4        7        ERR065300
130          3        4        ERR065343
131          2        2        ERR129027
132          3        6        ERR129170
133          4        7        ERR129048
134          4        7        ERR065968
135          4        7        ERR065965
136          3        4        ERR068044
137          4        7        ERR129180
138          3        5        ERR068016
139          4        7        ERR065324
140          3        6        ERR129112
141          4        7        ERR129158
142          3        5        ERR069698
143          4        7        ERR069812
144          3        5        ERR124302
145          4        3        ERR129083
146          4        7        ERR065354
147          4        7        ERR069787
148          3        6        ERR068017
149          4        7        ERR129039
150          4        7        ERR065329
151          3        6        ERR124269
152          4        7        ERR129200
153          4        7        ERR068012
154          3        5        ERR124274
155          4        7        ERR069708
156          4        7        ERR129106
157          3        6        ERR069717
158          3        6        ERR067974
159          4        7        ERR069744
160          3        5        ERR129210
161          3        6        ERR129108
162          4        7        ERR129132
163          3        6        ERR069711
164          4        7        ERR068019
165          4        7        ERR129099
166          3        6        ERR129059
167          4        7        ERR065292
168          3        4        ERR069820
169          4        3        ERR129216
170          4        7        ERR129116
171          4        7        ERR124250
172          4        7        ERR069690
173          3        4        ERR065973
174          4        7        ERR065309
175          3        5        ERR124283
176          3        5        ERR065293
177          4        7        ERR069825
178          4        7        ERR124316
179          3        5        ERR065304
180          3        6        ERR129144
181          4        7        ERR124232
182          4        7        ERR068018
183          3        5        ERR124296
184          3        6        ERR067960
185          3        6        ERR068050
186          4        3        ERR068039
187          2        2        ERR068004
188          3        6        ERR129032
189          3        5        ERR068041
190          4        7        ERR129086
191          3        6        ERR065317
192          4        7        ERR069834
193          3        4        ERR069720
194          4        7        ERR129050
195          4        7        ERR129064
196          3        6        ERR069774
197          3        4        ERR129206
198          3        5        ERR069801
199          3        5        ERR124221
200          3        5        ERR129080
201          3        5        ERR068026
202          3        6        ERR069829
203          3        6        ERR129077
204          4        7        ERR067994
205          4        7        ERR069726
206          4        7        ERR129041
207          3        5        ERR065297
208          3        6        ERR129120
209          3        5        ERR129061
210          4        7        ERR124305
211          4        7        ERR069769
212          4        7        ERR065295
213          4        7        ERR069768
214          3        6        ERR129197
215          4        7        ERR065967
216          2        2        ERR124223
217          2        2        ERR069734
218          4        7        ERR129167
219          4        7        ERR129143
220          4        7        ERR124299
221          4        7        ERR129090
222          4        7        ERR068002
223          3        4        ERR068003
224          3        5        ERR124268
225          4        7        ERR129181
226          3        6        ERR069696
227          3        6        ERR129072
228          4        7        ERR065344
229          4        7        ERR129111
230          4        7        ERR068006
231          3        4        ERR068035
232          4        7        ERR069798
233          4        7        ERR124278
234          3        5        ERR069760
235          3        6        ERR067984
236          4        7        ERR069782
237          4        7        ERR124236
238          3        6        ERR068045
239          3        5        ERR065959
240          3        6        ERR069781
241          4        7        ERR069832
242          3        5        ERR065320
243          3        6        ERR129186
244          4        7        ERR124308
245          4        7        ERR129043
246          3        6        ERR069805
247          3        6        ERR124220
248          4        7        ERR069800
249          3        6        ERR067998
250          4        7        ERR065971
251          3        6        ERR129183
252          3        6        ERR068034
253          4        7        ERR065311
254          4        7        ERR068020
255          3        6        ERR069691
256          4        7        ERR129161
257          4        7        ERR069716
258          4        7        ERR124289
259          3        6        ERR129153
260          4        7        ERR067977
261          3        5        ERR129131
262          4        7        ERR069772
263          3        6        ERR124281
264          4        7        ERR069750
265          4        7        ERR069715
266          4        7        ERR124227
267          4        7        ERR069683
268          4        7        ERR069813
269          4        7        ERR124253
270          3        5        ERR069724
271          4        7        ERR069803
272          3        6        ERR124267
273          4        7        ERR124254
274          4        7        ERR129168
275          3        6        ERR124320
276          4        7        ERR065298
277          3        5        ERR069804
278          4        7        ERR065303
279          4        7        ERR065957
280          3        5        ERR068042
281          4        7        ERR069692
282          3        5        ERR124249
283          4        7        ERR069723
284          4        7        ERR065962
285          3        6        ERR069745
286          3        6        ERR129081
287          3        5        ERR129198
288          4        7        ERR069742
289          2        2        ERR069827
290          3        6        ERR129142
291          4        7        ERR124309
292          4        7        ERR069806
293          3        5        ERR129068
294          3        5        ERR067978
295          4        3        ERR129136
296          3        4        ERR129062
297          4        7        ERR129203
298          3        5        ERR068032
299          4        7        ERR065316
300          4        7        ERR124217
301          3        5        ERR067991
302          3        6        ERR124284
303          3        5        ERR129079
304          3        4        ERR069722
305          4        7        ERR069701
306          3        6        ERR129162
307          4        3        ERR129124
308          3        5        ERR124246
309          4        7        ERR065299
310          4        7        ERR129184
311          3        4        ERR124233
312          4        7        ERR124266
313          3        6        ERR069818
314          3        5        ERR124239
315          4        7        ERR124279
316          3        6        ERR129175
317          4        7        ERR065294
318          3        5        ERR129139
319          3        4        ERR069778
320          4        7        ERR129128
321          4        7        ERR129163
322          3        5        ERR068028
323          4        7        ERR068023
324          4        7        ERR069777
325          3        4        ERR069791
326          3        6        ERR124263
327          3        6        ERR069704
328          4        7        ERR129134
329          3        6        ERR129025
330          4        7        ERR065351
331          3        6        ERR129209
332          3        6        ERR069761
333          3        6        ERR129034
334          4        7        ERR129172
335          3        5        ERR124240
336          4        7        ERR065315
337          3        4        ERR069731
