StrainIndex  Lineage  Cluster  Name
1            3        7        ERR069738
2            1        1        ERR065974
3            3        2        ERR129065
4            2        4        ERR129037
5            3        7        ERR069700
6            2        3        ERR124247
7            2        6        ERR124222
8            3        5        ERR065305
9            2        6        ERR069786
10           3        7        ERR129179
11           2        3        ERR129176
12           3        7        ERR069709
13           2        4        ERR067985
14           2        6        ERR129212
15           3        7        ERR068037
16           2        4        ERR069814
17           3        7        ERR124241
18           3        5        ERR069795
19           3        7        ERR124293
20           2        6        ERR069735
21           2        6        ERR069773
22           3        7        ERR067966
23           3        2        ERR129029
24           3        7        ERR129105
25           3        7        ERR124226
26           3        7        ERR129196
27           2        6        ERR069823
28           3        7        ERR124319
29           3        7        ERR068001
30           2        3        ERR129117
31           2        6        ERR069764
32           2        4        ERR068007
33           3        5        ERR068008
34           3        7        ERR067969
35           3        7        ERR069703
36           3        7        ERR129195
37           2        6        ERR065325
38           3        7        ERR124256
39           3        7        ERR129087
40           2        6        ERR069819
41           3        5        ERR129129
42           2        6        ERR065960
43           3        5        ERR069796
44           2        4        ERR065326
45           2        3        ERR069712
46           2        6        ERR124244
47           2        6        ERR129075
48           2        4        ERR069713
49           3        2        ERR069826
50           1        1        ERR065341
51           3        5        ERR069771
52           2        6        ERR069706
53           3        5        ERR065970
54           1        1        ERR129130
55           3        7        ERR129096
56           3        2        ERR129107
57           3        7        ERR069809
58           2        6        ERR065302
59           2        4        ERR129187
60           3        7        ERR124314
61           3        7        ERR069686
62           2        4        ERR069824
63           3        7        ERR068048
64           3        5        ERR065972
65           2        3        ERR129164
66           3        7        ERR069688
67           3        7        ERR069685
68           3        7        ERR124307
69           3        7        ERR067962
70           2        4        ERR124257
71           2        4        ERR129127
72           3        7        ERR065301
73           3        2        ERR124287
74           2        6        ERR068025
75           2        6        ERR067964
76           2        6        ERR069811
77           2        4        ERR069727
78           3        5        ERR129063
79           2        3        ERR065332
80           2        6        ERR129028
81           3        5        ERR065287
82           2        3        ERR129213
83           3        2        ERR129155
84           2        3        ERR129042
85           3        7        ERR129148
86           2        6        ERR129040
87           2        6        ERR069835
88           3        2        ERR129146
89           3        5        ERR129102
90           2        4        ERR069729
91           2        6        ERR129152
92           2        6        ERR069748
93           2        6        ERR069843
94           3        5        ERR124229
95           2        3        ERR129088
96           2        4        ERR069752
97           3        7        ERR065350
98           3        5        ERR129149
99           2        4        ERR129214
100          3        5        ERR069833
101          2        4        ERR124310
102          2        4        ERR068046
103          2        4        ERR129215
104          3        5        ERR129140
105          3        5        ERR069831
106          2        6        ERR068014
107          3        5        ERR124315
108          2        6        ERR124255
109          3        7        ERR065342
110          2        3        ERR124235
111          2        4        ERR129159
112          3        7        ERR129204
113          2        6        ERR129094
114          2        6        ERR069689
115          3        5        ERR069751
116          3        7        ERR068005
117          3        7        ERR069749
118          2        3        ERR067981
119          3        7        ERR067996
120          3        2        ERR129052
121          3        7        ERR069785
122          2        6        ERR069792
123          2        6        ERR124271
124          3        5        ERR069687
125          3        7        ERR124277
126          2        4        ERR124228
127          2        6        ERR129044
128          3        7        ERR065353
129          3        7        ERR129074
130          3        5        ERR069817
131          3        7        ERR065953
132          3        2        ERR129076
133          2        4        ERR129154
134          2        3        ERR069725
135          2        4        ERR068040
136          2        3        ERR129051
137          2        3        ERR129157
138          2        6        ERR124311
139          2        6        ERR069746
140          2        6        ERR068031
141          2        4        ERR067986
142          2        4        ERR124291
143          3        2        ERR129055
144          3        2        ERR069780
145          2        6        ERR065327
146          2        4        ERR069822
147          3        5        ERR129207
148          3        7        ERR124288
149          2        3        ERR129026
150          2        6        ERR124218
151          3        2        ERR068027
152          3        7        ERR069710
153          2        4        ERR065310
154          3        5        ERR129160
155          3        7        ERR065300
156          2        4        ERR069789
157          3        7        ERR065343
158          3        2        ERR069802
159          2        3        ERR129027
160          3        5        ERR129170
161          2        4        ERR129048
162          2        3        ERR065968
163          1        1        ERR065965
164          3        5        ERR068044
165          2        6        ERR129180
166          2        3        ERR068016
167          3        7        ERR065324
168          3        5        ERR129112
169          2        3        ERR129158
170          2        3        ERR069698
171          2        6        ERR069812
172          2        4        ERR124302
173          2        6        ERR129083
174          2        6        ERR065354
175          3        7        ERR069787
176          3        5        ERR068017
177          2        3        ERR129066
178          2        6        ERR129039
179          3        7        ERR065329
180          3        5        ERR124269
181          3        7        ERR129200
182          3        7        ERR067995
183          2        3        ERR068012
184          2        3        ERR124274
185          1        1        ERR067993
186          2        3        ERR069708
187          3        2        ERR129106
188          3        5        ERR069717
189          3        5        ERR067974
190          3        7        ERR069744
191          2        4        ERR129210
192          3        5        ERR129108
193          2        3        ERR129132
194          3        5        ERR069711
195          3        7        ERR068019
196          3        7        ERR129099
197          3        5        ERR129059
198          2        6        ERR065292
199          2        4        ERR067961
200          2        6        ERR069820
201          2        6        ERR129216
202          3        2        ERR129116
203          3        7        ERR124250
204          2        3        ERR069690
205          2        6        ERR065973
206          2        4        ERR065309
207          2        3        ERR124283
208          2        3        ERR065293
209          3        7        ERR069825
210          2        6        ERR069737
211          3        7        ERR124316
212          2        3        ERR065304
213          3        7        ERR129144
214          2        6        ERR124232
215          2        3        ERR068018
216          2        4        ERR124296
217          3        5        ERR067960
218          3        5        ERR068050
219          2        6        ERR068039
220          3        7        ERR068004
221          3        5        ERR129032
222          3        7        ERR124248
223          2        4        ERR068041
224          3        7        ERR129086
225          3        5        ERR065317
