4 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
733       771       4               1                5.0        ERR069814
719       771       2               9                4.3        ERR129159
1         197       2               16               19.5       ERR069698
733       771       4               18               3.8        ERR067995
1         197       2               19               19.5       ERR124274
733       771       4               22               3.8        ERR065338
1         197       2               23               19.5       ERR129061
439       718       4               25               18.7       ERR065295
1         197       2               28               19.5       ERR065320
1         197       2               32               19.5       ERR068032
1         197       2               34               19.5       ERR124272
1         197       2               42               19.5       ERR129060
1         197       2               44               19.5       ERR068049
733       771       4               45               5.0        ERR129103
733       771       4               47               3.8        ERR067987
