StrainIndex  Lineage  Cluster  Name
1            4        6        ERR069738
2            2        3        ERR069738
3            4        5        ERR129065
4            4        6        ERR129037
5            4        6        ERR124247
6            4        6        ERR124222
7            3        4        ERR129179
8            4        5        ERR129179
9            4        6        ERR067985
10           4        5        ERR129212
11           4        6        ERR068037
12           2        3        ERR068037
13           4        5        ERR124241
14           3        4        ERR124241
15           4        5        ERR124293
16           3        4        ERR124293
17           4        5        ERR069735
18           4        6        ERR069773
19           4        5        ERR129029
20           2        3        ERR124226
21           4        6        ERR069823
22           4        5        ERR069703
23           3        4        ERR069703
24           3        4        ERR065325
25           4        5        ERR065325
26           4        6        ERR124256
27           3        4        ERR129087
28           4        5        ERR129087
29           3        4        ERR069819
30           4        5        ERR069819
31           4        5        ERR065960
32           3        4        ERR065960
33           4        6        ERR065326
34           4        6        ERR069712
35           4        6        ERR129075
36           4        6        ERR069713
37           4        5        ERR069826
38           4        6        ERR069706
39           4        6        ERR129096
40           2        3        ERR129096
41           4        5        ERR129107
42           4        6        ERR069809
43           4        6        ERR065302
44           2        3        ERR069686
45           4        6        ERR069686
46           4        6        ERR068048
47           4        6        ERR129164
48           4        6        ERR069688
49           2        3        ERR069688
50           4        6        ERR124307
51           2        3        ERR124307
52           4        5        ERR067962
53           3        4        ERR067962
54           4        6        ERR129127
55           4        5        ERR124287
56           4        6        ERR067964
57           4        6        ERR069727
58           4        5        ERR065332
59           4        5        ERR129155
60           4        5        ERR129148
61           3        4        ERR129148
62           4        6        ERR129040
63           4        6        ERR069835
64           4        5        ERR129146
65           4        5        ERR069748
66           4        6        ERR069843
67           4        6        ERR129088
68           4        6        ERR069752
69           4        6        ERR065350
70           4        6        ERR129214
71           4        6        ERR068046
72           4        6        ERR129215
73           4        6        ERR124255
74           4        6        ERR129159
75           4        6        ERR129204
76           2        3        ERR129204
77           4        5        ERR069689
78           4        5        ERR069749
79           3        4        ERR069749
80           4        6        ERR067981
81           2        3        ERR067996
82           4        6        ERR067996
83           4        5        ERR129052
84           4        6        ERR069792
85           4        6        ERR124271
86           4        5        ERR124277
87           3        4        ERR124277
88           4        2        ERR124228
89           3        4        ERR124228
90           3        4        ERR129074
91           4        5        ERR129074
92           4        5        ERR129076
93           4        6        ERR129154
94           4        5        ERR069725
95           4        6        ERR068040
96           4        6        ERR129051
97           4        6        ERR124311
98           4        6        ERR069746
99           4        6        ERR068031
100          4        6        ERR067986
101          4        6        ERR124291
102          4        5        ERR129055
103          4        5        ERR069780
104          4        6        ERR069822
105          4        5        ERR129026
106          2        3        ERR124218
107          4        5        ERR068027
108          4        6        ERR065310
109          3        4        ERR065300
110          4        5        ERR065300
111          4        6        ERR065343
112          2        3        ERR065343
113          4        5        ERR069802
114          4        6        ERR065968
115          2        3        ERR068044
116          4        5        ERR068016
117          3        4        ERR065324
118          4        5        ERR065324
119          4        6        ERR129158
