StrainIndex  Lineage  Cluster  Name
1            2        5        ERR069738
2            2        5        ERR129065
3            2        2        ERR129037
4            2        5        ERR124247
5            2        4        ERR124222
6            2        5        ERR065305
7            2        4        ERR069786
8            2        2        ERR129176
9            2        5        ERR069709
10           2        2        ERR067985
11           2        5        ERR068037
12           2        5        ERR069795
13           2        4        ERR067966
14           2        5        ERR129029
15           2        4        ERR129105
16           2        4        ERR124226
17           2        5        ERR129196
18           2        5        ERR069823
19           2        5        ERR124319
20           2        5        ERR068001
21           2        5        ERR129117
22           2        5        ERR069764
23           2        5        ERR068008
24           2        4        ERR067969
25           2        4        ERR129195
26           2        5        ERR065325
27           2        3        ERR124256
28           2        5        ERR129129
29           2        5        ERR065960
30           2        5        ERR069796
31           2        5        ERR065326
32           2        3        ERR069712
33           2        4        ERR129075
34           2        2        ERR069713
35           2        5        ERR069826
36           2        5        ERR069771
37           2        4        ERR069706
38           2        5        ERR065970
39           2        5        ERR129096
40           2        5        ERR129107
41           2        3        ERR069809
42           2        4        ERR129187
43           2        4        ERR124314
44           2        5        ERR069686
45           2        4        ERR069824
46           2        3        ERR068048
47           2        2        ERR065972
48           2        3        ERR129164
49           2        5        ERR069688
50           2        3        ERR069685
51           2        5        ERR124307
52           2        2        ERR129127
53           2        4        ERR065301
54           2        5        ERR124287
55           2        5        ERR068025
56           2        5        ERR067964
57           2        5        ERR069811
58           2        2        ERR069727
59           2        5        ERR129063
60           2        3        ERR129028
61           2        5        ERR065287
62           2        5        ERR129213
63           2        5        ERR129155
64           2        5        ERR129042
65           2        5        ERR069835
66           2        5        ERR129146
67           2        4        ERR069729
68           2        5        ERR129152
69           2        4        ERR069843
70           2        5        ERR124229
71           2        3        ERR129088
72           2        2        ERR069752
73           2        3        ERR065350
74           2        5        ERR129149
75           2        2        ERR129214
76           2        5        ERR069833
77           2        2        ERR068046
78           2        2        ERR129215
79           2        5        ERR129140
80           2        5        ERR069831
81           2        5        ERR124315
82           2        4        ERR124255
83           2        4        ERR065342
84           2        5        ERR124235
85           2        2        ERR129159
86           2        5        ERR129204
87           2        5        ERR069751
88           2        3        ERR067981
89           2        5        ERR067996
90           2        5        ERR129052
91           2        4        ERR069785
92           2        4        ERR069792
93           2        5        ERR124271
94           2        5        ERR069687
95           2        5        ERR129044
96           2        5        ERR065353
97           2        5        ERR069817
98           2        5        ERR065953
99           2        5        ERR129076
100          2        2        ERR129154
101          2        2        ERR068040
102          2        3        ERR129051
103          2        5        ERR129157
104          2        5        ERR124311
105          2        5        ERR069746
106          2        4        ERR068031
107          2        2        ERR067986
108          2        2        ERR124291
109          2        5        ERR129055
110          2        5        ERR069780
111          2        5        ERR065327
112          2        2        ERR069822
113          2        5        ERR129207
114          2        5        ERR124288
115          2        4        ERR124218
116          2        5        ERR068027
117          2        5        ERR069710
118          2        2        ERR065310
119          2        5        ERR129160
120          2        5        ERR065343
121          2        5        ERR069802
122          2        5        ERR129027
123          2        5        ERR129170
124          2        3        ERR065968
125          2        5        ERR068044
126          2        5        ERR068016
127          2        5        ERR129112
128          2        3        ERR129158
129          2        5        ERR069812
130          2        2        ERR124302
131          2        3        ERR129083
132          2        4        ERR065354
133          2        3        ERR069787
134          2        5        ERR068017
135          2        5        ERR129066
136          2        5        ERR129039
137          2        5        ERR124269
138          2        5        ERR067995
139          2        3        ERR068012
140          2        5        ERR069708
141          2        5        ERR129106
142          2        5        ERR069717
143          2        5        ERR067974
144          2        4        ERR069744
145          2        2        ERR129210
146          2        5        ERR129108
147          2        3        ERR129132
148          2        5        ERR069711
149          2        5        ERR129059
150          2        5        ERR065292
151          2        5        ERR069820
152          2        3        ERR129216
153          2        5        ERR129116
154          2        3        ERR069690
155          2        4        ERR065973
156          2        4        ERR069825
157          2        5        ERR069737
158          2        5        ERR065304
159          2        5        ERR129144
160          2        5        ERR124232
161          2        3        ERR068018
162          2        2        ERR124296
163          2        5        ERR067960
164          2        5        ERR068050
165          2        5        ERR068004
166          2        5        ERR129032
167          2        5        ERR124248
168          2        5        ERR129086
169          2        5        ERR065317
170          2        4        ERR069720
171          2        5        ERR129050
172          2        5        ERR069830
173          2        5        ERR069774
174          2        2        ERR069801
175          2        2        ERR129080
176          2        5        ERR129147
177          2        5        ERR069829
178          2        5        ERR129077
179          2        5        ERR067994
180          2        5        ERR065338
181          2        5        ERR129041
182          2        5        ERR129120
183          2        5        ERR124219
184          2        5        ERR065345
185          2        4        ERR069769
186          2        3        ERR069768
187          2        5        ERR129197
188          2        5        ERR065967
189          2        5        ERR124223
190          2        5        ERR069734
191          2        5        ERR129167
192          2        5        ERR129092
193          2        3        ERR129090
194          2        4        ERR068003
195          2        2        ERR124268
196          2        5        ERR129181
197          2        5        ERR069696
198          2        5        ERR129072
199          2        5        ERR065344
200          2        4        ERR068035
201          2        3        ERR069798
202          2        2        ERR069760
203          2        5        ERR067984
204          2        5        ERR068045
205          2        5        ERR065959
206          2        5        ERR129045
207          2        5        ERR069781
208          2        5        ERR129186
209          2        5        ERR124308
210          2        4        ERR129043
211          2        5        ERR069805
212          2        5        ERR124220
213          2        5        ERR069800
214          2        4        ERR067998
215          2        3        ERR065971
216          2        5        ERR129183
217          2        5        ERR068034
218          2        5        ERR065311
219          2        3        ERR068020
220          2        5        ERR069767
221          2        5        ERR067967
222          2        5        ERR069691
223          2        5        ERR129161
224          2        5        ERR124289
225          2        5        ERR129153
226          2        5        ERR129057
227          2        3        ERR067977
228          2        2        ERR129131
229          2        4        ERR069772
230          2        5        ERR124281
231          2        3        ERR069715
232          2        4        ERR124227
233          2        3        ERR069683
234          2        5        ERR065966
235          2        5        ERR124267
236          2        5        ERR124254
237          2        3        ERR129168
238          2        4        ERR124320
239          2        5        ERR065298
240          2        2        ERR069804
241          2        5        ERR065303
242          2        4        ERR069692
243          2        4        ERR069723
244          2        5        ERR067976
245          2        5        ERR065307
246          2        5        ERR065962
247          2        5        ERR069745
248          2        5        ERR129081
249          2        5        ERR069742
250          2        5        ERR069790
251          2        5        ERR069827
252          2        5        ERR129142
253          2        5        ERR124309
254          2        4        ERR069806
255          2        2        ERR129068
256          2        3        ERR129136
257          2        4        ERR129062
258          2        5        ERR129203
259          2        5        ERR067991
260          2        5        ERR124284
261          2        2        ERR129079
262          2        5        ERR069722
263          2        5        ERR124260
264          2        2        ERR124246
265          2        5        ERR065299
266          2        5        ERR129184
267          2        4        ERR124233
268          2        4        ERR069818
269          2        5        ERR129175
270          2        5        ERR065294
271          2        2        ERR129139
272          2        5        ERR069778
273          2        5        ERR068015
274          2        5        ERR065355
275          2        5        ERR068023
276          2        5        ERR069777
277          2        4        ERR069791
278          2        5        ERR124263
279          2        5        ERR069704
280          2        5        ERR129025
281          2        5        ERR069807
282          2        5        ERR129209
283          2        5        ERR069761
284          2        5        ERR129034
285          2        3        ERR129172
286          2        2        ERR124240
287          2        3        ERR065315
288          2        5        ERR065346
289          2        3        ERR069731
290          2        5        ERR069828
291          2        5        ERR069755
292          2        5        ERR129156
293          2        4        ERR069714
294          2        4        ERR068036
295          2        4        ERR069697
296          2        5        ERR065306
297          2        5        ERR065313
298          2        5        ERR129038
299          2        2        ERR067975
300          2        2        ERR129046
301          2        4        ERR129053
302          2        3        ERR124285
303          2        3        ERR129126
304          1        1        ERR129151
305          2        5        ERR124225
306          2        5        ERR068011
307          2        5        ERR124264
308          2        2        ERR069707
309          2        5        ERR129082
310          2        5        ERR069743
311          2        5        ERR067980
312          2        5        ERR069836
