1 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
322       389       1               4                4.8        ERR129037
322       389       1               12               4.8        ERR067985
322       389       1               21               4.8        ERR129029
322       389       1               26               4.8        ERR124319
322       389       1               42               4.8        ERR065326
322       389       1               46               4.8        ERR069713
322       389       1               68               4.8        ERR129127
322       389       1               70               4.8        ERR124287
322       389       1               74               4.8        ERR069727
322       389       1               76               4.8        ERR065332
322       389       1               85               4.8        ERR129146
322       389       1               92               4.8        ERR069752
322       389       1               95               4.8        ERR129214
322       389       1               98               4.8        ERR068046
322       389       1               99               4.8        ERR129215
322       389       1               107              4.8        ERR129159
322       389       1               116              4.8        ERR129052
322       389       1               123              4.8        ERR129044
322       389       1               128              4.8        ERR129076
322       389       1               129              4.8        ERR129154
322       389       1               130              4.8        ERR069725
322       389       1               131              4.8        ERR068040
322       389       1               137              4.8        ERR067986
322       389       1               138              4.8        ERR124291
322       389       1               139              4.8        ERR129055
322       389       1               142              4.8        ERR069822
322       389       1               144              4.8        ERR124288
322       389       1               145              4.8        ERR129026
322       389       1               149              4.8        ERR065310
322       389       1               165              4.8        ERR069698
322       389       1               167              4.8        ERR124302
322       389       1               179              4.8        ERR124274
322       389       1               186              4.8        ERR129210
322       389       1               200              4.8        ERR124283
322       389       1               201              4.8        ERR065293
322       389       1               209              4.8        ERR124296
322       389       1               216              4.8        ERR068041
322       389       1               225              4.8        ERR069801
322       389       1               226              4.8        ERR124221
322       389       1               227              4.8        ERR129080
322       389       1               228              4.8        ERR068026
322       389       1               235              4.8        ERR065297
322       389       1               237              4.8        ERR129061
322       389       1               238              4.8        ERR124219
322       389       1               255              4.8        ERR124268
322       389       1               256              4.8        ERR129181
322       389       1               264              4.8        ERR069760
322       389       1               273              4.8        ERR065320
322       389       1               280              4.8        ERR069800
322       389       1               298              4.8        ERR129131
322       389       1               307              4.8        ERR069724
322       389       1               308              4.8        ERR065966
322       389       1               314              4.8        ERR069804
322       389       1               317              4.8        ERR068042
322       389       1               319              4.8        ERR124249
322       389       1               322              4.8        ERR067976
322       389       1               323              4.8        ERR065307
322       389       1               327              4.8        ERR129198
322       389       1               331              4.8        ERR069790
322       389       1               336              4.8        ERR129068
322       389       1               337              4.8        ERR067978
322       389       1               341              4.8        ERR068032
322       389       1               346              4.8        ERR129079
322       389       1               351              4.8        ERR124246
322       389       1               357              4.8        ERR124239
322       389       1               361              4.8        ERR129139
322       389       1               366              4.8        ERR068028
322       389       1               367              4.8        ERR065355
322       389       1               380              4.8        ERR124240
322       389       1               392              4.8        ERR065306
322       389       1               394              4.8        ERR065313
322       389       1               396              4.8        ERR124294
322       389       1               401              4.8        ERR124272
322       389       1               410              4.8        ERR069707
322       389       1               412              4.8        ERR129082
322       389       1               416              4.8        ERR068047
322       389       1               433              4.8        ERR124300
322       389       1               436              4.8        ERR129178
322       389       1               442              4.8        ERR069766
322       389       1               452              4.8        ERR129177
322       389       1               455              4.8        ERR069839
322       389       1               466              4.8        ERR124242
322       389       1               469              4.8        ERR129137
322       389       1               474              4.8        ERR065308
322       389       1               479              4.8        ERR129054
322       389       1               488              4.8        ERR069702
322       389       1               495              4.8        ERR065964
322       389       1               501              4.8        ERR129205
322       389       1               508              4.8        ERR129060
322       389       1               516              4.8        ERR069837
322       389       1               522              4.8        ERR068000
322       389       1               530              4.8        ERR129192
322       389       1               532              4.8        ERR129098
322       389       1               542              4.8        ERR068049
322       389       1               564              4.8        ERR065331
322       389       1               565              4.8        ERR124297
322       389       1               575              4.8        ERR129093
322       389       1               579              4.8        ERR129133
322       389       1               584              4.8        ERR124286
322       389       1               585              4.8        ERR129211
322       389       1               589              4.8        ERR124298
322       389       1               590              4.8        ERR129194
322       389       1               591              4.8        ERR129171
