StrainIndex  Lineage  Cluster  Name
1            6        7        ERR069738
2            2        3        ERR065974
3            7        10       ERR129065
4            7        9        ERR129037
5            7        9        ERR069700
6            5        8        ERR124247
7            4        6        ERR124222
8            7        10       ERR065305
9            2        3        ERR069786
10           5        8        ERR129179
11           4        6        ERR129176
12           4        6        ERR069709
13           7        9        ERR067985
14           6        7        ERR129212
15           6        7        ERR068037
16           6        4        ERR069814
17           5        8        ERR124241
18           7        10       ERR069795
19           5        8        ERR124293
20           7        10       ERR069735
21           1        1        ERR069773
22           7        9        ERR067966
23           7        10       ERR129029
24           1        1        ERR129105
25           5        8        ERR124226
26           2        3        ERR129196
27           6        4        ERR069823
28           5        8        ERR124319
29           4        6        ERR068001
30           4        6        ERR129117
31           5        8        ERR069764
32           6        4        ERR068007
33           7        10       ERR068008
34           7        9        ERR067969
35           5        8        ERR069703
36           1        1        ERR129195
37           3        5        ERR065325
38           6        7        ERR124256
39           5        8        ERR129087
40           7        10       ERR069819
41           7        10       ERR129129
42           3        5        ERR065960
43           7        10       ERR069796
44           7        9        ERR065326
45           6        7        ERR069712
46           1        1        ERR124244
47           4        6        ERR129075
48           7        9        ERR069713
49           7        10       ERR069826
50           2        3        ERR065341
51           7        10       ERR069771
52           4        6        ERR069706
53           7        10       ERR065970
54           2        3        ERR129130
55           6        7        ERR129096
56           7        9        ERR129107
57           6        7        ERR069809
58           1        1        ERR065302
59           5        8        ERR129187
60           7        9        ERR124314
61           6        7        ERR069686
62           7        10       ERR069824
63           6        7        ERR068048
64           7        10       ERR065972
65           6        7        ERR129164
66           6        7        ERR069688
67           3        5        ERR069685
68           6        7        ERR124307
69           5        8        ERR067962
70           6        4        ERR124257
71           7        9        ERR129127
72           1        1        ERR065301
73           7        10       ERR124287
74           2        3        ERR068025
75           6        4        ERR067964
76           2        3        ERR069811
77           7        9        ERR069727
78           7        10       ERR129063
79           5        2        ERR065332
80           4        6        ERR129028
81           7        10       ERR065287
82           4        6        ERR129213
83           7        9        ERR129155
84           4        6        ERR129042
85           5        8        ERR129148
86           1        1        ERR129040
87           6        4        ERR069835
88           7        10       ERR129146
89           3        5        ERR129102
90           7        10       ERR069729
91           2        3        ERR129152
92           6        7        ERR069748
93           4        6        ERR069843
94           7        10       ERR124229
95           6        7        ERR129088
96           7        9        ERR069752
97           6        7        ERR065350
98           7        10       ERR129149
99           7        9        ERR129214
100          7        10       ERR069833
101          6        4        ERR124310
102          7        9        ERR068046
