33 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
91        229       8               2                0.7        ERR065974
320       415       8               2                9.5        ERR065974
1         292       3               3                2.6        ERR129065
1         292       3               5                1.2        ERR069700
1         415       8               6                0.3        ERR124247
681       876       3               6                9.2        ERR124247
443       456       8               7                3.9        ERR124222
917       993       9               7                5.2        ERR124222
356       404       8               9                11.9       ERR069786
1         292       3               10               1.2        ERR129179
1         292       3               11               0.5        ERR129176
457       507       4               12               4.7        ERR069709
346       412       5               14               24.8       ERR129212
1         292       3               17               1.2        ERR124241
1         292       3               19               1.2        ERR124293
443       456       8               20               3.9        ERR069735
917       993       9               20               5.2        ERR069735
410       456       5               21               9.1        ERR069773
1         292       3               22               1.2        ERR067966
1         292       3               23               1.9        ERR129029
356       412       2               25               10.7       ERR124226
1         292       3               28               0.5        ERR124319
457       532       4               29               2.8        ERR068001
1         292       3               30               0.5        ERR129117
443       456       8               31               3.9        ERR069764
917       993       9               31               5.2        ERR069764
1         292       3               34               1.2        ERR067969
1         292       3               35               1.2        ERR069703
366       474       7               37               6.0        ERR065325
628       993       4               37               5.2        ERR065325
906       993       5               38               2.1        ERR124256
1         292       3               39               1.2        ERR129087
315       420       8               40               6.0        ERR069819
746       864       3               40               9.4        ERR069819
366       474       7               42               6.0        ERR065960
628       993       4               42               5.2        ERR065960
223       326       6               45               30.2       ERR069712
792       945       5               46               3.8        ERR124244
443       456       8               47               3.9        ERR129075
917       993       9               47               5.2        ERR129075
1         292       3               49               1.9        ERR069826
91        229       8               50               0.7        ERR065341
320       415       8               50               9.5        ERR065341
716       810       7               52               20.4       ERR069706
91        229       8               54               0.7        ERR129130
320       415       8               54               9.5        ERR129130
1         292       3               56               1.9        ERR129107
906       993       5               57               2.1        ERR069809
410       456       5               58               9.1        ERR065302
286       463       7               59               4.4        ERR129187
1         292       3               60               1.2        ERR124314
906       993       5               63               2.1        ERR068048
416       456       7               67               18.8       ERR069685
1         292       3               69               1.2        ERR067962
1         292       3               73               1.9        ERR124287
1         292       3               82               0.5        ERR129213
1         292       3               83               1.9        ERR129155
1         292       3               84               0.5        ERR129042
1         292       3               85               1.2        ERR129148
410       456       5               86               9.1        ERR129040
1         292       3               88               1.9        ERR129146
346       412       5               92               24.8       ERR069748
443       456       8               93               3.9        ERR069843
917       993       9               93               5.2        ERR069843
906       993       5               97               2.1        ERR065350
1         292       3               101              1.2        ERR124310
443       456       8               108              3.9        ERR124255
917       993       9               108              5.2        ERR124255
1         292       3               110              0.5        ERR124235
346       412       5               114              24.8       ERR069689
1         184       6               116              12.4       ERR068005
583       635       7               116              20.1       ERR068005
906       993       9               116              12.3       ERR068005
1         292       3               117              1.2        ERR069749
1         292       3               120              1.9        ERR129052
443       456       8               121              3.9        ERR069785
917       993       9               121              5.2        ERR069785
1         163       6               122              0.1        ERR069792
443       456       8               122              5.4        ERR069792
1         292       3               125              1.2        ERR124277
1         184       6               127              11.5       ERR129044
1         184       6               128              11.1       ERR065353
583       635       7               128              18.9       ERR065353
906       993       9               128              11.1       ERR065353
1         292       3               129              1.2        ERR129074
457       532       4               131              2.8        ERR065953
1         292       3               132              1.9        ERR129076
223       326       6               136              30.2       ERR129051
1         292       3               137              0.5        ERR129157
1         163       6               140              0.1        ERR068031
443       456       8               140              5.4        ERR068031
1         292       3               143              1.9        ERR129055
1         292       3               144              1.9        ERR069780
1         292       3               148              0.5        ERR124288
457       532       4               150              1.0        ERR124218
559       810       8               150              12.7       ERR124218
833       967       1               150              12.3       ERR124218
1         292       3               151              1.9        ERR068027
457       532       4               152              2.8        ERR069710
1         292       3               155              1.2        ERR065300
1         292       3               158              1.9        ERR069802
1         184       6               159              11.1       ERR129027
583       635       7               159              18.9       ERR129027
906       993       9               159              11.1       ERR129027
1         292       3               161              1.2        ERR129048
