2 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
565       696       3               3                26.0       ERR129037
565       658       3               5                8.4        ERR124222
1         163       1               10               9.4        ERR069709
565       696       3               11               26.7       ERR067985
565       696       3               24               26.7       ERR124319
1         163       1               25               9.4        ERR068001
565       696       3               38               26.7       ERR065326
565       658       3               41               8.4        ERR129075
565       696       3               42               26.7       ERR069713
565       658       3               45               9.4        ERR069706
565       696       3               60               26.7       ERR129127
565       696       3               65               26.7       ERR069727
565       658       3               79               8.4        ERR069843
565       696       3               82               26.7       ERR069752
565       696       3               84               26.7       ERR129214
565       696       3               87               26.7       ERR068046
565       696       3               88               26.7       ERR129215
565       658       3               93               8.4        ERR124255
565       696       3               95               26.7       ERR129159
1         163       1               112              9.4        ERR065353
1         163       1               115              9.4        ERR065953
565       696       3               117              26.7       ERR129154
565       696       3               119              26.7       ERR068040
565       696       3               124              26.7       ERR067986
565       696       3               125              26.7       ERR124291
565       696       3               129              26.7       ERR069822
565       696       3               131              26.7       ERR124288
1         163       1               135              9.4        ERR069710
565       696       3               136              26.7       ERR065310
1         163       1               142              9.4        ERR129027
565       696       3               153              26.7       ERR124302
565       696       3               168              26.7       ERR129210
565       658       3               181              8.4        ERR065973
565       696       3               191              26.7       ERR124296
1         163       1               195              9.4        ERR068004
565       658       3               201              8.4        ERR069720
565       696       3               203              20.6       ERR129064
565       696       3               207              26.7       ERR069801
565       696       3               209              26.7       ERR129080
1         163       1               228              9.4        ERR124223
1         163       1               229              9.4        ERR069734
1         163       1               232              9.4        ERR129092
565       658       3               235              9.4        ERR068003
565       696       3               236              26.7       ERR124268
565       658       3               242              8.4        ERR068035
565       696       3               244              26.7       ERR069760
565       696       3               276              26.7       ERR129131
565       696       3               291              26.7       ERR069804
1         163       1               306              9.4        ERR069827
565       696       3               310              26.7       ERR129068
565       658       3               314              8.4        ERR129062
565       696       3               321              26.7       ERR129079
565       658       3               322              9.0        ERR069722
565       696       3               327              26.7       ERR124246
565       658       3               330              8.4        ERR124233
565       696       3               337              26.7       ERR129139
565       696       3               355              26.7       ERR124240
565       658       3               362              8.4        ERR068036
565       696       3               370              26.7       ERR124294
565       696       3               383              26.7       ERR069707
565       696       3               389              26.7       ERR068047
565       658       3               392              9.4        ERR065314
565       658       3               401              9.0        ERR065349
565       696       3               410              26.7       ERR129178
565       696       3               413              26.7       ERR067968
565       696       3               424              26.7       ERR129177
565       696       3               426              26.7       ERR069839
1         163       1               428              9.4        ERR069788
1         163       1               430              9.4        ERR069784
565       696       3               436              26.7       ERR124242
565       696       3               439              26.7       ERR129137
565       658       3               440              8.4        ERR129036
565       696       3               442              26.7       ERR065308
565       658       3               446              9.4        ERR129078
565       658       3               453              9.4        ERR069699
423       696       3               454              16.4       ERR069702
1         163       1               460              9.4        ERR068043
565       696       3               461              26.7       ERR065964
565       658       3               465              8.4        ERR129031
565       658       3               466              8.4        ERR129049
565       658       3               469              8.4        ERR067990
565       696       3               479              26.7       ERR069837
565       696       3               485              26.7       ERR068000
565       658       3               509              9.0        ERR069695
1         163       1               511              9.4        ERR129115
565       658       3               512              8.7        ERR068022
565       658       3               514              9.4        ERR069762
565       658       3               527              9.4        ERR067999
565       658       3               534              8.4        ERR129193
565       696       3               535              26.7       ERR129093
565       696       3               544              26.7       ERR124286
565       696       3               545              26.7       ERR129211
565       696       3               548              26.7       ERR124298
